ID	X	Y	#SampleID	BarcodePlate	BarcodeWell	Compare	Description	Diet	Experiment	cluster	id	subject_id,,
0	0.0,1.0,2.0,4.0,7.0,14.0,21.0	0.0,0.0,0.0,0.00216552113737,0.011859136597,0.0104638450726,0.00102420856611	['Sean169' 'Sean124' 'Sean174' 'Sean129' 'Sean179' 'Sean218' 'Sean268']	['Plate2' 'Plate2' 'Plate2' 'Plate2' 'Plate2' 'Plate3' 'Plate3']	['G01' 'C04' 'G06' 'C09' 'G11' 'C02' 'G04']	['Harlan' 'LC' 'LC' 'LC' 'LC' 'LC' 'LC']	['Sean169' 'Sean124' 'Sean174' 'Sean129' 'Sean179' 'Sean218' 'Sean268']	LC	MOT	2	0	{'1a'},,
1	0.0,1.0,2.0,4.0,7.0,14.0,21.0	0.0,0.0,0.0,0.000107921433197,0.00862619808307,0.00453651897777,0.00151392813888	['Sean181' 'Sean136' 'Sean186' 'Sean141' 'Sean191' 'Sean230' 'Sean280']	['Plate2' 'Plate2' 'Plate2' 'Plate2' 'Plate2' 'Plate3' 'Plate3']	['H01' 'D04' 'H06' 'D09' 'H11' 'D02' 'H04']	['Harlan' 'LC' 'LC' 'LC' 'LC' 'LC' 'LC']	['Sean181' 'Sean136' 'Sean186' 'Sean141' 'Sean191' 'Sean230' 'Sean280']	LC	MOT	2	1	{'1b'},,
2	0.0,1.0,2.0,4.0,7.0,14.0,21.0	0.0,0.0,0.0,0.000764391133063,0.00301204819277,0.00235195296094,0.00148367952522	['Sean098' 'Sean148' 'Sean103' 'Sean153' 'Sean108' 'Sean242' 'Sean197']	['Plate2' 'Plate2' 'Plate2' 'Plate2' 'Plate2' 'Plate3' 'Plate3']	['A02' 'E04' 'A07' 'E09' 'A12' 'E02' 'A05']	['Harlan' 'LC' 'LC' 'LC' 'LC' 'LC' 'LC']	['Sean098' 'Sean148' 'Sean103' 'Sean153' 'Sean108' 'Sean242' 'Sean197']	LC	MOT	2	2	{'1c'},,
3	0.0,1.0,2.0,4.0,7.0,14.0,21.0	0.0,0.0,0.0,0.000516662361147,0.00382736156352,0.00591341077086,0.000682035193016	['Sean110' 'Sean160' 'Sean115' 'Sean165' 'Sean120' 'Sean254' 'Sean209']	['Plate2' 'Plate2' 'Plate2' 'Plate2' 'Plate2' 'Plate3' 'Plate3']	['B02' 'F04' 'B07' 'F09' 'B12' 'F02' 'B05']	['Harlan' 'LC' 'LC' 'LC' 'LC' 'LC' 'LC']	['Sean110' 'Sean160' 'Sean115' 'Sean165' 'Sean120' 'Sean254' 'Sean209']	LC	MOT	2	3	{'1d'},,
4	0.0,1.0,2.0,4.0,14.0,21.0	0.0,0.0,0.0,0.000310903841883,0.00269156363025,0.00039210560711	['Sean122' 'Sean172' 'Sean127' 'Sean177' 'Sean266' 'Sean221']	['Plate2' 'Plate2' 'Plate2' 'Plate2' 'Plate3' 'Plate3']	['C02' 'G04' 'C07' 'G09' 'G02' 'C05']	['Harlan' 'LC' 'LC' 'LC' 'LC' 'LC']	['Sean122' 'Sean172' 'Sean127' 'Sean177' 'Sean266' 'Sean221']	LC	MOT	2	4	{'1e'},,
5	0.0,1.0,2.0,4.0,7.0,14.0,21.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0	['Sean134' 'Sean184' 'Sean139' 'Sean189' 'Sean144' 'Sean278' 'Sean233']	['Plate2' 'Plate2' 'Plate2' 'Plate2' 'Plate2' 'Plate3' 'Plate3']	['D02' 'H04' 'D07' 'H09' 'D12' 'H02' 'D05']	['Harlan' 'HC' 'HC' 'HC' 'HC' 'HC' 'HC']	['Sean134' 'Sean184' 'Sean139' 'Sean189' 'Sean144' 'Sean278' 'Sean233']	HC	MOT	0	5	{'2a'},,
6	0.0,1.0,2.0,4.0,7.0,14.0,21.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0	['Sean146' 'Sean101' 'Sean151' 'Sean106' 'Sean156' 'Sean195' 'Sean245']	['Plate2' 'Plate2' 'Plate2' 'Plate2' 'Plate2' 'Plate3' 'Plate3']	['E02' 'A05' 'E07' 'A10' 'E12' 'A03' 'E05']	['Harlan' 'HC' 'HC' 'HC' 'HC' 'HC' 'HC']	['Sean146' 'Sean101' 'Sean151' 'Sean106' 'Sean156' 'Sean195' 'Sean245']	HC	MOT	0	6	{'2b'},,
7	0.0,1.0,2.0,4.0,7.0,14.0,21.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0	['Sean158' 'Sean113' 'Sean163' 'Sean118' 'Sean168' 'Sean207' 'Sean257']	['Plate2' 'Plate2' 'Plate2' 'Plate2' 'Plate2' 'Plate3' 'Plate3']	['F02' 'B05' 'F07' 'B10' 'F12' 'B03' 'F05']	['Harlan' 'HC' 'HC' 'HC' 'HC' 'HC' 'HC']	['Sean158' 'Sean113' 'Sean163' 'Sean118' 'Sean168' 'Sean207' 'Sean257']	HC	MOT	0	7	{'2c'},,
8	0.0,1.0,2.0,4.0,7.0,14.0,21.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0	['Sean170' 'Sean125' 'Sean175' 'Sean130' 'Sean180' 'Sean219' 'Sean269']	['Plate2' 'Plate2' 'Plate2' 'Plate2' 'Plate2' 'Plate3' 'Plate3']	['G02' 'C05' 'G07' 'C10' 'G12' 'C03' 'G05']	['Harlan' 'HC' 'HC' 'HC' 'HC' 'HC' 'HC']	['Sean170' 'Sean125' 'Sean175' 'Sean130' 'Sean180' 'Sean219' 'Sean269']	HC	MOT	0	8	{'2d'},,
9	0.0,1.0,2.0,4.0,7.0,14.0,21.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0	['Sean182' 'Sean137' 'Sean187' 'Sean142' 'Sean192' 'Sean231' 'Sean281']	['Plate2' 'Plate2' 'Plate2' 'Plate2' 'Plate2' 'Plate3' 'Plate3']	['H02' 'D05' 'H07' 'D10' 'H12' 'D03' 'H05']	['Harlan' 'HC' 'HC' 'HC' 'HC' 'HC' 'HC']	['Sean182' 'Sean137' 'Sean187' 'Sean142' 'Sean192' 'Sean231' 'Sean281']	HC	MOT	0	9	{'2e'},,
