ID	X	Y	#SampleID	BarcodePlate	BarcodeWell	Compare	Description	Diet	Experiment	cluster	id	subject_id,,
0	0.0,1.0,2.0,4.0,7.0,14.0,21.0	0.0,0.00215053763441,0.00683213698867,0.0214669051878,0.0208981126618,0.0213441615909,0.0349162011173	['Sean169' 'Sean124' 'Sean174' 'Sean129' 'Sean179' 'Sean218' 'Sean268']	['Plate2' 'Plate2' 'Plate2' 'Plate2' 'Plate2' 'Plate3' 'Plate3']	['G01' 'C04' 'G06' 'C09' 'G11' 'C02' 'G04']	['Harlan' 'LC' 'LC' 'LC' 'LC' 'LC' 'LC']	['Sean169' 'Sean124' 'Sean174' 'Sean129' 'Sean179' 'Sean218' 'Sean268']	LC	MOT	0	0	{'1a'},,
1	0.0,1.0,2.0,4.0,7.0,14.0,21.0	0.0,0.00177887246853,0.00589358346476,0.0158104899633,0.0423003194888,0.0368214123696,0.0498587000404	['Sean181' 'Sean136' 'Sean186' 'Sean141' 'Sean191' 'Sean230' 'Sean280']	['Plate2' 'Plate2' 'Plate2' 'Plate2' 'Plate2' 'Plate3' 'Plate3']	['H01' 'D04' 'H06' 'D09' 'H11' 'D02' 'H04']	['Harlan' 'LC' 'LC' 'LC' 'LC' 'LC' 'LC']	['Sean181' 'Sean136' 'Sean186' 'Sean141' 'Sean191' 'Sean230' 'Sean280']	LC	MOT	0	1	{'1b'},,
2	0.0,1.0,2.0,4.0,7.0,14.0,21.0	0.0,0.00380261761585,0.00393172228615,0.0248721114835,0.0433878370625,0.0707265854683,0.0151829871414	['Sean098' 'Sean148' 'Sean103' 'Sean153' 'Sean108' 'Sean242' 'Sean197']	['Plate2' 'Plate2' 'Plate2' 'Plate2' 'Plate2' 'Plate3' 'Plate3']	['A02' 'E04' 'A07' 'E09' 'A12' 'E02' 'A05']	['Harlan' 'LC' 'LC' 'LC' 'LC' 'LC' 'LC']	['Sean098' 'Sean148' 'Sean103' 'Sean153' 'Sean108' 'Sean242' 'Sean197']	LC	MOT	0	2	{'1c'},,
3	0.0,1.0,2.0,4.0,7.0,14.0,21.0	0.0,0.00138732333304,0.00451556682247,0.0158873676053,0.0166123778502,0.031819781767,0.0412631291775	['Sean110' 'Sean160' 'Sean115' 'Sean165' 'Sean120' 'Sean254' 'Sean209']	['Plate2' 'Plate2' 'Plate2' 'Plate2' 'Plate2' 'Plate3' 'Plate3']	['B02' 'F04' 'B07' 'F09' 'B12' 'F02' 'B05']	['Harlan' 'LC' 'LC' 'LC' 'LC' 'LC' 'LC']	['Sean110' 'Sean160' 'Sean115' 'Sean165' 'Sean120' 'Sean254' 'Sean209']	LC	MOT	0	3	{'1d'},,
4	0.0,1.0,2.0,4.0,14.0,21.0	0.0,0.00166527893422,0.00505050505051,0.0205196535643,0.0381865590041,0.0314991504379	['Sean122' 'Sean172' 'Sean127' 'Sean177' 'Sean266' 'Sean221']	['Plate2' 'Plate2' 'Plate2' 'Plate2' 'Plate3' 'Plate3']	['C02' 'G04' 'C07' 'G09' 'G02' 'C05']	['Harlan' 'LC' 'LC' 'LC' 'LC' 'LC']	['Sean122' 'Sean172' 'Sean127' 'Sean177' 'Sean266' 'Sean221']	LC	MOT	0	4	{'1e'},,
5	0.0,1.0,2.0,4.0,7.0,14.0,21.0	4.226364059e-05,0.0467328585538,0.0776163506525,0.0140774884764,0.0450095474798,0.00910176681356,0.0743532959525	['Sean134' 'Sean184' 'Sean139' 'Sean189' 'Sean144' 'Sean278' 'Sean233']	['Plate2' 'Plate2' 'Plate2' 'Plate2' 'Plate2' 'Plate3' 'Plate3']	['D02' 'H04' 'D07' 'H09' 'D12' 'H02' 'D05']	['Harlan' 'HC' 'HC' 'HC' 'HC' 'HC' 'HC']	['Sean134' 'Sean184' 'Sean139' 'Sean189' 'Sean144' 'Sean278' 'Sean233']	HC	MOT	2	5	{'2a'},,
6	0.0,1.0,2.0,4.0,7.0,14.0,21.0	3.0887076847e-05,0.0421299356933,0.0439355666901,0.0160662122687,0.0494921910957,0.000460657643626,0.0958036421219	['Sean146' 'Sean101' 'Sean151' 'Sean106' 'Sean156' 'Sean195' 'Sean245']	['Plate2' 'Plate2' 'Plate2' 'Plate2' 'Plate2' 'Plate3' 'Plate3']	['E02' 'A05' 'E07' 'A10' 'E12' 'A03' 'E05']	['Harlan' 'HC' 'HC' 'HC' 'HC' 'HC' 'HC']	['Sean146' 'Sean101' 'Sean151' 'Sean106' 'Sean156' 'Sean195' 'Sean245']	HC	MOT	0	6	{'2b'},,
7	0.0,1.0,2.0,4.0,7.0,14.0,21.0	0.0,0.0479164090516,0.0868943239502,0.0489913544669,0.0645593519703,0.00354585274282,0.0896975500758	['Sean158' 'Sean113' 'Sean163' 'Sean118' 'Sean168' 'Sean207' 'Sean257']	['Plate2' 'Plate2' 'Plate2' 'Plate2' 'Plate2' 'Plate3' 'Plate3']	['F02' 'B05' 'F07' 'B10' 'F12' 'B03' 'F05']	['Harlan' 'HC' 'HC' 'HC' 'HC' 'HC' 'HC']	['Sean158' 'Sean113' 'Sean163' 'Sean118' 'Sean168' 'Sean207' 'Sean257']	HC	MOT	2	7	{'2c'},,
8	0.0,1.0,2.0,4.0,7.0,14.0,21.0	0.0,0.0652992443192,0.114322704965,0.0266699592542,0.0759952161285,0.00091510844035,0.0906569434056	['Sean170' 'Sean125' 'Sean175' 'Sean130' 'Sean180' 'Sean219' 'Sean269']	['Plate2' 'Plate2' 'Plate2' 'Plate2' 'Plate2' 'Plate3' 'Plate3']	['G02' 'C05' 'G07' 'C10' 'G12' 'C03' 'G05']	['Harlan' 'HC' 'HC' 'HC' 'HC' 'HC' 'HC']	['Sean170' 'Sean125' 'Sean175' 'Sean130' 'Sean180' 'Sean219' 'Sean269']	HC	MOT	2	8	{'2d'},,
9	0.0,1.0,2.0,4.0,7.0,14.0,21.0	0.0,0.044645694312,0.10175729443,0.0465675057208,0.0817480918988,0.0153448911841,0.0361177510724	['Sean182' 'Sean137' 'Sean187' 'Sean142' 'Sean192' 'Sean231' 'Sean281']	['Plate2' 'Plate2' 'Plate2' 'Plate2' 'Plate2' 'Plate3' 'Plate3']	['H02' 'D05' 'H07' 'D10' 'H12' 'D03' 'H05']	['Harlan' 'HC' 'HC' 'HC' 'HC' 'HC' 'HC']	['Sean182' 'Sean137' 'Sean187' 'Sean142' 'Sean192' 'Sean231' 'Sean281']	HC	MOT	2	9	{'2e'},,
10	0.0,1.0,2.0,4.0,7.0,14.0,21.0	0.0,0.00236471961182,7.53730968293e-05,7.23170378941e-05,6.11938928495e-05,0.0,0.0	['Sean099' 'Sean149' 'Sean104' 'Sean154' 'Sean193' 'Sean243' 'Sean198']	['Plate2' 'Plate2' 'Plate2' 'Plate2' 'Plate3' 'Plate3' 'Plate3']	['A03' 'E05' 'A08' 'E10' 'A01' 'E03' 'A06']	['Harlan' 'HCEL' 'HCEL' 'HCEL' 'HCEL' 'HCEL' 'HCEL']	['Sean099' 'Sean149' 'Sean104' 'Sean154' 'Sean193' 'Sean243' 'Sean198']	HCEL	MOT	1	10	{'3a'},,
11	0.0,1.0,2.0,4.0,7.0,14.0,21.0	0.0,0.0,9.30405656866e-05,0.0,0.0,0.0,0.0	['Sean111' 'Sean161' 'Sean116' 'Sean166' 'Sean205' 'Sean255' 'Sean210']	['Plate2' 'Plate2' 'Plate2' 'Plate2' 'Plate3' 'Plate3' 'Plate3']	['B03' 'F05' 'B08' 'F10' 'B01' 'F03' 'B06']	['Harlan' 'HCEL' 'HCEL' 'HCEL' 'HCEL' 'HCEL' 'HCEL']	['Sean111' 'Sean161' 'Sean116' 'Sean166' 'Sean205' 'Sean255' 'Sean210']	HCEL	MOT	1	11	{'3b'},,
12	0.0,1.0,2.0,4.0,7.0,14.0,21.0	0.0,0.0,2.57678829107e-05,2.59760500818e-05,0.0,0.0,0.0	['Sean123' 'Sean173' 'Sean128' 'Sean178' 'Sean217' 'Sean267' 'Sean222']	['Plate2' 'Plate2' 'Plate2' 'Plate2' 'Plate3' 'Plate3' 'Plate3']	['C03' 'G05' 'C08' 'G10' 'C01' 'G03' 'C06']	['Harlan' 'HCEL' 'HCEL' 'HCEL' 'HCEL' 'HCEL' 'HCEL']	['Sean123' 'Sean173' 'Sean128' 'Sean178' 'Sean217' 'Sean267' 'Sean222']	HCEL	MOT	1	12	{'3c'},,
