base_path	file_name	cluster_data_fn	cluster_method	num_clusters	analysis_success	silhouette_score
/sc/arion/projects/clemej05a/kevin/loclust/sean/jobs	job.5091.lsf.104430546.stdout	 L6_Clostridium_trajs_loclust_k9_5pca.tsv	5pca	9	TRUE	0.3589786080865581
/sc/arion/projects/clemej05a/kevin/loclust/sean/jobs	job.806.lsf.104425911.stdout	 L6_Anaerostipes_trajs_loclust_k5_8pca.tsv	8pca	5	TRUE	0.731976660646494
/sc/arion/projects/clemej05a/kevin/loclust/sean/jobs	job.4917.lsf.104430293.stdout	 L6_Faecalibacterium_trajs_loclust_k8_7pca.tsv	7pca	8	TRUE	0.95
/sc/arion/projects/clemej05a/kevin/loclust/sean/jobs	job.1871.lsf.104426986.stdout	 L6_Odoribacter_trajs_loclust_k5_9pca.tsv	9pca	5	TRUE	0.95
/sc/arion/projects/clemej05a/kevin/loclust/sean/jobs	job.5238.lsf.104430694.stdout	 L6_Sutterella_trajs_loclust_k6_8pca.tsv	8pca	6	TRUE	0.2953797627988472
/sc/arion/projects/clemej05a/kevin/loclust/sean/jobs	job.2190.lsf.104427307.stdout	 L6_RF32;f_;g__trajs_loclust_k3_8pca.tsv	8pca	3	FALSE	0.0
/sc/arion/projects/clemej05a/kevin/loclust/sean/jobs	job.1839.lsf.104426954.stdout	 L6_Streptococcus_trajs_loclust_k8_9pca.tsv	9pca	8	TRUE	0.5629761196476373
/sc/arion/projects/clemej05a/kevin/loclust/sean/jobs	job.5850.lsf.104431344.stdout	 L6_YS2;f_;g__trajs_loclust_k6_4pca.tsv	4pca	6	FALSE	0.0
/sc/arion/projects/clemej05a/kevin/loclust/sean/jobs	job.110.lsf.104425152.stdout	 L6_Sarcina_trajs_loclust_k9_8pca.tsv	8pca	9	TRUE	0.21281297426562135
/sc/arion/projects/clemej05a/kevin/loclust/sean/jobs	job.6742.lsf.104432373.stdout	 L6_Aerococcus_trajs_loclust_k5_8pca.tsv	8pca	5	TRUE	0.9296298473861316
/sc/arion/projects/clemej05a/kevin/loclust/sean/jobs	job.4136.lsf.104429296.stdout	 L6_Pantoea_trajs_loclust_k9_fa.tsv	fa	9	TRUE	0.7028174686746371
/sc/arion/projects/clemej05a/kevin/loclust/sean/jobs	job.4188.lsf.104429349.stdout	 L6_Kocuria_trajs_loclust_k8_6pca.tsv	6pca	8	TRUE	0.9299731370978387
/sc/arion/projects/clemej05a/kevin/loclust/sean/jobs	job.2690.lsf.104427815.stdout	 L6_Sporosarcina_trajs_loclust_k3_4pca.tsv	4pca	3	TRUE	0.3688154961613509
/sc/arion/projects/clemej05a/kevin/loclust/sean/jobs	job.1076.lsf.104426185.stdout	 L6_Granulicatella_trajs_loclust_k4_6pca.tsv	6pca	4	TRUE	0.23728386923499395
/sc/arion/projects/clemej05a/kevin/loclust/sean/jobs	job.5351.lsf.104430807.stdout	 L6_Staphylococcus_trajs_loclust_k6_9pca.tsv	9pca	6	TRUE	0.32031220890429624
/sc/arion/projects/clemej05a/kevin/loclust/sean/jobs	job.836.lsf.104425942.stdout	 L6_Anaerostipes_trajs_loclust_k9_6pca.tsv	6pca	9	TRUE	0.7319766606464941
/sc/arion/projects/clemej05a/kevin/loclust/sean/jobs	job.6992.lsf.104432627.stdout	 L6_Acinetobacter_trajs_loclust_k9_fa.tsv	fa	9	TRUE	0.6909853549213892
/sc/arion/projects/clemej05a/kevin/loclust/sean/jobs	job.5480.lsf.104430939.stdout	 L6_Sphingomonas_trajs_loclust_k9_fa.tsv	fa	9	FALSE	0.0
/sc/arion/projects/clemej05a/kevin/loclust/sean/jobs	job.6411.lsf.104432034.stdout	 L6_Shigella_trajs_loclust_k6_5pca.tsv	5pca	6	TRUE	0.95
/sc/arion/projects/clemej05a/kevin/loclust/sean/jobs	job.3156.lsf.104428309.stdout	 L6_Enterococcus_trajs_loclust_k5_6pca.tsv	6pca	5	TRUE	0.477589038328901
/sc/arion/projects/clemej05a/kevin/loclust/sean/jobs	job.5591.lsf.104431054.stdout	 L6_Paraprevotella_trajs_loclust_k8_9pca.tsv	9pca	8	TRUE	0.95
/sc/arion/projects/clemej05a/kevin/loclust/sean/jobs	job.3214.lsf.104428369.stdout	 L6_Agrobacterium_trajs_loclust_k5_8pca.tsv	8pca	5	TRUE	0.95
/sc/arion/projects/clemej05a/kevin/loclust/sean/jobs	job.1750.lsf.104426863.stdout	 L6_Gemellales;f_;g__trajs_loclust_k4_8pca.tsv	8pca	4	FALSE	0.0
/sc/arion/projects/clemej05a/kevin/loclust/sean/jobs	job.5339.lsf.104430795.stdout	 L6_Staphylococcus_trajs_loclust_k5_5pca.tsv	5pca	5	TRUE	0.3823738510323965
/sc/arion/projects/clemej05a/kevin/loclust/sean/jobs	job.4790.lsf.104430063.stdout	 L6_Desulfovibrio_trajs_loclust_k6_8pca.tsv	8pca	6	TRUE	0.95
/sc/arion/projects/clemej05a/kevin/loclust/sean/jobs	job.4519.lsf.104429690.stdout	 L6_Pseudomonas_trajs_loclust_k7_9pca.tsv	9pca	7	TRUE	0.9108978958720748
/sc/arion/projects/clemej05a/kevin/loclust/sean/jobs	job.1973.lsf.104427089.stdout	 L6_Virgibacillus_trajs_loclust_k4_7pca.tsv	7pca	4	TRUE	0.95
/sc/arion/projects/clemej05a/kevin/loclust/sean/jobs	job.1900.lsf.104427015.stdout	 L6_Odoribacter_trajs_loclust_k9_6pca.tsv	6pca	9	TRUE	0.95
/sc/arion/projects/clemej05a/kevin/loclust/sean/jobs	job.4344.lsf.104429505.stdout	 L6_RF39;f_;g__trajs_loclust_k7_fa.tsv	fa	7	FALSE	0.0
/sc/arion/projects/clemej05a/kevin/loclust/sean/jobs	job.428.lsf.104425527.stdout	 L6_Erwinia_trajs_loclust_k7_6pca.tsv	6pca	7	TRUE	0.95
/sc/arion/projects/clemej05a/kevin/loclust/sean/jobs	job.5156.lsf.104430611.stdout	 L6_Salinicoccus_trajs_loclust_k3_6pca.tsv	6pca	3	TRUE	0.9114688858859392
/sc/arion/projects/clemej05a/kevin/loclust/sean/jobs	job.2896.lsf.104428022.stdout	 L6_Limnohabitans_trajs_loclust_k8_fa.tsv	fa	8	FALSE	0.0
/sc/arion/projects/clemej05a/kevin/loclust/sean/jobs	job.6417.lsf.104432040.stdout	 L6_Shigella_trajs_loclust_k7_3pca.tsv	3pca	7	TRUE	0.95
/sc/arion/projects/clemej05a/kevin/loclust/sean/jobs	job.4770.lsf.104430037.stdout	 L6_Desulfovibrio_trajs_loclust_k4_4pca.tsv	4pca	4	TRUE	0.95
/sc/arion/projects/clemej05a/kevin/loclust/sean/jobs	job.716.lsf.104425820.stdout	 L6_Clostridiales;f_;g__trajs_loclust_k8_6pca.tsv	6pca	8	FALSE	0.0
/sc/arion/projects/clemej05a/kevin/loclust/sean/jobs	job.4151.lsf.104429311.stdout	 L6_Kocuria_trajs_loclust_k3_9pca.tsv	9pca	3	TRUE	0.9299731370978387
/sc/arion/projects/clemej05a/kevin/loclust/sean/jobs	job.657.lsf.104425760.stdout	 L6_Blautia_trajs_loclust_k8_3pca.tsv	3pca	8	TRUE	0.3424571346223395
/sc/arion/projects/clemej05a/kevin/loclust/sean/jobs	job.5446.lsf.104430904.stdout	 L6_Sphingomonas_trajs_loclust_k4_8pca.tsv	8pca	4	TRUE	0.95
/sc/arion/projects/clemej05a/kevin/loclust/sean/jobs	job.6269.lsf.104431870.stdout	 L6_Anaerobacillus_trajs_loclust_k9_7pca.tsv	7pca	9	TRUE	0.5213824225652528
/sc/arion/projects/clemej05a/kevin/loclust/sean/jobs	job.2877.lsf.104428003.stdout	 L6_Limnohabitans_trajs_loclust_k5_7pca.tsv	7pca	5	TRUE	0.95
/sc/arion/projects/clemej05a/kevin/loclust/sean/jobs	job.2587.lsf.104427712.stdout	 L6_Clavibacter_trajs_loclust_k4_5pca.tsv	5pca	4	TRUE	0.907357232829549
/sc/arion/projects/clemej05a/kevin/loclust/sean/jobs	job.271.lsf.104425313.stdout	 L6_Isobaculum_trajs_loclust_k8_9pca.tsv	9pca	8	TRUE	0.95
/sc/arion/projects/clemej05a/kevin/loclust/sean/jobs	job.1941.lsf.104427056.stdout	 L6_Ruminococcus_trajs_loclust_k7_7pca.tsv	7pca	7	TRUE	0.2708847050901986
/sc/arion/projects/clemej05a/kevin/loclust/sean/jobs	job.104.lsf.104425146.stdout	 L6_Sarcina_trajs_loclust_k9_fa.tsv	fa	9	TRUE	3.581106311435126e-11
/sc/arion/projects/clemej05a/kevin/loclust/sean/jobs	job.157.lsf.104425199.stdout	 L6_Dermacoccus_trajs_loclust_k8_7pca.tsv	7pca	8	TRUE	0.9586750403179842
/sc/arion/projects/clemej05a/kevin/loclust/sean/jobs	job.552.lsf.104425652.stdout	 L6_Jeotgalicoccus_trajs_loclust_k9_fa.tsv	fa	9	TRUE	0.9250812649688971
/sc/arion/projects/clemej05a/kevin/loclust/sean/jobs	job.5572.lsf.104431033.stdout	 L6_Paraprevotella_trajs_loclust_k6_6pca.tsv	6pca	6	TRUE	0.95
/sc/arion/projects/clemej05a/kevin/loclust/sean/jobs	job.6403.lsf.104432026.stdout	 L6_Shigella_trajs_loclust_k5_5pca.tsv	5pca	5	TRUE	0.95
/sc/arion/projects/clemej05a/kevin/loclust/sean/jobs	job.6173.lsf.104431748.stdout	 L6_Shewanella_trajs_loclust_k4_7pca.tsv	7pca	4	TRUE	0.35376379185459317
/sc/arion/projects/clemej05a/kevin/loclust/sean/jobs	job.264.lsf.104425306.stdout	 L6_Isobaculum_trajs_loclust_k8_fa.tsv	fa	8	FALSE	0.0
/sc/arion/projects/clemej05a/kevin/loclust/sean/jobs	job.6930.lsf.104432563.stdout	 L6_Planococcus_trajs_loclust_k8_4pca.tsv	4pca	8	TRUE	0.95
/sc/arion/projects/clemej05a/kevin/loclust/sean/jobs	job.3182.lsf.104428336.stdout	 L6_Enterococcus_trajs_loclust_k8_8pca.tsv	8pca	8	TRUE	0.4287859788777883
/sc/arion/projects/clemej05a/kevin/loclust/sean/jobs	job.816.lsf.104425922.stdout	 L6_Anaerostipes_trajs_loclust_k7_fa.tsv	fa	7	TRUE	0.5909725670654217
