ID	X	Y	func	noise	original_trajectory,,
45000	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	50.461814390588636,48.7209795152287,48.98197553886769,50.04008348134698,-0.8053010292155598,-7.457332948964815,-9.172945445937007,-9.97156396655339,-8.860929203436662,-9.559822843618134,-7.941503634919153,-7.850168790706771,-8.741287348157316,-9.80931606657051,-8.68328895893162,-8.35665624975881,-8.286186602608584,-8.444547389842713,-8.571386606168968,-9.823957939136573	exponential	0.04	45000,,
45001	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	119.21680387248603,117.78048556598381,116.37667118489254,116.78963488611922,41.90715634181079,23.795804364159935,22.776879202362565,20.529054910328355,18.805951503950688,20.583494214702466,19.396680879562386,21.68117681837622,21.588002193759742,20.010625573809143,20.529581724778357,20.742641291561995,21.17243274101668,21.854982378281377,18.068332462308753,19.398337061375123	exponential	0.04	45001,,
45002	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-55.63830367876558,-22.337718850413353,-17.729188034605684,-16.53679170332734,-16.757989191071193,-16.28701911168068,-16.62442018996177,-16.781534616413122,-16.40571249408783,-16.168314636580973,-16.12620324196971,-16.481134032182577,-16.815551936612817,-16.83521601650424,-16.354900749914364,-16.445419369533873,-16.331460168194305,-16.384359831371402,-16.629095465089783,-16.475884615020203	exponential	0.04	45002,,
45003	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	55.966885887023274,56.32253163155061,26.515089009737274,21.952673768871296,20.223430203563673,20.867739657477788,20.74328966201006,20.494038465380328,20.734281099656407,20.247737244799506,20.670037198331876,20.63136863530583,20.32411896465252,20.273803389124595,20.531932977835574,20.205773871808876,19.850448660646137,20.576844885806302,20.048259042463652,20.29220470401551	exponential	0.04	45003,,
45004	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-50.32867754827804,-22.72397756131884,-7.931740387391368,1.98436750596996,7.260557602935927,10.87793496895686,13.61777636730885,14.687784769761413,14.527776909509429,15.043543664715086,15.482794495389854,15.717039808015931,15.526234399903315,15.962171604153923,15.614620855745938,15.864074552965054,15.593581414064108,15.430440396426716,15.092191669030809,16.35515046212019	exponential	0.04	45004,,
45005	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	60.66409938872576,60.825727109668605,61.3759853690478,61.63391574408139,60.4704502121142,59.95774079356053,32.210689694889275,23.91082503149295,21.84236855774055,22.64444701687944,21.309942246697368,22.36430753442808,21.711958560399452,22.7477199791894,22.593966978133974,21.16837986073599,21.40317023920313,22.762875297882527,22.161236323533167,21.81656612005796	exponential	0.04	45005,,
45006	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	104.45562806872556,104.81087890682619,106.32312515896163,105.60403297471242,52.82214499329333,43.91749915591041,41.59778836117238,42.92890421603169,42.996374078523395,41.276784842536834,42.38211396652651,43.0118143864296,41.3356491553226,41.23802607211419,42.56997242052985,42.73676658037079,43.523698888885114,41.57118306921807,42.77402167913038,41.8375993327449	exponential	0.04	45006,,
45007	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	2.2616385586016072,-23.881782615045033,-27.507540187996323,-28.313853389628044,-28.917427021962244,-28.602136842596032,-28.93863835681805,-29.110541331143388,-28.673253143713488,-29.324076147665085,-28.585288891373757,-28.40686499225315,-29.100996972100056,-28.445388648756076,-29.304007578316686,-28.52723185855112,-29.107278983001464,-28.418757908986883,-28.955926708107857,-28.46295079548731	exponential	0.04	45007,,
45008	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-135.98164103218232,-134.01602674780128,-134.0409320984078,-135.6019863254384,-136.78215748269076,-133.21575051630154,-60.98636229017268,-52.28597600108313,-53.361692150337454,-52.37230592484897,-50.60518848235222,-53.4238709743849,-51.414756040640874,-52.48538147171203,-53.50870443552908,-51.15420338412533,-51.5559093115003,-53.5383278845869,-52.676315828086885,-50.24130543040609	exponential	0.04	45008,,
45009	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	45.19721291091067,45.99842505115249,45.652693681823784,45.33556208852281,45.33270903762192,45.99001890737319,18.631610905857272,8.534835360991707,5.053709929246938,4.371377675568904,3.9061952487867266,4.439287994924052,4.8161045789029675,4.387519675189457,3.6530519612647034,3.9150439071278407,4.02179164679032,4.1365632173006395,4.0531593531214005,5.204785322096681	exponential	0.04	45009,,
45010	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	61.725383962028445,62.02681534414236,61.31324056811803,61.181806671002995,61.127658126986745,61.94707196968376,32.96101364721241,29.161603929465674,28.57898901275226,29.211469599939562,28.577287144148936,29.472556308281405,29.30485318708066,29.5070291431189,29.388681475466974,28.576984437626066,28.82683939551732,29.10266991125721,29.64325275396487,29.528164839597935	exponential	0.04	45010,,
45011	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-120.09323312757611,-122.55149398534002,-120.81014795917729,-122.72308063368554,-122.750768374268,-75.97863965368684,-59.02025023572681,-46.555636261557595,-42.801746221785564,-41.04558383480061,-39.92082753907666,-39.76437854154995,-40.84942317240118,-40.20367415487426,-41.01295332442949,-38.67065171917864,-38.945701263243116,-38.91053578570732,-40.93556503401051,-39.59790906858783	exponential	0.04	45011,,
45012	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	79.69858763046274,78.23051411152261,78.737003371469,78.92027812836356,79.08469355970472,78.31492885399805,28.522875249195437,20.78661632667131,21.417751334560286,20.218779901944124,21.106862401365003,20.149885097245367,21.087124996301075,21.862748351306692,20.158888432968617,19.306912623968916,20.1376602428716,20.541750055194612,20.483860640314134,19.940710018144625	exponential	0.04	45012,,
45013	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	21.93803881082194,21.69993599523877,5.979289383665867,0.605749121408153,-0.5659943337300041,-0.9962342554377812,-1.0483886544928036,-1.2287348910761489,-1.449343844510069,-1.585932854237494,-0.8331601063466105,-1.5310476812718448,-1.2744410653872662,-0.9134043480063091,-1.1464354584928356,-0.7732772345087002,-0.9122467923812383,-1.2091200869821839,-1.6039857492476894,-1.1297487778464979	exponential	0.04	45013,,
45014	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	93.05164423826368,93.90833348325145,91.95138246998098,93.39827478997564,92.53497690942027,93.8243016519133,32.453853020402605,23.947150013388075,19.242283072587576,20.33767350503668,19.96005993172106,19.83907981891954,20.85870164370622,21.162927344378087,19.626751640027486,21.50516082077364,19.46932269013605,20.248731096010044,20.96634266591663,19.654435620772812	exponential	0.04	45014,,
45015	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-38.17530559060336,-37.358055322187965,10.75025230287174,21.016042121757643,22.429823645786612,22.588091800573064,23.85230078562056,23.580539044350203,23.113119826618522,23.63233159952385,23.22257927762462,23.501776661829656,22.125908048939042,22.24782158706074,22.206244512079316,23.135417725837346,23.354758597333014,22.292273615839264,22.951021825854202,22.214126129612016	exponential	0.04	45015,,
45016	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	8.270718454763987,6.898555803872483,7.209809757680922,8.827383118941462,8.432746202997507,6.970124741970608,-22.049636845820416,-37.72798564178176,-44.15049331459531,-46.007629972980915,-46.09822798225692,-47.42685102799713,-47.40817095037831,-49.02016159924811,-46.944409813930655,-48.93960907395403,-48.50436351035944,-49.08552095385471,-48.60964480175369,-48.78529083489037	exponential	0.04	45016,,
