ID	X	Y	func	noise	original_trajectory,,
468000	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-73.12715117751975,-8.402341942182112,-0.9654327972105639,-0.11092865445651631,-0.012745751351193636,-0.0014644924551044287,-0.00016827082938950818,-1.9334392556780974e-05,-2.221530237272459e-06,-2.552548046504285e-07,-2.932888970132776e-08,-3.369902369871828e-09,-3.8720326947643195e-10,-4.44898265402688e-11,-5.111900703368631e-12,-5.87359646759882e-13,-6.748788262153677e-14,-7.754387496423108e-15,-8.909825454428196e-16,-1.0237428767261732e-16	exponential	0	468000,,
468001	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-48.98619485211566,-48.98619485211566,-48.98619485211566,-48.98619485211566,-8.577218438437743,-1.5018246745388726,-0.2629613981784757,-0.04604312214620563,-0.008061902285488906,-0.0014115955962844574,-0.0002471627733613536,-4.327686817419443e-05,-7.577546138909961e-06,-1.3267874481163996e-06,-2.32313324156474e-07,-4.0676809731091305e-08,-7.122289932819142e-09,-1.2470745425338433e-09,-2.1835602443951876e-10,-3.8232961850183694e-11	exponential	0	468001,,
468002	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-5.550951284776673,-5.550951284776673,-1.1743746715921264,-0.2484539673513998,-0.05256361141454332,-0.011120503626457959,-0.0023526846344474866,-0.0004977404958527334,-0.00010530336177840787,-2.2278271698260803e-05,-4.713253038454253e-06,-9.97148903890623e-07,-2.109595916913387e-07,-4.463119715915365e-08,-9.442300034282002e-09,-1.9976392212709493e-09,-4.226261021013457e-10,-8.941195200589774e-11,-1.891624090834759e-11,-4.001972466489046e-12	exponential	0	468002,,
468003	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-81.22808264515302,-81.22808264515302,-81.22808264515302,-81.22808264515302,-46.657237135799114,-26.799817332338453,-15.393757820598116,-8.842141604946109,-5.078907247540496,-2.917313472416006,-1.6756986260108064,-0.9625177108201045,-0.5528681167734036,-0.3175662651278721,-0.18240938424126787,-0.10477556060899805,-0.06018285817142848,-0.03456890515908366,-0.019856305270410796,-0.01140541932633758	exponential	0	468003,,
468004	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-13.446586418989327,-1.6851666718302214,-0.2111901581086027,-0.026466986101437766,-0.0033169223394087953,-0.0004156866884466099,-5.209510662902883e-05,-6.5287155208927315e-06,-8.181982744804349e-07,-1.02539069778801e-07,-1.2850504772548555e-08,-1.6104639262431994e-09,-2.0182818524538705e-10,-2.529371549133033e-11,-3.1698845360895218e-12,-3.972594684866916e-13,-4.9785751974743794e-14,-6.239300246593721e-15,-7.819278814326837e-16,-9.79935549816822e-17	exponential	0	468004,,
468005	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	39.166573353688705,39.166573353688705,10.406098025858581,2.7647778922579507,0.734568978162939,0.19516634055499787,0.0518534019512875,0.01377683921456779,0.0036603441934698385,0.0009725104144716327,0.00025838458250540476,6.864974552767604e-05,1.8239430214130887e-05,4.8460021516326325e-06,1.2875257931815336e-06,3.420804647288995e-07,9.088675735185122e-08,2.4147542796636146e-08,6.415718198174855e-09,1.7045808902811415e-09	exponential	0	468005,,
468006	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	18.230687000260787,18.230687000260787,18.230687000260787,7.695744705647411,3.2486151823929053,1.371342346573575,0.5788866104235525,0.2443661924135663,0.10315463325540163,0.043544805674459855,0.018381628060581377,0.007759461660790701,0.0032755121073522846,0.0013826963820990261,0.0005836795048866889,0.00024638942347385935,0.00010400870253541993,4.3905335101566085e-05,1.8533818838133705e-05,7.823706160769224e-06	exponential	0	468006,,
468007	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-93.8820033932893,-93.8820033932893,-93.8820033932893,-93.8820033932893,-93.8820033932893,-54.700553708569196,-31.87139673073852,-18.56993870628773,-10.819815223933947,-6.304188900765395,-3.673149390631055,-2.140168490867274,-1.2469738314983687,-0.726552018253293,-0.423327115528666,-0.24665246567293306,-0.143712596219029,-0.08373445712641056,-0.048788063779522065,-0.028426471598917837	exponential	0	468007,,
468008	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-98.159012289123,-98.159012289123,-98.159012289123,-98.159012289123,-98.159012289123,-98.159012289123,-10.918096377370107,-1.2144053380898918,-0.13507669049688872,-0.015024400620875487,-0.001671144097373063,-0.00018587913519188987,-2.0675088972876146e-05,-2.2996626468864454e-06,-2.557884174729666e-07,-2.8451005455912585e-08,-3.164567494686958e-09,-3.519906332993275e-10,-3.915144996542969e-11,-4.354763705010423e-12	exponential	0	468008,,
468009	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-56.680120573877325,-11.13998074523869,-2.1894655436121893,-0.43032025604836954,-0.0845756734129878,-0.01662260707628958,-0.003267027679028577,-0.0006421056460369231,-0.00012620023494722523,-2.4803549694716475e-05,-4.874920222736055e-06,-9.581228280040583e-07,-1.883106413231243e-07,-3.7010805503296244e-08,-7.274149322514225e-09,-1.429670271875645e-09,-2.8098915703568625e-10,-5.522595519038195e-11,-1.0854177288779619e-11,-2.1332933800804117e-12	exponential	0	468009,,
