ID	X	Y	func	noise	original_trajectory,,
703200	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	43.07210318443525,45.44389603358525,44.109656450597704,44.432122310157766,44.50684435968488,45.42237865837814,44.0950993981991,44.341337145761685,43.257255779403906,44.84365217794599,44.311714702631036,44.33785436225075,43.87740855109198,45.278063284964894,43.37856830444096,43.1361128644729,45.473759737331044,43.85567545719242,42.724040461327,45.02507684251844	flat	0.12	703200,,
703201	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-82.48479904335633,-82.35347387530152,-84.02663200087929,-83.04437239916788,-82.06184329532256,-83.6698104732518,-82.46054624404437,-83.55106925906992,-82.64165761635326,-83.09823776548416,-81.92918020777809,-84.43510203438697,-83.73650543332631,-84.73179422317178,-83.34590654485196,-84.06120529023741,-82.81099900003184,-82.48813215191888,-82.25789505675365,-83.56854054404911	flat	0.12	703201,,
703202	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-0.9470082764868497,-0.9494911597902185,0.016560783377560284,-0.6544056935242111,0.09127191651082711,-0.12776942333786856,0.27860672848935053,-0.6867390556557833,-2.221111417000282,-0.11497639250325342,0.19902572941571428,0.018053004361791025,-0.9952175898791875,-0.5582839456572266,-2.076104393390649,-0.20262791985080852,-0.9818572706062536,-1.853175766815946,-2.52195998560439,-0.1351913054053906	flat	0.12	703202,,
703203	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-10.061007694305232,-10.845131089516572,-10.412979076148073,-8.979071533569991,-8.66513063522942,-11.166922918391307,-9.444839821026981,-11.164657829524328,-9.13110179039029,-10.301071939823034,-8.640558032379317,-8.339433477646393,-9.774291349506278,-8.285467452623033,-10.365336794897583,-11.067945557508741,-9.489435281057613,-11.205608172827901,-10.704368957102094,-10.068633728283261	flat	0.12	703203,,
703204	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	74.22712232632266,72.29449760098282,72.35604100712986,71.68612857367398,73.87029476412988,72.40602578990347,73.89500588350836,72.43453399310152,73.88576963427062,73.32458173481857,71.57817585498992,74.20597777646195,73.71873577855085,72.08762994596074,73.18363558629247,73.42920505244786,74.09592894683418,72.58928593745034,72.04817335976183,72.18332180058388	flat	0.12	703204,,
703205	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	43.93393473292588,45.73271799264203,45.782183339891056,44.05479350169357,45.76757125209655,45.281176582498254,45.924398945838654,44.93795276120986,46.00794184141173,46.10179650373333,43.94036474939779,44.05629200104548,45.914552466235264,46.78197710566293,44.63162201719375,45.25116903522866,45.662891512898774,44.83966697907991,44.972307636845564,44.81746023916644	flat	0.12	703205,,
703206	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-27.291127452904675,-29.35164646086784,-27.213363433498976,-26.735341576824585,-27.603842263808758,-29.27148466761639,-28.15856999493232,-27.69445268023954,-28.85493839044687,-28.6785812942624,-27.620959873337004,-27.707086664507543,-29.375346614420657,-27.854477481805013,-26.8024487030805,-27.63042931057299,-28.99056239511392,-27.22330278346945,-26.7675999407832,-29.42689974583893	flat	0.12	703206,,
703207	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	35.018238094894,36.577469459939024,34.30357710583313,37.09249819668996,35.15272453101137,36.726017352727936,35.936841706029135,36.809118627829854,35.22811485283829,36.70108156291753,34.45945315981996,36.071194505469975,35.981061991198935,35.47317630983601,35.766434700894095,36.76758573328949,35.60436373881228,36.11602441707011,35.078018511366665,35.917206562376734	flat	0.12	703207,,
703208	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-54.42343076954044,-51.589418415119916,-51.780513992916724,-51.457634913705846,-53.12602996108385,-51.56860480127397,-51.6373983083756,-53.76692923447825,-52.18648604250868,-51.91119165460319,-52.43569336799712,-52.87040084185518,-53.564778134000306,-53.40768899519275,-53.750698231943836,-54.23198420271808,-52.660062250546055,-53.570909473620986,-51.99122587144632,-54.30140230584725	flat	0.12	703208,,
703209	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-43.93420972166508,-45.63656549026625,-43.42591188278445,-45.157458362750525,-44.77077644786963,-43.67471568086992,-44.0911853035719,-44.42698216722182,-42.84092369742175,-43.82789567349204,-44.64557891936262,-44.91393519395241,-43.074556852021935,-44.23541114311203,-43.31411360952773,-44.61390867952757,-45.08042758407569,-44.06197908556989,-43.209987921053376,-45.1590264189529	flat	0.12	703209,,
703210	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-101.58589424097886,-100.87951725962472,-103.33313753778668,-102.66444904357458,-102.67293629883683,-101.89188176257008,-102.2067497226308,-102.05603410929136,-101.13935613538327,-103.47843998026528,-103.31833730965184,-103.1008519728815,-103.10760649167958,-103.27732471318778,-100.54092965322712,-100.90399128167851,-103.22384743366916,-101.96780771877071,-102.53008882608849,-102.53406367560446	flat	0.12	703210,,
703211	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	7.414338244506975,7.2960153580321165,9.479308869484584,7.790497488293324,6.881392397182083,6.506622852337547,8.679222485610346,8.897382806994623,8.207276671108318,6.625805913187893,7.8874746470495545,8.459507074043989,8.130552646122561,8.418459264918344,6.627248530451078,9.172884363331137,6.6563113893588355,8.390583898636399,8.790952244140485,7.44703934785635	flat	0.12	703211,,
703212	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	17.507187596778774,18.385085927086593,18.866169754426437,16.983317476519098,18.050088744510518,18.05300701255622,19.42324657853748,19.594792247543225,17.897148328198423,19.478153815573368,19.155269004311364,17.55880828728107,18.168613675720614,17.139012185745223,19.222615796300545,18.76689377410321,19.44641797841385,19.159956564333918,18.782811887127494,18.982615415893626	flat	0.12	703212,,
703213	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	52.80826524579829,53.226803487252155,55.131387812270205,52.92726395948509,53.070642487938414,53.09329003292928,55.45193741571659,53.334399986050194,52.86438379648096,55.3343857123566,53.159667813923825,55.34165542184975,54.8271267172082,55.31822106616198,55.6691621937423,54.54192065604053,55.20519131526865,52.90297726652969,55.11059789427009,54.33735532867668	flat	0.12	703213,,
703214	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	49.133809958805045,50.50281730243342,50.49315052578651,51.457253876583074,49.37689677902224,49.06564523250666,51.8465341634423,50.782573195072175,50.20335930670261,50.94604411733128,51.678275938190346,49.59572314079281,50.64211341333491,51.666624475380544,50.51283901504554,51.749807260680676,49.96538201320979,49.54248552728877,51.63861877458051,51.37929364186365	flat	0.12	703214,,
703215	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	85.84182379398189,85.59344860286649,85.12011864342793,85.0193582133292,85.500141152761,86.26841832973392,84.00969574485504,83.84825932724763,85.81778582841716,86.32643002150417,85.12060719863277,84.89656780422033,85.72948645001856,84.12075967650567,84.36607356593197,84.16021941442209,85.32702267356782,84.50946462802577,84.26023754247545,85.6456132891641	flat	0.12	703215,,
