ID	X	Y	func	noise	original_trajectory,,
145200	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	0.0,0.0,174.51716998950616,269.33969835998045,328.90989838200466,369.805019099532,399.6169200484687,422.3135084925334,440.1705565555425,454.5868229971124,466.46939619403173,476.4322742822414,484.90589355351744,492.2009554233625,498.5473528387279,504.11883762040185,509.049171863702,513.4430067456296,517.3833932187986,520.9370814715187	hyperbolic	0	145200,,
145201	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	0.0,94.20789824647476,164.9786650063453,220.09079743174993,264.2235429923462,300.36064683658816,330.4945108167642,356.00633309373615,377.88378566650726,396.8518478446677,413.4546970793249,428.1087636412534,441.1381388367805,452.7988247038278,463.29572303020893,472.7947794107161,481.43182117960805,489.3190937183009,496.5501653508024,503.20365690718006	hyperbolic	0	145201,,
145202	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	0.0,0.0,754.3848416474298,800.9853333604703,817.8251260431472,826.5133711583062,831.8154950585258,835.388199297822,837.9589785260118,839.8974703904864,841.4113981260379,842.6264755725612,843.6232432121656,844.4556861009451,845.1613450756888,845.7671349649507,846.2928557683421,846.7533978915037,847.1601750452717,847.5220829805598	hyperbolic	0	145202,,
145203	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	0.0,0.0,0.0,297.9324286452468,458.6734270837876,559.2490934877907,628.1139740149558,678.2230389275902,716.320308221428,746.262593707139,770.415187766537,790.3093079080385,806.9799619339966,821.1518874566632,833.3477104050223,843.9538081561478,853.2619928157494,861.4967739706377,868.8337039383892,875.4120326000042	hyperbolic	0	145203,,
145204	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	0.0,0.0,0.0,0.0,56.459119284610466,102.0236473202766,139.5695086454139,171.04225523067157,197.805139581557,220.8418001166704,240.87979634868583,258.4688505397615,274.0320544963655,287.9003463222735,300.3363047736356,311.55093311402715,321.71572942176465,330.9715186637246,339.4350167050819,347.20377787408444	hyperbolic	0	145204,,
145205	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	0.0,0.0,0.0,0.0,0.0,267.8893033736893,382.968136376649,446.97078712445324,487.72580196626063,515.9526932203568,536.6585949648463,552.4960504485531,565.0014668293219,575.126296709667,583.491229952184,590.5184335628437,596.5050451170667,601.6662680357995,606.161791450932,610.1126064347535	hyperbolic	0	145205,,
145206	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	0.0,0.0,0.0,0.0,123.09849170669044,212.15337444255442,279.57149443102844,332.3840051999469,374.87331803814226,409.79674347626343,439.00990699380174,463.80747523409514,485.1202352069136,503.6345415449929,519.8676107396594,534.2165984347307,546.9915256235452,558.4379324295851,568.7528136216765,578.0960508352281	hyperbolic	0	145206,,
145207	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	0.0,0.0,0.0,476.9861376057619,592.6621669844271,644.7854274362868,674.4432874182922,693.5847619749628,706.9610051119344,716.83575800447,724.4247716389991,730.4393524628128,735.3234063853093,739.3682984497834,742.7731918651498,745.6788455533451,748.1875605403176,750.3754744326758,752.3004228735292,754.0071270814126	hyperbolic	0	145207,,
145208	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	0.0,0.0,0.0,0.0,0.0,31.876622321656708,51.034840925645476,63.82045049244783,72.95963222436843,79.817633223887,85.15377755250191,89.42404418539739,92.91879242437703,95.83169727295214,98.29689947906564,100.4102485343021,102.24205564838755,103.84506814425913,105.25963145791,106.51713168255485	hyperbolic	0	145208,,
145209	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	0.0,0.0,0.0,0.0,0.0,130.4133950522091,222.05649750962323,289.980878378978,342.3396443994605,383.93329809435556,417.7723604995692,445.8405273684288,469.4980579038866,489.7088506879529,507.1750085658275,522.4200673499242,535.8423711389775,547.7503823668474,558.3866790548527,567.9446534413432	hyperbolic	0	145209,,
145210	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	0.0,0.0,114.108237022053,203.25103116805377,274.81366507089245,333.52992250573135,382.57402252615697,424.15400266614995,459.8533360023139,490.8371765457451,517.9819396349794,541.9595250577929,563.2936844584369,582.398719906568,599.6066543387429,615.1866908994232,629.3593990562315,642.3072225851761,654.1823759349242,665.1128561143237	hyperbolic	0	145210,,
145211	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	0.0,0.0,0.0,0.0,0.0,55.517158513032776,99.94096663842025,136.2943861364864,166.5934873755158,192.23444472086038,214.21478434770617,233.2661865132274,249.9375152466072,264.6485590996024,277.72586735310375,289.4272749370824,299.95907321616335,309.4882769585818,318.15154714954707,326.0617870335127	hyperbolic	0	145211,,
