ID	X	Y	func	noise	original_trajectory,,
517800	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	117.26021639433995,116.31960162276391,177.2701022570938,213.82672575312026,232.0523991919569,245.02849242623154,248.9754780126115,259.7198500100218,262.7720231434716,266.35991521687305,269.520588892447,273.913126564727,284.25217678001576,285.57679773872667,287.40370559991493,289.1491446427228,284.2971756094819,286.9632220410839,291.6160121670178,293.88649690837576	hyperbolic	0.08	517800,,
517801	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-103.48113366856894,-104.88268062133866,-107.65760147340097,-105.15636355708205,-90.23841344784577,-68.28817516493203,-56.57843102353415,-48.89289278737017,-42.11492582207629,-29.29714714215308,-25.44230335129143,-16.918734360199252,-11.969088960230835,-10.159239239570041,-6.748542882503003,-1.3800440800533522,0.6558842889039056,1.5274535511447596,5.630758698575406,12.576538506664605	hyperbolic	0.08	517801,,
517802	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-217.26862639593085,-219.74417791893413,228.8402955101841,339.7025998452158,344.4298416062038,372.80431151356163,377.20608419320354,402.70779176825965,395.1628780950982,403.1365045023589,422.251278576785,408.70697787265215,420.56056250502525,436.2181667699309,406.6738980552361,406.71512589365597,414.62259488720525,436.7767115709819,431.99795290465494,418.18705097730964	hyperbolic	0.08	517802,,
517803	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-455.81040018088,-266.2599796708665,-177.93649267996352,-132.57646121361626,-94.25610468817933,-93.11412637701716,-69.45510471612499,-40.18748731172724,-34.052722470519655,-33.98079504650315,-14.273251535136865,-15.806489363623655,-5.98879004459809,-13.844296291212913,-12.333836038284801,-2.949904260823075,-7.128907723980603,1.365243217816726,17.458678483351775,4.85298719541197	hyperbolic	0.08	517803,,
517804	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-13.600289088141054,-15.008884845060932,-18.768875082035716,-1.5550514697528293,162.0491524132159,189.77076554987798,200.28669032383416,207.58615330111587,214.4626039747312,227.57192887773576,219.67006510255703,219.35250145411942,229.52220462042175,225.9672626612896,241.47951623979367,225.24042762173474,233.8353888139767,239.17637900969396,232.5913687865068,244.29024473944563	hyperbolic	0.08	517804,,
517805	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	202.17155675126028,335.79229528833946,424.82994213168524,471.00364428299457,496.4680281907756,510.2218084410829,533.2224833290392,547.2858042557503,558.1170328203716,568.1693475001358,589.9791356986566,581.0524135179686,584.9669211243925,609.0337915186212,605.6774512182953,618.8433223751681,609.6771772560725,623.6206464791586,621.1444314198282,626.7011341605165	hyperbolic	0.08	517805,,
517806	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-103.83234843176737,-103.59258140517862,-72.46624787984493,-55.901099221848106,-36.48412440250924,-22.38957940214982,-13.632812627180584,-3.699251050319333,0.5961004879904408,7.6381545944073395,12.955966314984792,13.45399516191118,23.309720994256537,26.97899789264926,21.817883701149228,32.77156604767417,35.088009037330494,34.55055600977555,30.76307353032928,40.45871790907445	hyperbolic	0.08	517806,,
517807	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	244.71088153353492,323.12658266671707,375.64736088912053,426.28824832724484,470.3421705683345,484.61335518739565,508.1493057877061,559.3338426518468,557.3330595898691,601.5921793923262,599.1323914655068,634.86813998204,649.253023546718,665.6525989629217,669.2836818108918,689.9052472305776,681.9960913437874,704.8073522935804,704.6220105272839,728.58730691325	hyperbolic	0.08	517807,,
517808	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-384.20016033818166,-269.41731347207224,-201.63663913050505,-139.76481407661535,-106.11796132309888,-86.21786650957358,-54.482151004482546,-22.530202861807425,-10.64911155962119,-8.294275590302846,26.350400435669656,37.78928689935992,29.02411188604782,49.927399853578606,53.921823751255374,71.68545444555252,66.08115879232912,70.10607468949604,82.08618354495638,99.42444663235608	hyperbolic	0.08	517808,,
517809	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-604.7158426140986,-608.6930035374404,-587.2226578993224,-591.3384152587399,-627.28358922874,-278.7998946293704,-201.69542563842214,-138.44192662174243,-76.02045974711893,-73.13336769572629,-36.917188879409764,-55.91710107150516,-9.986716851214396,-37.20887166939883,-31.90868432255695,-8.865278570412556,-12.026273988463913,2.3257721331020775,24.192165209536938,17.47234946385504	hyperbolic	0.08	517809,,
