ID	X	Y	func	noise	original_trajectory,,
424800	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	186.94309363615247,230.58374882942087,304.1651094514625,359.6094541840697,358.14362193920806,401.03632563371275,423.20662365643193,416.9114921473781,443.9400147671341,468.4151696278572,468.65753653145714,488.2140447382785,473.66512719511456,483.7272321102903,484.88036123533334,505.9335732572912,527.325520386158,518.7488229212735,530.0941072671637,518.523224967206	hyperbolic	0.16	424800,,
424801	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	281.13217610604727,264.98940914824874,247.24845993489637,256.7562349630874,433.26884454133017,497.56146993163657,555.9996004547525,541.8689199091208,590.5462913415988,598.8923963922623,561.6429363032717,583.9444114432645,594.0159320284959,572.4841835302235,596.5746434430439,624.5101848283024,584.3392257988403,611.8356564090111,588.1064136342571,613.7530176072785	hyperbolic	0.16	424801,,
424802	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-73.10784024087624,-42.843487105446215,-24.31637928517634,-9.469724066658884,1.9308269693391935,2.10504194005091,5.750558008936395,11.146314454767221,8.142273815174576,14.941250888534341,12.543039907420095,18.265217146465545,22.92658735580912,14.987057823688545,20.863788668419417,22.17215401126424,18.34595334616553,20.16283165239477,27.946463991145137,28.49486073905895	hyperbolic	0.16	424802,,
424803	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-230.8008059618345,-281.62375718944105,-134.06742087179464,-14.040932522889335,52.52192938561842,129.68141039363485,118.7425785593556,184.89227556777234,267.88067922152334,274.70946032604405,290.7241401701921,310.9559933670545,385.0918869509892,367.86669860612767,335.76551939111835,421.6050656384423,394.02059462171866,416.66326513110016,409.12772046131835,440.9449190112639	hyperbolic	0.16	424803,,
424804	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	622.2980126164452,929.8752762533348,1083.6753107196953,1138.0010157630288,1150.5695422089607,1183.8428259438115,1170.8169219695337,1211.0221341187207,1200.7425624083385,1195.8559200439645,1245.264345298549,1216.1073550152714,1218.2981436736936,1250.7700087157214,1224.2525999765885,1244.612520828572,1217.0846851543201,1259.3060556971034,1226.0583752348275,1215.151904483801	hyperbolic	0.16	424804,,
424805	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-550.0183805067217,-633.1913123033886,-626.333092760406,-605.6768658014965,-580.463177780305,-200.3392800478028,11.032661942037407,18.76566299132105,49.58123185932436,151.17881165852907,123.42006058965967,140.70981499255424,225.72582631801822,261.0684790904139,185.97211002008976,250.9478104810421,295.6665669647556,312.23752448866344,266.0261395088455,342.7911737048921	hyperbolic	0.16	424805,,
424806	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	530.1170914405877,497.2141598012554,492.9875953582515,532.981202162627,503.3834990942991,638.8101773901742,669.5493531986406,788.6338157693181,792.3850661888092,816.8799473101251,865.9900306023563,919.9014861067307,954.9396634282559,963.9261309435926,966.5195732558349,1010.4990664770762,1065.5074323049041,1046.0141219840095,1093.1363292279912,1029.2946414865714	hyperbolic	0.16	424806,,
424807	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	98.8499887633752,119.13330100772524,73.16732894474096,164.25451327479243,207.4656813762733,234.79710029641564,292.14184080324117,321.20166413440984,312.92838241317406,367.5717950518576,373.7147383818069,393.0688926353226,416.56905950792503,398.72980440037486,441.3056412259405,440.25951464019676,478.2630133655042,452.580228767879,493.64401754491814,496.6881447816231	hyperbolic	0.16	424807,,
424808	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	59.54947421219371,60.345509389679755,57.010823484183454,66.42862370010238,78.95007704180102,93.26568919837673,95.75088390819438,100.92620663062691,110.19954655342478,116.60421560768026,121.79796506821695,119.43256500832005,132.12466007815664,129.8252314306667,138.1696497391809,131.2231103882443,145.18270396585615,142.85706147019502,149.57304979429773,151.51362885512248	hyperbolic	0.16	424808,,
424809	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-296.73489633179497,-324.8230519361504,-122.75088472101922,-58.41349839824886,-22.61611040431808,37.85329350159418,53.99911026520863,35.41886994227849,60.755376016587434,53.702301595052404,61.12851335130654,57.79039520989852,73.7588968526311,57.50489747204858,60.86438105059614,75.43382948758045,61.938081677691684,75.10117737449156,100.64162676230097,57.87817569014993	hyperbolic	0.16	424809,,
