ID	X	Y	cluster	func	noise	original_trajectory
142784	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-30.3979794992,21.0049177635,44.873385197,62.35531062,72.2606535035,78.5497077459,81.995547781,88.3540542493,89.2489022724,92.0381150191,94.2828046936,98.8031033415,100.824571218,102.215905301,103.365020867,104.483455907,103.022712791,106.498558953,105.29026938,106.689884065	3	hyperbolic	0.04	132000
141668	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	56.2210117341,104.910652322,130.610447472,146.048042111,157.040798664,163.09704996,170.443593029,173.610491717,177.538052346,180.046821775,181.322884799,182.143793555,185.296215502,187.393579053,186.654057842,189.488785862,188.719291859,190.141460294,192.977835268,192.985664417	3	hyperbolic	0.04	132000
140503	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-65.5955896829,-15.2343116809,12.458945496,27.0332761235,35.4367625969,44.6903633293,49.9458587928,54.1586303198,54.4975748262,57.1673015298,60.1843474279,64.3728514045,66.1357167207,64.5449509548,67.3923924611,69.2040918159,69.9739239484,68.4911571037,71.7571529442,70.2306008389	2	hyperbolic	0.04	132000
143654	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	5.66153329315,56.6193195422,79.5159508276,94.8757230919,105.889650901,113.885609571,116.629309845,121.12610129,123.99273746,127.785083254,130.118741826,132.320645018,133.997485208,134.055278519,136.376159537,137.662077517,137.756210958,139.866148505,141.295425529,140.536021947	3	hyperbolic	0.04	132000
142501	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	116.766922388,167.631465438,191.939613879,208.184545531,219.561940986,224.348807852,230.536029055,235.847880715,238.823345648,239.570067443,243.461916087,246.59037674,247.508081749,247.929840728,249.415264586,251.427595584,251.01768701,252.975453005,252.578137635,254.942117818	3	hyperbolic	0.04	132000
143952	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	8.90402645826,57.8812317712,82.4851191342,98.4435196884,108.684950655,115.282704349,121.602103837,124.04010157,126.39622508,131.516032842,133.292859867,133.170299417,137.867855994,136.206765311,137.443066551,138.950653723,142.707234866,140.415705144,144.011383168,144.359782357	3	hyperbolic	0.04	132000
141728	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	96.7281793979,147.975804325,171.744629989,185.722074491,196.058969417,204.572239616,209.435825988,214.222254271,216.583369425,218.238954483,223.119279713,225.07361916,225.35068441,227.145326469,227.884029211,228.318688131,231.474628079,232.455622154,230.761452758,232.554098377	3	hyperbolic	0.04	132000
143604	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	77.1564168233,124.823154114,150.160367907,167.363253506,176.412943514,182.440048368,189.244221937,192.976312521,197.193802059,200.209837804,200.505119004,204.1653809,203.971922902,207.864735196,207.056403806,207.170590841,211.309297238,211.960341109,210.599026178,212.946068255	3	hyperbolic	0.04	132000
141822	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	117.449625237,164.929074675,191.736194834,206.840050831,217.888166519,222.032466779,228.409188652,234.476819448,235.669086363,240.133032993,242.61668237,243.67697775,244.617622888,246.071315548,246.05851166,247.132232654,248.246710056,250.142761586,250.1342434,251.907820163	3	hyperbolic	0.04	132000
141084	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	12.3427423195,59.9466235792,86.2302760952,102.22666532,109.40533478,116.664103895,123.925058974,129.075990258,129.516032908,133.347482087,134.995623573,139.615449216,140.827623107,139.49424409,143.159164202,141.835878113,145.27344255,146.238674729,145.82778324,147.418110839	3	hyperbolic	0.04	132000
