ID	X	Y	cluster	func	noise	original_trajectory
143532	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	64.1118989666,114.257537939,136.388215423,152.827157,162.428312025,168.5105264,176.881657878,179.976106317,183.518559868,185.357853261,187.485776816,190.643622953,191.555476067,192.223552881,192.289859224,195.546100301,196.865036023,196.796200998,197.856617268,199.442629791	1	hyperbolic	0.04	132000
142018	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	81.9182949677,132.270215682,156.582113252,174.469197796,184.554837244,190.847624566,194.465342197,197.911838267,203.459854471,207.24186194,209.396243322,211.042070785,211.835122628,212.094341639,214.334491505,216.045881275,217.403291717,215.961437487,217.855343497,219.395013915	1	hyperbolic	0.04	132000
143884	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-27.8307967717,23.5491101881,47.1531326699,62.1247184845,73.7014598538,79.4178228037,86.0968695498,89.6542785721,90.8604947339,95.0570020027,98.6097809853,97.621100562,101.126265274,101.725717338,104.035406111,104.115900326,106.208875313,107.841286368,107.187796457,108.217442261	3	hyperbolic	0.04	132000
143518	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-74.5894659522,-25.4900645497,-0.0503457071727,15.1010713186,23.9279905864,32.5004226549,38.2614843985,40.999799877,45.8505077489,49.2773703558,49.0661723214,51.5924435951,53.9189684565,53.4377283549,57.6753471875,56.4328261648,59.6347032304,59.980763595,59.0455299336,61.1023568746	3	hyperbolic	0.04	132000
143111	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	117.376751955,169.720801748,193.173601372,209.636097499,220.226630767,225.904449962,231.897371045,234.136967917,240.184995866,240.743545167,242.487819341,244.312436542,248.680200262,247.129460195,248.980655067,251.820877778,250.776675433,253.46089389,255.316103801,254.577101532	1	hyperbolic	0.04	132000
142894	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-50.8010047266,0.460112241958,24.0006731268,38.3333206629,48.7274194319,58.3032908408,63.4026536733,67.2254109672,69.6372583048,73.9146732959,75.9834067793,77.9184847942,78.8794774276,80.8090487102,82.2765458494,81.8719771231,84.4170317032,84.6158882215,83.4292052059,85.3099795472	3	hyperbolic	0.04	132000
143829	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	129.842523756,182.664011579,207.358861952,219.342717283,231.318321845,238.038273271,241.870713664,249.138257596,252.158629483,253.33809808,255.662821074,258.556797919,260.795441389,262.218504709,263.958928611,264.005364372,265.201320504,263.576768504,266.738643192,268.239428943	1	hyperbolic	0.04	132000
142841	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	10.353255207,60.3017576767,86.2711676041,101.425615996,111.617753712,116.504025493,124.276070391,126.459664108,129.77940097,133.160325519,136.320471422,138.33367847,139.440817696,138.781443658,140.568317976,140.919915222,144.110395599,142.922123304,145.13434097,147.014373866	1	hyperbolic	0.04	132000
141247	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-88.6398279527,-39.5309936051,-15.2609019633,0.894508534961,12.4902757163,18.8539366901,24.260380452,27.8580657428,31.998127988,35.1593194237,37.500722265,38.3438272924,38.7142971457,40.9510824315,42.9173561671,43.877733022,45.4122341158,46.5013714449,47.6028491663,48.1299600578	3	hyperbolic	0.04	132000
141052	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	54.0220344802,102.947604551,127.507008716,144.167250176,154.208183017,158.922407405,166.49285241,170.536778382,173.423623866,176.526811965,176.789334621,179.944338423,182.188416505,181.422362,183.539450434,184.279451,186.002248387,188.608416408,187.82736525,187.858025126	1	hyperbolic	0.04	132000
143011	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	121.520043916,170.429857398,196.5656379,208.631018331,221.299728256,227.83825904,232.563422028,237.529848142,239.148077273,242.031196216,243.869579662,246.523136266,248.815029012,249.046731994,251.411480298,251.768025305,254.763262471,255.31928436,254.521257838,256.168007534	1	hyperbolic	0.04	132000
143710	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-19.9318454158,29.946460166,53.2880882253,68.3140326537,77.8507681032,87.31329201,91.6246692389,96.2605699417,100.429094472,99.9259496388,102.374311511,106.713744174,108.336763758,107.311272955,110.730964519,110.399766672,112.554073371,113.436909225,112.280900187,113.7206865	3	hyperbolic	0.04	132000
143460	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-124.976660408,-75.690774521,-52.7219511243,-35.6713560734,-25.6310865248,-17.8671858594,-14.683667986,-9.0282326117,-5.41699912131,-3.3318628897,-1.47115040085,-0.334019893422,3.32409526761,3.94923098484,3.30191578392,5.18064170115,7.02063879599,7.83575534168,7.57118480859,8.99240983511	3	hyperbolic	0.04	132000
143444	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	1.42633764342,50.2986248181,75.8731521944,91.6752030906,100.646266687,107.980392147,112.19329484,118.540943973,120.57784492,125.173581249,126.135399562,127.817386164,130.782582971,131.610836841,133.597922837,132.098362167,134.188104372,133.931824318,136.049298733,135.553281593	1	hyperbolic	0.04	132000
