ID	X	Y	cluster	func	noise	original_trajectory
142150	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	53.2226956888,103.594095032,126.603238767,142.954109298,153.412541344,159.387171347,165.726117043,168.315648773,172.961287338,174.078931088,177.34829143,181.269584951,180.210939554,182.834983258,183.582994488,184.512638642,186.119712611,187.216698839,188.71504856,187.331594475	1	hyperbolic	0.04	132000
141030	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-103.189732456,-54.3218566161,-29.1486359365,-14.5648178395,-4.07485663657,5.49142481991,9.75329096046,13.7394283753,15.7748939464,17.8808236751,21.5931320452,23.8384698799,26.8481063498,25.8127498811,26.8677749875,29.087289072,31.6762474948,29.8544049807,32.9770140758,34.0250979247	3	hyperbolic	0.04	132000
140711	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	107.285304459,155.454165935,179.391635352,196.042697369,204.755020981,213.463796971,219.486340469,221.970593077,223.935161284,228.62378919,230.528041407,233.613649519,232.514171589,237.314971999,235.16617105,238.218578114,239.180345726,240.722957701,239.752539393,242.891491796	1	hyperbolic	0.04	132000
141112	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-10.4714308276,36.7957226837,63.2693205232,78.7200236132,87.2375672835,94.5662037631,100.936108458,103.639998832,107.482003435,110.503196492,114.642651634,115.191059272,115.94977058,118.679513426,120.106791282,121.752481945,121.021201842,123.007043947,124.314352436,123.940731094	1	hyperbolic	0.04	132000
141809	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-127.818049918,-75.7532465042,-49.8999809401,-34.7705053207,-27.8284002897,-17.9679326266,-13.1385047992,-10.5918958231,-6.79598080414,-4.93542094131,-2.68884445105,1.46749245788,3.39416926285,4.51910482731,5.07095480127,5.89620879611,8.57845662998,6.73783859221,10.5340329922,11.0256108994	2	hyperbolic	0.04	132000
140125	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	102.443323616,151.280611183,176.720868356,189.786387388,199.749869021,209.452311391,214.949946148,216.528642319,219.945220214,223.551152069,226.743199122,228.618216472,229.381004591,231.706153684,233.323171019,232.502375239,234.689668752,236.65797125,234.819268764,237.525253923	1	hyperbolic	0.04	132000
141150	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-51.4832821744,-0.0300833798121,23.3323587534,39.7183118633,49.7747199984,58.1083516037,63.3453047471,65.6243505237,68.9391417752,73.6590428716,74.4519160015,75.0349566849,78.0276993706,80.37711192,81.3267003471,81.2776645067,81.5941521949,83.9090355659,82.7765728037,86.0611788317	3	hyperbolic	0.04	132000
140377	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-16.0074055224,31.984408467,55.6821722281,71.404453877,80.7473454878,88.8135606133,95.665807374,97.967593104,101.628296071,106.092774925,106.282206954,108.982457032,109.732416368,111.586499061,112.176248234,114.97203938,114.383693272,115.597759424,118.606466646,116.624988771	1	hyperbolic	0.04	132000
142369	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	42.4694140349,90.6955504243,114.691128399,131.573659284,139.896644229,148.455243478,152.564516942,156.220612684,162.103644969,162.606290648,164.830905658,168.434743548,168.342822234,171.973090643,171.31479367,172.963758017,175.04996315,174.12773798,176.354987703,177.911830431	1	hyperbolic	0.04	132000
142417	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-44.2640702539,4.10382202032,31.1937073364,44.5907057751,55.7309445242,62.7204062447,67.4921794499,71.7687809283,76.1271447026,78.9146602052,81.1864508173,82.7452996865,81.5839760566,85.031925707,86.5384847128,85.344817554,88.5249108486,88.0775815571,90.1371959272,89.580669056	3	hyperbolic	0.04	132000
141209	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-86.6031462639,-34.5730020741,-9.11373848663,3.51845067558,15.8189846237,21.3204271085,26.1828092337,30.2221207821,36.5703293048,38.2730257399,41.2254207883,43.2629186244,43.5318115517,45.3425103844,45.1986088334,46.5313789368,48.7410285606,50.0405626659,51.5028082828,52.1942011702	3	hyperbolic	0.04	132000
143880	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	62.3441957433,114.478805333,139.389048002,153.349710766,162.858093185,170.606692535,176.1018016,179.865263144,185.06517233,186.494101662,188.725738319,192.393098895,192.48634945,193.862438191,194.147532597,194.948034656,195.517486383,198.296681212,200.353530123,200.151937758	1	hyperbolic	0.04	132000
