ID	X	Y	cluster	func	noise	original_trajectory
325942	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	210.289428655,212.004368132,215.572629232,216.276621269,215.209908912,215.856722389,216.302151802,216.578876068,217.51969463,216.176882966,215.475869061,216.565721049,217.27132049,218.595477482,217.409168789,216.442107559,216.245587257,219.302640947,220.072471564,221.416355168	3	tan	0.08	308000
327986	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	187.828699191,190.804736536,189.769390299,190.535790234,190.267361652,190.051184323,193.641051149,191.24385282,194.024803048,194.202564913,193.795680602,190.757527401,190.791444028,192.357217268,194.428486616,195.120957517,194.910664075,195.408258529,195.118826192,196.938984397	3	tan	0.08	308000
326628	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	175.900525513,179.730779293,181.150967112,180.869818341,180.27382513,182.841813474,181.729020444,180.587339324,181.272933411,182.706069176,181.323682297,181.618763827,182.381676927,182.833872272,184.255555747,184.755267571,182.264130424,186.133497142,187.199337468,188.379480171	3	tan	0.08	308000
325179	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	197.870479666,199.291353948,201.792655226,202.078891247,200.672717167,203.279785227,201.39138174,201.508638287,202.018639593,202.201282456,201.841211494,203.220223007,202.603282763,205.103894996,203.488286099,203.931611181,203.550706058,207.285726082,208.080607459,210.935962457	3	tan	0.08	308000
325327	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	210.700245673,211.52087117,215.222455829,214.538379314,216.143711001,213.196277738,215.191044037,213.503491563,214.364633286,215.357167066,213.956604873,214.71367783,214.073537417,216.385419353,215.379380574,215.477809722,218.422051671,217.737055057,219.097390946,220.281680448	3	tan	0.08	308000
327482	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	175.221250386,178.388025527,179.373971361,178.135594406,179.508724494,181.658263981,181.192284925,179.302889393,180.871226761,182.318266219,182.325942537,179.037213318,181.144969206,181.5835981,179.778034093,181.286284811,182.21081934,183.206219823,185.483576402,186.89095578	3	tan	0.08	308000
326593	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	205.743119494,208.862239488,209.13891736,211.263982114,209.073153135,212.915387729,209.765588199,210.925517538,211.271674927,213.521449889,213.679981837,211.991688753,213.892718881,214.226537609,212.312574697,213.653146735,214.940751481,212.183187577,216.777491123,219.368753635	3	tan	0.08	308000
327594	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	187.150917844,189.242105938,190.105439937,190.30131656,190.683370123,191.552589084,193.278592736,194.058867533,194.83035606,195.032857423,195.21761488,192.778383673,193.865940689,192.444340188,194.981203142,194.784814517,194.224623744,193.619604362,194.985270605,198.747138104	3	tan	0.08	308000
324138	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	178.734528425,183.457117614,183.348099925,182.820790089,182.816827823,182.547048191,183.33070058,183.052552809,183.042055488,185.478438467,184.758627209,186.778071619,186.971459903,186.883116475,184.65803991,187.371600041,187.634212822,186.332403971,187.613589437,191.774593738	3	tan	0.08	308000
324219	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	208.566642167,211.695281363,214.146238822,211.993500422,213.981971643,211.818739018,214.428284458,213.232947652,214.878196087,216.135591471,216.352327674,215.017998123,213.253898291,214.05445716,214.854826298,214.987194851,215.139143442,218.127540852,217.380132073,220.652529254	3	tan	0.08	308000
327720	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	178.601964774,182.096278163,183.18170341,183.744290576,183.393242808,185.258420055,186.495819635,184.467622676,184.560250678,188.21624349,184.866616153,185.570063657,185.180297054,186.153381042,186.267650019,187.77973668,186.219506322,188.937836155,189.96021809,193.338716709	3	tan	0.08	308000
327473	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	186.727272255,190.852402093,191.886129107,191.702090498,194.752489698,194.628797199,193.517847885,193.094243607,194.32010371,193.667516883,195.510914669,195.989061565,196.170999868,194.66386836,196.725445097,193.631946825,194.939332582,196.465417745,198.257344938,199.676009574	3	tan	0.08	308000
327727	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	175.520852832,176.104087689,180.762744923,179.286000214,178.575973072,181.357819623,178.487675387,179.21302514,179.127560528,180.674179833,181.169069385,179.857346377,180.256258952,182.550100442,181.726134917,183.826871599,180.843193769,182.780187214,185.508445647,185.537041918	3	tan	0.08	308000
324488	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	195.619871407,198.646534495,199.418439485,201.520156453,198.672780406,200.619931214,198.890369896,198.595325144,199.021945115,201.376187324,202.883713674,202.888563045,203.307534811,201.894627842,203.217265673,200.567053421,203.296670948,201.94986075,203.842497341,205.582747589	3	tan	0.08	308000
325007	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	214.316926879,217.64108792,215.734139373,217.383764188,216.797198135,216.723463389,220.348342593,219.114515911,218.257940032,218.709555188,219.528755058,221.479713191,219.460889396,218.405108312,221.15777849,221.245857859,222.398878688,220.934172741,222.939798378,227.030108956	3	tan	0.08	308000
326829	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	200.727037758,205.357311904,204.120915483,207.953481429,206.716521881,207.255883671,206.565403476,207.04878149,209.368295191,209.165346419,207.754487912,208.832309423,208.004139815,210.308710376,207.624442822,208.140375591,209.782419888,208.171350366,212.634769826,214.06735454	3	tan	0.08	308000
326142	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	205.720426501,208.231441054,207.933435466,211.675980959,211.55719503,213.065891623,210.426415932,211.081012169,211.236412625,212.167002407,210.426508054,211.929220298,210.999885961,214.282792907,211.911995072,211.047324333,214.480506243,212.740985105,214.721316854,216.460596366	3	tan	0.08	308000
327569	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	184.75493291,190.022262163,190.022741213,188.671317256,191.216443152,189.165754484,192.283353614,191.956732625,189.211055808,192.387103176,191.589475325,190.316614369,190.157958477,191.871543474,193.4365393,192.820984604,191.859324481,193.29206836,194.930126097,196.538255934	3	tan	0.08	308000
324005	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	204.609353151,208.030252571,210.148559866,209.668599068,210.846080012,209.179322933,208.790454195,211.507081615,212.521664695,209.970074916,212.520483041,213.295114978,210.173684342,210.578803474,212.082957628,210.463984432,214.090570877,213.417186867,214.379214126,217.007202681	3	tan	0.08	308000
325189	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	210.497479658,210.858930869,214.92549119,211.954492978,213.514280837,215.437062617,216.557615278,215.195176423,216.631811117,216.433563192,216.922443596,213.388291896,213.764033769,216.543505711,217.13311219,215.202829051,217.052061525,215.833494119,217.275952762,220.202969825	3	tan	0.08	308000
324159	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	206.686398065,208.800577156,212.002525152,210.62498053,211.827948748,212.483488158,211.716876145,214.089313536,213.843194253,214.215408614,212.716732124,213.472441396,214.005481447,215.951436745,214.77381613,214.785295855,217.36341839,216.450084116,215.725337011,219.140107152	3	tan	0.08	308000
327138	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	190.166418732,193.111094454,192.560374966,195.346021764,195.744496492,193.577504583,195.410174743,194.295968107,194.01115232,196.965104865,197.372796744,194.107635378,194.322598854,197.82337049,194.477727862,198.138403045,195.478635112,197.390640657,199.392897081,202.104561214	3	tan	0.08	308000
325946	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	182.782232571,185.672800961,188.529358749,186.300029898,189.432255166,187.674686815,189.014513759,187.912036788,188.837411454,189.313001141,188.571505826,187.239741233,188.59946339,189.481638002,189.325407386,191.120743991,191.293760664,189.01173208,191.233652972,196.85406075	3	tan	0.08	308000
326778	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	181.878142321,187.152199964,186.644060631,186.700230455,189.2909407,187.558504937,187.776031723,187.462920959,188.692462786,189.997588088,191.410830519,189.416318908,189.940837657,188.915123774,188.976959415,189.969450434,189.807968162,191.172945459,191.647131932,197.401198575	3	tan	0.08	308000
327564	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	183.110062169,185.395828503,188.875964371,189.730583644,186.795141457,186.906904591,186.945199862,187.852876542,188.464932938,187.763720595,189.785461072,191.108420014,191.085414766,189.438028441,189.789788066,191.831775083,192.384103856,192.076317794,190.602990347,194.165063382	3	tan	0.08	308000
324841	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	180.833361866,182.136174941,184.424129863,184.921605854,187.332539141,187.359635919,186.464624719,188.353024184,186.042279279,188.157286715,184.964156743,185.929651509,185.121202053,186.242891553,187.780328975,186.103170208,190.02412062,190.646889676,188.821489732,193.182852474	3	tan	0.08	308000
327215	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	174.15201361,177.744121787,177.073678637,179.949668207,179.575463839,180.100391408,179.159180473,181.206032102,182.107455247,179.843081641,179.4148512,179.463726724,179.156751509,180.223005686,181.652004901,181.446446869,181.867269561,182.517667845,183.589666068,185.936807858	3	tan	0.08	308000
327920	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	200.654519643,204.171127559,203.560206085,204.54583211,204.905533599,206.285042644,205.064031274,203.431991168,204.939039891,205.811954573,203.553369977,204.335208665,204.210443399,205.431783908,208.021922425,204.803759574,207.970918413,207.19445338,210.319779406,212.315755721	3	tan	0.08	308000
324186	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	191.970908801,196.205076766,196.392552052,198.056449466,198.105426829,199.162651994,196.725948653,198.903487038,200.275787289,198.044432677,200.041406559,200.001183729,197.846432191,200.855757222,197.607807566,198.904088314,200.569259624,199.54938853,203.0943528,206.46429739	3	tan	0.08	308000
326684	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	183.147577661,188.284853393,188.813318523,187.703362265,187.546628851,190.763443121,188.410717368,187.62821241,190.217828506,188.322221719,190.57912978,188.798228456,189.415565353,189.690425827,191.571917936,189.688096018,190.002220866,189.967790877,193.040709323,194.928932031	3	tan	0.08	308000
326277	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	200.323637907,204.07894064,205.915653789,205.855894981,208.4581952,208.482550382,207.614520761,209.027914468,208.307637424,209.126003154,209.004464296,208.962707737,208.949564015,210.209759625,209.951847431,209.356247423,211.14435044,210.285659414,212.309918119,215.068806914	3	tan	0.08	308000
327515	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	210.762346066,216.977229376,217.172753558,215.76462733,218.092989056,217.401248469,219.50580148,218.602290239,217.4436783,219.417470876,219.091820456,219.932116699,219.265199463,221.326382734,221.236064218,218.676621408,220.684645898,220.722540602,222.300058112,227.31971611	3	tan	0.08	308000
327779	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	179.99349036,182.925736572,186.106620203,186.208116024,185.453822581,184.001390332,185.035345542,187.672924524,187.566326684,185.770019192,185.075652931,187.293545587,188.82707433,187.740144205,186.69109074,188.25670269,189.160215176,189.66046089,191.588974879,192.52482229	3	tan	0.08	308000
326314	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	194.086631758,197.042143872,197.671366263,196.881402999,198.341850631,200.200384459,200.453542021,201.265208329,200.533638891,201.672741239,198.390366188,199.991746107,199.813682193,201.584250025,202.438050121,200.769631429,203.188508174,203.089142879,203.30597313,204.298012652	3	tan	0.08	308000
327073	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	210.640691433,214.263257957,216.087954683,215.386508393,216.300287129,216.662251255,218.201844333,218.181372425,216.62535661,218.781397229,216.843096298,218.08094848,219.108972503,219.419227414,217.272026614,217.286914174,217.272584736,220.121623655,221.676654883,223.377446945	3	tan	0.08	308000
324615	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	193.029340462,193.506458452,194.936253721,195.287164797,197.720788623,198.469167156,198.069397078,196.327086241,197.877708725,199.785229335,198.951449453,199.448866787,199.764358745,197.334823686,198.17394298,199.434209167,200.099551335,202.319370786,199.666194695,205.569252709	3	tan	0.08	308000
