ID	X	Y	cluster	func	noise	original_trajectory
327742	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	202.26201716,208.766368463,207.519701533,208.371066878,211.055176202,210.693605418,210.128781712,209.945909396,208.406497685,211.283240988,211.667728789,212.175454127,208.912816192,209.2343848,212.822516948,211.540077447,212.967095077,214.017175972,213.501166403,218.429297538	1	tan	0.08	308000
325178	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	191.732386598,193.815607775,195.384069914,194.541053436,196.212877286,197.90908469,195.29146289,195.505241068,195.823822335,197.825441826,197.202034041,196.624885533,198.244398027,200.004410032,198.344047099,200.714716971,199.30951221,199.351614029,199.096964848,203.924812204	1	tan	0.08	308000
326126	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	190.96087798,195.180072165,197.599739573,198.699566921,198.948229554,197.271198573,199.54535853,200.503644864,199.97205126,197.270535152,200.195177985,198.206244374,199.007719396,198.457941012,200.221458286,198.152946354,199.233099942,202.812483784,200.6174964,204.507565872	1	tan	0.08	308000
326442	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	212.259945532,214.394612427,216.351412277,219.213374167,217.107298449,216.833814084,220.166762497,218.666517935,219.052528003,219.606337201,218.770269922,218.818943711,219.733290322,218.893025925,221.67443882,222.329420598,220.49928131,219.418892374,220.934226051,224.791242676	1	tan	0.08	308000
326747	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	172.348813919,177.276361697,178.030080425,179.681942337,179.944089869,181.226342173,178.213145627,181.684538674,178.313814425,180.431487596,178.604991743,180.894665936,182.26199524,181.22867256,182.879176721,180.822134958,181.808305952,182.146198003,185.247644635,186.408705238	1	tan	0.08	308000
325776	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	192.791166693,196.418839195,197.473691728,198.167633688,197.707644629,198.100318824,200.836232971,199.782736328,197.681873478,198.61560421,200.483336389,198.415780243,199.345049829,199.753824064,199.265632142,199.425371335,202.832982945,202.45959956,202.885949105,205.598571757	1	tan	0.08	308000
324456	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	193.912225062,196.038191792,196.733154114,196.56739947,196.434011139,196.812614712,198.54467814,198.609439783,199.270740506,200.137805996,197.77409536,201.191139955,198.894748492,199.273667472,198.919822849,199.889963243,201.554930902,201.719840438,201.885237256,206.954303073	1	tan	0.08	308000
324977	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	212.04350742,217.636266215,218.968620267,215.635680965,216.633111499,217.766876556,217.513955759,219.821489201,219.142332007,220.150299891,220.216828481,218.336410375,219.37619835,218.794416896,218.153992471,219.360167652,221.47217587,222.21736374,223.137654354,224.776495157	1	tan	0.08	308000
327450	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	201.301464132,201.461144003,204.024671831,205.134543719,203.798168951,205.000691563,206.974880922,205.904025942,207.460256254,208.285981246,207.6117326,208.379385554,208.302069985,205.35322528,205.51161696,207.297278592,206.352669294,210.173703945,208.775528397,210.955288945	1	tan	0.08	308000
326778	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	181.878142321,187.152199964,186.644060631,186.700230455,189.2909407,187.558504937,187.776031723,187.462920959,188.692462786,189.997588088,191.410830519,189.416318908,189.940837657,188.915123774,188.976959415,189.969450434,189.807968162,191.172945459,191.647131932,197.401198575	1	tan	0.08	308000
327421	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	193.325933289,195.58371083,196.738099899,196.652260191,197.050646874,196.841045243,198.643677878,196.500221174,196.870298282,197.529603827,198.398980007,201.075368037,200.435064488,198.077797089,198.151986319,198.491080285,201.591473533,200.618443991,201.911317891,203.932672483	1	tan	0.08	308000
324750	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	184.139822894,187.801359566,188.964957294,187.770462306,191.274663518,191.202995533,188.742587608,191.323917826,190.677435167,190.218201268,191.151390142,191.207007112,189.511083265,190.92004414,192.456554434,190.719004577,190.540184879,193.454218546,195.978630874,196.826784254	1	tan	0.08	308000
327349	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	213.637370114,216.904750866,215.538460392,217.55501606,216.285486068,218.631289518,219.938375595,218.690549947,219.705146056,219.59540843,218.280318433,220.515774236,220.318833073,219.516680666,218.9525612,220.394957695,219.175077644,223.166899015,223.014235501,225.087778564	1	tan	0.08	308000
324593	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	195.268010713,197.383033905,199.932797688,198.916157461,199.06652082,199.796591377,201.916920964,200.764060573,199.45982951,202.683927393,202.509476633,199.55277362,203.311237292,199.752145243,200.848594989,201.607409791,200.828015383,201.634705263,203.984731848,208.074095802	1	tan	0.08	308000
326936	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	201.190006807,204.693715277,202.964235864,202.971697525,205.863759385,206.012016754,203.745576081,207.044200258,204.632537224,205.587123292,204.10478776,205.478623968,205.446078959,207.347074412,207.976126326,208.994562732,209.277834289,208.145779258,210.505107954,211.589488723	1	tan	0.08	308000
326501	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	211.827487316,216.410793772,217.075161241,217.390433825,220.215545878,220.521353075,219.466314642,219.276431931,220.652689566,221.381445635,218.608138572,220.214217002,218.676260242,222.379843016,219.527994754,220.584348044,219.810272899,222.576935866,221.699829383,225.788539386	1	tan	0.08	308000
326740	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	193.087576239,195.516752669,198.370052447,196.11388212,196.398807779,196.528302629,198.98828517,198.551285744,199.998890205,199.892378908,198.703370836,198.999020321,198.60494639,199.278580511,201.413016648,199.019560255,201.906646787,202.554820546,203.621959912,203.630066689	1	tan	0.08	308000
327901	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	182.996259153,186.337526082,185.281758929,189.563810531,188.641748422,190.156708309,187.011039094,190.330943527,187.092566295,190.970295783,188.869967032,187.632766117,190.39764558,189.815354979,191.036616408,191.100202227,190.069360946,193.128321272,193.33933966,196.829512852	1	tan	0.08	308000
324623	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	175.523726207,178.48490421,180.229087911,180.82064358,179.6858757,180.799013121,182.177141008,180.505738417,179.547193243,180.259800024,181.000104085,180.470903587,183.958345262,180.347210922,183.508696725,180.784053244,181.466825187,185.668582,184.277220387,189.226302052	1	tan	0.08	308000
325042	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	187.342871516,188.597592586,193.362280592,193.403645144,193.19792831,194.348734371,191.622923781,191.680379207,194.408622182,195.174089264,195.198501567,194.293845445,192.750170941,193.641534122,194.81451956,194.997049215,195.245286605,196.617080965,195.660743837,201.49498199	1	tan	0.08	308000
325981	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	180.194395821,185.086980543,185.117975453,188.247118944,189.201119132,189.650289881,189.019240905,190.00179056,186.300447938,189.581217756,189.202693543,187.490156597,190.02538525,190.204822708,189.688452377,188.000982978,189.760458819,188.946788099,192.716554198,193.291231799	1	tan	0.08	308000
326103	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	204.658387194,209.751813922,208.708352581,208.152006879,209.42669661,210.405696186,211.981295165,210.567533668,209.307599294,213.334254398,213.186837146,212.836576653,210.238214453,213.832558733,211.274496484,211.737157282,211.956901237,212.176255295,216.559236355,217.039824329	1	tan	0.08	308000
326608	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	189.543545616,191.324653929,190.778926611,191.51196089,194.013605828,193.639379551,195.138001227,194.755300945,194.347298047,195.254791112,193.179415392,193.676193463,193.973574361,192.973286136,195.313702192,195.719433479,195.810846388,195.926122383,196.486895515,198.787277978	1	tan	0.08	308000
324252	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	192.149868373,194.216199813,196.229952834,196.396655302,198.871339388,196.925582339,196.970004758,199.840571492,197.629915934,198.329620143,199.211352116,197.972106236,200.940747222,198.230568453,198.86099776,200.074749459,200.519704614,202.18253762,202.847991883,205.55160192	1	tan	0.08	308000
324446	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	209.295957578,214.434445364,212.269586795,215.000743012,215.346951974,215.640744473,216.161286915,215.358915532,217.733971486,214.611361927,217.947913444,215.825020764,215.247231073,218.709377415,215.243915018,217.418814967,218.887417722,218.281152104,217.737659836,224.092994686	1	tan	0.08	308000
325484	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	193.758625878,198.4356148,199.247060041,200.656095415,200.318078121,202.283318708,200.160359142,201.873780494,201.377391202,202.161959161,199.900632228,201.236605363,201.19131399,203.822614087,204.30872085,203.251313906,203.96138126,202.853252484,206.033375543,207.577430193	1	tan	0.08	308000
325133	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	196.395613286,200.306482754,202.303311365,203.762718169,204.117280572,203.694281879,201.940702595,204.39006589,202.548596568,203.602023927,204.738042932,202.155007514,203.511850343,206.179202115,204.836279164,204.964743524,207.326002729,206.053719511,206.463806126,210.689299807	1	tan	0.08	308000
327873	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	187.874561686,191.123203468,189.207356617,192.302584042,191.068026833,190.203633641,192.053036342,193.93543265,193.789530229,191.089324801,193.464521385,192.910402209,192.117210404,191.266996377,192.258341173,192.117860287,194.420517351,192.656752117,194.328035909,200.186205241	1	tan	0.08	308000
326989	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	189.274025865,193.767350633,195.219377852,195.171433405,192.577140251,193.832555065,193.814356943,196.349041354,195.673596275,195.25262609,197.269991155,195.404171281,197.415881729,194.97114566,197.551491234,195.415448728,195.436509967,197.689168943,197.8053778,202.119294062	1	tan	0.08	308000
