ID	X	Y	cluster	func	noise	original_trajectory
324578	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	173.852206342,179.174780423,179.030414353,177.818864087,181.040256021,181.282341483,178.602347289,179.215222325,181.510026726,179.710050447,180.945201664,179.167052742,179.868924018,182.819849129,180.758773398,183.145037128,183.255803275,183.082223917,183.930976623,188.307675423	1	tan	0.08	308000
324064	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	190.653587565,195.823553749,198.039313102,195.805206579,195.833884436,198.860909973,199.736934086,197.979650593,199.015646861,196.769535063,200.500389784,197.508594638,199.919102109,199.99726832,198.387505769,199.461739708,199.206118713,201.62384026,200.423359092,204.079552266	1	tan	0.08	308000
327100	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	182.441238612,183.764718466,186.598524195,185.930141328,185.783495095,185.036220265,188.171244274,186.371323337,186.156799926,185.624774484,186.32250366,188.001498288,187.189337888,187.221761092,187.388284888,189.211568295,186.946697415,190.459649313,188.38423354,194.62418667	1	tan	0.08	308000
327779	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	179.99349036,182.925736572,186.106620203,186.208116024,185.453822581,184.001390332,185.035345542,187.672924524,187.566326684,185.770019192,185.075652931,187.293545587,188.82707433,187.740144205,186.69109074,188.25670269,189.160215176,189.66046089,191.588974879,192.52482229	1	tan	0.08	308000
325370	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	176.335383323,179.801314634,179.213894097,179.382546891,182.726703614,182.361236669,179.831440996,182.317978378,183.486746197,182.47530024,181.918915446,182.824037355,183.052303896,183.800860863,182.365289367,183.10210421,183.136227542,183.499832095,185.222634746,189.376280478	1	tan	0.08	308000
325600	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	183.175475221,189.093988132,189.338045149,190.902342264,189.255719766,188.913717807,190.887624197,189.620834341,192.348772924,189.361229466,192.130315611,190.616267131,189.912984909,189.495890591,191.587200157,193.028211415,192.670900176,194.28184455,193.743746994,195.670236492	1	tan	0.08	308000
327523	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	206.978630254,209.09751863,209.06521541,209.298866592,212.926576185,211.183627228,211.173344558,213.268996635,210.589173511,210.411431354,212.512381143,211.392179186,213.444137862,213.131213792,211.818609032,214.891190889,214.875441019,215.298229163,216.753018638,217.189891909	1	tan	0.08	308000
327528	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	186.50150533,191.299445442,193.461555423,194.666069652,195.230804317,192.863962994,193.055607585,192.861252025,194.561096631,196.395908232,194.850784953,194.598012178,196.492362779,194.585380003,195.356137367,195.004591615,197.917793665,198.63587905,198.946093214,202.624986151	1	tan	0.08	308000
326414	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	189.042893013,190.71334614,193.004517161,193.345947754,195.842142616,193.287878366,196.548757755,194.430173716,195.477983647,194.893935108,195.143050986,195.917437806,195.470268843,195.278719278,195.292713781,197.818692266,198.831859255,197.53151018,199.73402593,201.133545256	1	tan	0.08	308000
324786	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	183.625599728,188.256311194,188.845891312,188.283306612,191.812622924,190.534637976,191.304343316,189.902247646,189.926955108,189.649482357,191.013607509,193.287758352,191.785770093,192.809602425,193.864979856,193.239437148,193.222908873,192.365649688,193.490708118,199.108097276	1	tan	0.08	308000
324100	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	197.235520906,199.353881512,201.908452022,203.755886696,201.669174809,202.740222351,202.794952013,204.212296011,202.234019663,202.408575605,202.737131006,206.118922315,203.582665133,205.810788863,203.582485827,205.574005836,206.75670723,205.602117532,206.612316933,211.998891321	1	tan	0.08	308000
326682	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	179.409420543,183.836484129,183.635266027,186.564169797,187.16811488,185.581382785,183.955574196,187.172079425,185.828420279,185.711022622,188.237247534,184.716617162,185.341593032,187.206349349,187.67985617,189.183838946,189.46124037,188.34886919,189.888684341,190.928011403	1	tan	0.08	308000
326272	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	185.322516261,188.499897565,188.005858112,190.365400703,190.420938422,190.890194071,191.304327324,190.797996141,191.133091246,188.845592772,190.840028885,189.189006637,191.961371673,189.923445473,191.098440117,192.523730779,192.123831896,190.929968801,194.543243768,194.641280321	1	tan	0.08	308000
326883	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	185.456018954,189.936013206,189.530396904,191.537865428,190.665047238,191.691244757,193.0778809,194.259936618,191.361184701,190.780136796,193.206569317,193.343862831,192.057125303,192.942620409,194.320018331,194.0288049,193.99190934,195.770496265,197.110836632,197.517005676	1	tan	0.08	308000
324798	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	200.793225211,203.087025377,205.869038692,206.608171132,206.496465992,205.872354803,206.01338789,204.527978711,207.253138669,206.80215594,206.636295038,207.366120367,206.153432254,208.04932619,207.961054648,206.362258747,208.12557169,208.264681119,209.542943048,212.27961418	1	tan	0.08	308000
327006	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	194.462100534,196.865223586,198.564484576,199.63704784,199.309465554,199.18947911,199.844742838,201.020727059,199.773324317,198.227190621,200.330231725,198.048862439,200.835788329,201.06653397,200.203882888,199.152212442,200.909658932,203.48315507,204.512286446,205.17066806	1	tan	0.08	308000
327336	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	192.745467131,195.321047879,196.068458551,198.407274566,197.666101007,195.757530701,196.794895892,196.686560757,198.729491578,197.981857557,197.324117325,198.778185501,199.058241758,198.962112533,200.065466866,200.377537301,199.85766125,201.12430097,201.276824989,203.144191063	1	tan	0.08	308000
325545	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	175.621723319,178.889560297,177.778313062,179.765143406,179.236218681,181.38935673,180.570391649,181.509142907,179.731694734,183.037152503,181.237161617,179.820680216,183.236669163,183.783131698,183.917129782,180.808607103,183.325336375,183.040598689,182.818843558,186.705922774	1	tan	0.08	308000
326336	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	181.828208671,185.335903621,187.316909184,189.962933466,187.919456177,190.455041724,188.804315585,190.68459587,188.424142124,190.603541243,189.295324793,190.917079527,190.748977088,190.193324894,191.159980042,191.908559187,191.458560551,193.114382462,192.75659303,194.295461176	1	tan	0.08	308000
325516	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	189.561180916,194.492326295,193.064056522,195.732466136,194.735860982,194.696549345,196.568419721,194.454085625,197.228452155,194.503932707,196.637132946,196.703590942,197.333628583,195.36394125,195.351249273,198.310673935,198.797200371,199.865170867,199.585704144,201.856012612	1	tan	0.08	308000
327521	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	195.727783655,200.566431641,200.613152628,202.751907529,201.515678597,204.586223703,204.911708133,204.929608044,202.508040248,204.488814355,204.721977329,205.485905146,202.326021115,203.209416186,204.708814385,206.080284863,204.175134551,206.290963324,207.394423867,211.648032695	1	tan	0.08	308000
325969	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	195.383345504,200.773482466,201.291151705,199.371546747,202.331009992,203.6682154,202.305304364,201.035767418,200.828823365,203.80420884,200.964969495,201.46432617,201.303255326,204.902476741,203.731749219,205.847234282,204.787076783,203.528473988,206.539280779,210.348791704	1	tan	0.08	308000
326933	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	176.479033441,179.128920429,181.399385633,181.137491408,184.182408943,183.087913126,182.226352491,184.367678866,181.6579417,184.328196977,183.404278869,185.856196754,183.535440508,183.438056118,182.829427092,184.341068817,183.578643288,184.615957202,186.841328534,188.554922586	1	tan	0.08	308000
326934	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	213.02611859,216.753916579,217.533281255,217.101065811,218.293417598,219.900428544,217.797185878,219.523943567,219.322030161,217.507656333,221.331294438,221.116281842,220.788379693,219.734684207,219.361586443,218.521965798,220.754383686,221.15407929,223.336621603,226.843590841	1	tan	0.08	308000
324107	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	180.95280161,184.526953223,185.945918325,187.677449539,188.968803627,187.645350259,188.082151418,189.342940068,186.411126386,187.239900501,187.979555334,187.352443798,189.713527566,190.202890564,189.763007506,187.919766637,187.962554369,192.004695606,192.215246319,194.464024897	1	tan	0.08	308000
