ID	X	Y	cluster	func	noise	original_trajectory
151263	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	28.7428936572,78.0950550751,105.15529804,122.574776042,130.024706114,137.328865124,141.01670355,148.711927197,148.426806836,153.155107207,157.179641017,155.217891389,162.511412684,162.099566364,165.618143583,161.954411113,162.208522566,167.084426881,166.473574442,165.016486953	2	hyperbolic	0.08	132000
151774	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-42.274896346,10.6992440741,35.0899044238,49.3076651697,59.0783345628,63.1186920001,73.560848923,78.1517455059,80.429731381,79.0167037389,82.025607152,84.1386383323,90.3465441448,86.6230597115,92.8083893363,91.6888854133,90.711920152,91.4026070798,93.1126327236,94.9591936737	3	hyperbolic	0.08	132000
149665	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	95.021694749,144.152578468,172.364560995,183.008764384,195.618882677,202.628434935,208.183051251,212.045130255,215.066436182,218.088712375,218.600499568,223.850268526,221.242680274,222.157943377,228.591513539,230.130349883,226.678554477,227.932649669,228.06929701,230.101140935	1	hyperbolic	0.08	132000
150284	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	77.5489120348,123.701137336,151.623007162,166.249165325,176.973626715,181.653421426,190.068132783,189.743522943,193.058349816,200.217722456,196.063107413,202.300433369,205.43429701,207.225294942,207.983278471,203.942333404,209.292657751,209.257207069,209.714421773,211.422568557	1	hyperbolic	0.08	132000
148731	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	74.3189491173,124.842931397,152.752087078,165.742181247,174.131566539,184.086048897,188.405618116,195.837364248,193.921800781,198.736298377,199.619788358,205.022608046,207.980598862,205.653121005,211.351227719,208.075719581,213.050459019,212.417654345,212.566798053,209.945725969	1	hyperbolic	0.08	132000
148387	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-25.7300206283,21.0845478701,46.7674324042,61.7053764782,71.9655532239,79.5472398893,89.2937815619,93.1012454414,94.5174171148,98.6581492917,98.6827513493,102.520277449,99.5181850376,103.990122444,102.274919022,106.228172755,104.34938448,107.622871117,110.732171047,110.752037644	3	hyperbolic	0.08	132000
151767	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-14.9609956962,32.2416828243,54.8874644248,74.2005136238,83.7917451911,87.9477948787,94.2985659355,102.614707633,101.58157699,103.826516021,107.53749238,108.994006366,107.763309952,113.494122585,112.252031191,118.347372174,117.348301352,116.01854517,120.504614857,119.600382985	2	hyperbolic	0.08	132000
151409	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-100.575241138,-48.095589384,-22.0317830896,-6.93803474718,-0.0518814459166,12.55912824,14.3556513915,20.7397880922,19.6320975487,21.5781926608,25.8366491531,26.6187768916,31.0870529908,34.6434268636,34.2588490643,35.4930143997,38.0844135635,37.1794771233,40.2524108981,36.1362873997	3	hyperbolic	0.08	132000
150735	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-116.98669293,-68.8489811183,-37.5492183856,-23.1482875124,-17.513419419,-7.97526440885,-0.643771312309,1.19555109023,5.79294961224,5.82892660154,12.2897655103,10.8551133136,13.076951121,11.8893395635,13.2460931318,14.9877213173,15.5460829569,19.3786603751,20.2976566548,23.2009187208	3	hyperbolic	0.08	132000
149312	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-32.7598158498,19.7278966757,46.3879846599,59.6976205021,69.3583644767,74.3691179738,84.2439879073,83.3124516455,86.605352213,91.7388746194,93.641334851,94.0793468892,97.1498927991,101.330186048,97.2641620339,98.1067791744,99.5893562329,99.3207392097,101.829545327,102.718415022	3	hyperbolic	0.08	132000
148388	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-18.208510532,37.9469474029,59.749475696,73.2126033285,85.6424696936,92.6158096778,94.5321957233,99.689574796,106.809087379,109.033898921,108.306218305,109.715035187,115.839907782,117.46892733,113.735670277,114.810762939,119.102431695,120.522160251,120.858974821,122.284778729	2	hyperbolic	0.08	132000
149139	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-72.2813999342,-23.5196131288,6.92195462355,17.6127800973,27.1148292492,32.8427288901,43.7844561428,47.0405228091,50.9004667369,48.2900480009,52.8416064823,58.9362576681,60.0372876041,58.9711513861,61.0009098443,62.813481591,63.3097318258,62.367451655,62.4841917511,62.7014324646	3	hyperbolic	0.08	132000
151475	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-91.6050023048,-38.1472575476,-10.3802238633,-0.39327679658,9.32573118036,20.0043537036,26.9646859438,28.2909609233,30.3007443191,33.9518042109,34.4010488937,37.7470448302,42.1905492647,39.2457941453,45.2880548355,46.8964556806,42.2612117518,45.0502708728,48.9326650129,44.3744910993	3	hyperbolic	0.08	132000
150954	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-96.0161369732,-47.0934796587,-22.7213189479,-7.10112486794,4.26313060078,14.4125902059,17.5850430307,20.8497133565,24.2569069636,26.7646080436,27.9652924068,34.8793586536,36.119281022,32.8142423648,35.4444317149,39.1582690494,40.2235041507,41.5408173929,42.9658071446,43.5910772229	3	hyperbolic	0.08	132000
151106	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-70.0021699911,-23.8166898648,-0.227047531977,19.249711705,29.4454385763,35.9270043893,37.2148593872,46.7383244016,43.8114136559,46.2988376957,50.6390946119,55.9964740479,54.4581371603,58.9583105873,57.2584571014,58.1226152497,63.1627729422,60.4136097272,58.5845016559,63.666574885	3	hyperbolic	0.08	132000
148435	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-76.0345949323,-23.4720147777,0.114024550384,17.337943621,24.1286138548,37.2069741426,39.0121187146,41.1523603748,45.892371595,47.0345639514,48.7448814327,55.0262061242,55.3380916814,56.3359637808,54.7657284863,61.3393914508,61.2477584712,63.4491763078,60.6859431772,59.2601363584	3	hyperbolic	0.08	132000
