ID	X	Y	cluster	func	noise	original_trajectory
325290	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	214.618009792,215.546054285,217.756685908,217.320847971,218.976497814,217.258711032,218.874721148,219.788883175,217.516261121,218.842255639,220.534204777,219.892736596,219.517070116,221.590505467,219.246641691,221.621397903,222.216654558,221.0341044,221.403520174,224.663541005	1	tan	0.08	308000
324547	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	193.957515254,195.834481508,199.349648125,197.850540993,200.543552994,200.623294711,201.243198613,200.770891113,198.282069005,200.742713263,202.281908528,202.442269574,201.618886859,201.29332989,200.783341529,201.697427997,201.503436697,203.215050214,204.574821775,207.878476627	1	tan	0.08	308000
324282	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	198.997284909,202.022618161,202.640846584,200.528242287,200.665206807,201.33110584,204.1563777,203.782521859,201.935571328,202.572482742,201.585046201,202.628176076,205.492981721,205.690388659,202.54131647,204.087129013,205.843913031,204.239260644,207.835692334,211.070415039	1	tan	0.08	308000
327136	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	194.79989085,197.856718927,200.277995396,202.455633098,199.522791625,201.548526915,203.504987154,200.151031781,201.773175138,201.567968898,200.819483892,202.046618187,202.022567217,202.630395005,201.648842651,202.696945725,205.186772469,202.640918725,204.031709646,208.682949688	1	tan	0.08	308000
324454	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	202.433346778,203.630914682,206.810607028,206.168347854,208.174294698,208.528139205,209.329164243,208.706344104,207.784249169,210.061199675,210.17451122,209.265552075,208.675104116,207.397728086,210.611433185,210.722194393,209.758973312,212.173336624,209.650468237,215.139492319	1	tan	0.08	308000
327547	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	190.310169298,192.035859828,194.745517672,195.225066582,192.437941575,193.78656154,195.497488002,194.595327243,196.147006821,195.595878252,193.424278808,195.279252824,196.340711229,194.931139511,194.960982959,195.482548201,194.816979156,198.749103944,198.256080872,199.455047461	1	tan	0.08	308000
326528	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	195.36159683,195.581497684,198.679365295,199.130094496,196.712902493,198.559309948,199.211964744,197.971910094,198.34734974,199.139797301,200.989061597,200.96079079,201.209328809,202.328504314,199.341142007,200.611631025,201.764663451,200.969407512,203.072682021,205.307565417	1	tan	0.08	308000
327236	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	185.422262445,190.268160967,191.850375471,189.640543134,191.678762308,191.622063419,190.505283176,191.101243597,192.997762019,190.820592395,193.192886508,194.176759061,194.565419819,194.03280517,191.904199908,193.461447392,192.156146951,196.587877784,194.673217443,200.867092532	1	tan	0.08	308000
327939	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	195.586686144,197.832111101,198.775561316,198.56609918,197.76806301,200.385267993,201.535176234,200.412407678,202.133434206,201.453005974,200.064530407,198.962198569,200.298049751,202.117875269,201.625255913,203.485036093,201.631452115,200.784359703,202.715248527,208.365391288	1	tan	0.08	308000
325579	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	187.763828044,191.394763926,191.566206142,194.019612208,192.754600105,195.917765089,196.618110088,196.409532305,195.249480154,193.829884388,196.059208473,195.865023152,194.36617233,194.607867534,198.014059634,197.727409925,195.07144029,196.201566901,199.824031518,200.773286058	1	tan	0.08	308000
