ID	X	Y	cluster	func	noise	original_trajectory
157957	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	34.8037835646,78.7977072694,107.53820935,123.997544315,133.898827125,142.725564762,140.706637904,152.355645114,153.073852234,153.740346573,159.696178686,158.486475983,156.807433459,165.971033526,165.155622081,167.327696786,170.26545383,163.275174998,164.878015915,166.613546	2	hyperbolic	0.12	132000
156237	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-30.2870679873,20.0280789171,42.5961824882,63.9350392525,71.3080195511,80.1361159972,83.8898820198,88.1716849475,91.2091744827,96.967213518,96.9499532958,96.26955258,105.688082265,98.8443983826,102.882531355,108.89172357,106.892244756,108.476434585,103.784462902,104.882826807	3	hyperbolic	0.12	132000
157640	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	110.636970724,161.099603548,185.610197583,197.264027601,205.416503716,210.302471415,222.887928991,225.74069108,225.554632713,225.672595317,232.355933649,234.851360291,236.96798378,240.921339154,241.123600293,236.961916845,239.774584483,240.007354067,241.738915986,246.486007045	2	hyperbolic	0.12	132000
158126	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	70.6491955639,122.996332135,153.352040612,160.968446864,178.864729727,178.146446008,191.230373106,191.515937367,198.205097009,200.357000172,202.823048644,198.378830727,204.718044742,201.676107148,207.361237529,211.469708626,210.363902057,209.742763187,206.35301174,208.230738232	2	hyperbolic	0.12	132000
159049	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-62.7364742119,-19.918787438,8.05565815717,18.7768395134,33.8857471512,42.4846539,48.0597210386,53.8543163257,48.8899970449,51.1764127494,55.1451625897,56.1646096924,62.5346933404,57.8368786952,63.6827802242,62.4163582678,62.7858082518,63.3986281121,62.6662053342,63.3321604584	3	hyperbolic	0.12	132000
157700	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	44.850753944,97.7826238762,124.238185048,134.418087047,151.010320224,157.924927803,158.238183594,166.673175572,171.117193823,171.554112999,176.882213687,175.264051631,179.305121095,179.435676008,176.15508082,183.979038572,181.594902107,182.701917248,188.526610768,183.969322439	2	hyperbolic	0.12	132000
159410	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	27.0550143697,78.3026315809,96.8837247772,115.611019281,126.289078813,137.196706561,139.723834556,147.463316004,143.371905883,148.565063302,153.15129883,154.740434502,154.214318907,160.823897401,154.297753355,159.072923063,158.165367613,160.927277826,161.134399691,158.84577719	2	hyperbolic	0.12	132000
158670	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-104.558204848,-53.9560490433,-34.7569742793,-15.7017078949,-0.697982170735,5.71642669494,9.56166491549,11.2362431247,15.4168675991,20.7328574715,17.6903159922,16.4392777788,20.4535167935,29.0421958154,27.8192975039,27.1993184773,32.6674710755,30.5144243358,26.5347993878,31.5824984784	1	hyperbolic	0.12	132000
156810	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-41.897512538,3.40761509464,35.4540875067,52.8433145035,58.188462769,69.8454270373,75.5238489711,76.0892830824,78.2126137405,80.8273869584,80.6065109933,87.9221657046,91.6779103777,85.1617100094,88.5376006588,92.7133043536,87.2015320869,96.8794006861,88.62364389,91.1376542257	3	hyperbolic	0.12	132000
157709	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	127.887565447,175.737263548,200.671462916,219.836809514,228.817105528,228.510516294,235.905694497,243.034677077,246.264471761,249.640178699,249.883314618,254.731311378,257.040816137,255.629027005,255.416516087,257.125538968,263.139442898,264.337120274,265.711880582,262.885390887	2	hyperbolic	0.12	132000
