ID	X	Y	cluster	func	noise	original_trajectory
157334	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-20.464739424,36.3897768764,60.0933871664,68.0169670949,82.1084405687,87.2117020782,93.8993337625,99.7878855964,102.581194932,101.215575057,103.993420469,108.578968215,109.045035829,110.519786571,109.966826506,118.95534731,111.744730498,115.343050723,115.550465409,113.830233108	2	hyperbolic	0.12	132000
157324	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-73.3758955913,-23.8133265485,6.94707050051,25.6926706802,33.9818802099,38.6970893924,38.6129945278,46.7286792816,55.0835533111,58.1419517383,57.1739985222,61.1996453186,62.1231834947,59.7203785629,66.4071380859,66.0084984484,59.4154426568,67.2780828375,62.9767377255,66.8807431722	2	hyperbolic	0.12	132000
157083	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-59.7070642771,-6.63735066679,10.2345426458,28.9464020377,41.6976134226,47.1176818374,54.509721863,60.1399905561,56.1506335444,60.4000879119,63.6915561583,67.3767672289,63.9249636735,74.4858719271,71.3889627106,76.9544308893,76.9465118415,75.1915737523,79.5766463544,80.7297199659	2	hyperbolic	0.12	132000
158351	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	128.811225964,178.394209021,207.803267593,226.153115004,229.962579524,236.748615273,241.186933104,249.235310544,254.570140012,250.370924731,258.406266322,257.073674831,261.971734912,262.45448298,260.311784333,263.928172819,266.005310552,267.593620886,272.0146899,268.842217765	1	hyperbolic	0.12	132000
158691	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	46.6633064224,93.2871878701,121.348733719,135.385675521,136.705144889,152.930289972,152.82303784,157.528546873,164.248754308,163.618736984,162.911609505,169.682399187,174.305697794,172.182634454,176.490845855,173.15515715,171.700281988,180.43811373,177.229475719,174.875403096	1	hyperbolic	0.12	132000
159012	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-127.819797881,-73.1697430956,-46.1118156136,-29.8023294918,-24.6762098144,-17.6658352752,-14.3816662352,-6.20057269627,-0.847848011005,-4.3901993755,1.79793681351,4.26609278996,7.07765787092,2.9128797539,12.4735208068,10.2320475059,14.4841938529,11.3554685137,15.7188581405,16.7038406381	3	hyperbolic	0.12	132000
157304	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-122.468871121,-73.9916427613,-40.58758259,-32.7253750666,-19.0124715264,-13.124826109,-9.35602852616,-6.82455904903,3.26542518627,0.130737953551,7.34363444318,2.13695931676,4.74328783232,11.5158666594,15.9191370374,12.0849324711,10.3624413418,9.43133709973,15.6538878411,14.8773575578	3	hyperbolic	0.12	132000
159898	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-42.3347621128,6.98252610473,36.7838975299,55.6375224805,58.74754345,69.8934263433,74.8874729726,75.9194907784,82.9843680341,82.9295410495,82.0303486506,88.136310134,89.8771770735,91.5918286686,96.235969742,88.8434620769,89.6448971941,94.2776988136,94.1385560984,94.7266842355	2	hyperbolic	0.12	132000
158908	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-105.295286765,-59.3170424539,-35.9856989626,-19.3379142415,-5.96220366111,-2.3596336216,7.3490239025,8.20412142468,17.5230712046,14.549773023,20.7188216516,19.3009225045,16.3820224498,22.6599185881,21.2613574638,22.9844891866,27.9648744247,26.8972936056,24.6771944646,27.0831039166	3	hyperbolic	0.12	132000
157561	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	21.7368792636,71.2290022341,88.9806255484,107.796761394,117.574203055,129.685125315,134.581961127,133.917523513,142.605904744,140.995919461,141.302886245,140.461687434,148.573892526,144.241938976,148.25994506,151.983229716,154.123264122,148.182334235,153.265612167,158.009832832	1	hyperbolic	0.12	132000
159112	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-118.656185809,-68.3758351882,-44.8740481033,-26.9282423317,-18.2847544241,-6.87736765937,-8.40365805038,-1.9390119726,-0.383735152116,5.19519136599,9.40153483057,10.1542845827,13.7738794615,14.3033681994,14.1544399727,9.58606386318,12.7299075694,12.5505719412,12.8201392141,13.7634084806	3	hyperbolic	0.12	132000
157910	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-40.4662312459,0.840192010602,35.003317556,41.5125918347,54.9447517461,58.3883164804,66.9060779464,72.1551451652,73.8834826821,80.5588462696,75.8911616016,82.2641147362,83.7398222659,89.4536189488,82.582116129,86.7985078357,87.2258259147,91.2429707837,93.4702939231,95.6091804848	2	hyperbolic	0.12	132000
158635	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	8.5750667171,54.586366006,78.7908778053,100.672940785,109.444918737,115.844863769,116.594390091,126.070434464,125.015453014,130.762005753,133.959200659,130.33337518,133.04181633,136.387466266,135.905090967,135.958530545,139.394576951,135.764860497,144.630470142,138.653064058	2	hyperbolic	0.12	132000
157758	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	19.2992190934,69.0552778496,98.9157781771,114.279855025,115.861626255,126.085390104,133.565165414,136.866946947,139.877573403,138.042809038,147.441013723,150.601576582,151.595935932,145.393349307,151.014222295,155.827032715,158.486705746,156.885817922,159.345572439,156.7974655	1	hyperbolic	0.12	132000
156418	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	108.530266594,152.594087066,177.6578043,192.896948377,206.273088466,214.097741808,223.060624721,223.243857952,228.037540024,226.187759903,225.906998066,235.62261799,238.713077839,239.614964359,238.588420914,233.393121821,234.917337556,244.667703585,242.992087503,238.872510226	1	hyperbolic	0.12	132000
158663	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	98.2899032166,152.701429511,171.879085834,185.527023009,200.387368569,210.255322233,212.530015927,216.913366826,213.838124604,225.014282507,220.919068257,220.987892881,224.373242208,224.654988324,233.735073151,234.835798462,229.311152526,236.138355229,233.663451134,238.315763115	1	hyperbolic	0.12	132000
159681	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-91.2819864758,-40.5558743955,-14.3923734304,-4.76832078779,2.55316294797,19.6344530045,16.6948084095,23.6748728395,29.7287478058,32.3837901842,35.9506482567,34.0905007816,36.5221370514,34.0954962318,36.6763907153,37.001629794,36.330996278,41.8336070353,45.4147827407,44.3325899698	2	hyperbolic	0.12	132000
158146	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	12.7818907102,59.6647938214,85.3766739955,109.138009379,114.728284282,122.249921445,125.436188185,127.52658068,132.63553655,139.442704959,143.79053574,143.388163863,142.611315283,140.420784062,149.164393197,141.707842947,152.941141236,153.449653676,150.896576443,145.195884996	1	hyperbolic	0.12	132000
159139	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-91.9475722604,-44.0758593163,-15.6244559562,-4.54429187579,10.2725166529,18.6347951523,27.1441425059,24.0702220783,24.831128093,32.652651295,39.8532398033,33.3504176586,36.7987670092,35.801207767,35.9247494639,46.1921702382,40.972733409,41.0597548949,41.243303981,49.8771921027	2	hyperbolic	0.12	132000
156381	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-106.452343937,-50.8795608682,-22.9739872599,-8.99067780097,-1.66377585605,2.885006213,7.07915198474,10.2804729505,18.5033625619,17.9895909782,24.0556135321,19.5830304772,30.5711468888,21.8224216065,27.1392749386,29.3003805554,34.6886591172,34.3749918325,27.5285357728,29.575563798	3	hyperbolic	0.12	132000
158655	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-126.869172567,-70.8446400453,-45.8697972535,-29.1504665703,-22.8043985566,-17.1758148248,-6.69507497346,-8.7368136212,-1.31962953321,2.95413432896,2.59156588208,2.48115563171,7.66791549661,11.5032070215,11.3717782676,12.793251617,14.1865667922,11.9503055268,10.6822345723,17.2703406412	3	hyperbolic	0.12	132000
158344	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-81.2682072284,-35.8101759955,-9.28953050314,12.6949603186,17.6022156963,24.622900593,35.4250807318,31.1782356127,40.7361394855,41.0731018777,41.8722244869,41.3253098638,42.2636205982,42.9938282002,46.7186307835,52.909596343,51.8721296962,56.2327784798,53.1502627201,57.5424505445	2	hyperbolic	0.12	132000
158195	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	1.36041192704,47.8487622434,75.1393198815,93.9371018832,104.941743261,107.103267003,112.695028377,117.6986368,116.462868761,128.801758492,126.500543856,124.45794544,127.381361236,131.329785335,136.094139986,138.649882753,139.222815139,136.808723141,136.799199591,132.848446942	2	hyperbolic	0.12	132000
157875	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	127.155169234,185.559385308,211.147953342,223.861070394,231.572835875,241.697105983,249.197692048,249.451889864,247.409191651,254.009112944,255.780036352,256.132358066,261.385854576,265.634531039,263.017346147,264.108325649,260.807904328,262.392279967,261.681258254,263.813061551	1	hyperbolic	0.12	132000
158599	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-23.8415887148,23.1743414345,49.8011645601,59.1040239691,74.8786601899,83.6250169693,83.2160406412,89.7207153855,95.0574915579,90.6201767952,95.764027393,93.5217784729,95.8503447176,106.420446817,102.825305301,100.734068766,100.359829715,101.006517139,108.521025097,112.118769129	2	hyperbolic	0.12	132000
159928	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-33.8505234646,15.7518188077,40.0938491555,60.3719886079,70.1768169236,77.4777269606,79.2228740453,88.49626376,86.3060758706,88.2581634363,93.6439542807,92.676267852,94.5630187317,102.601522839,105.725917982,101.750308528,102.709953619,107.164022569,104.103105387,110.051093424	2	hyperbolic	0.12	132000
158594	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-25.6457738655,20.5069086084,45.5993372793,57.5551154599,76.7365890617,77.5110809712,80.9758985607,92.3087880878,88.2862296057,92.5843625736,94.2929274867,100.682665056,98.0269261143,101.701494973,107.239822975,107.087971545,101.755122485,103.760062963,107.389601955,104.022152984	2	hyperbolic	0.12	132000
157439	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-60.988646976,-11.6426286576,15.2205980348,31.6910903445,38.5960635202,50.1750443518,50.4664510334,57.800337483,57.9543025138,66.1907604746,68.3213176624,73.5556654271,75.4059495418,71.5516771255,69.7738794188,72.6673832956,78.3979831265,75.3249642164,82.2160120856,75.0426743857	2	hyperbolic	0.12	132000
159322	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	91.7785892591,139.680181429,160.87788232,175.533364172,188.432999779,190.99186009,195.320115313,203.398171003,201.771635426,208.464973639,216.631863842,209.824795702,217.921111622,219.646063898,214.489562832,222.617573038,224.68296195,217.085771346,225.235626036,217.617506439	1	hyperbolic	0.12	132000
