ID	X	Y	cluster	func	noise	original_trajectory
159765	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-24.2588231738,21.0078841057,47.5499782009,67.1134191121,72.4699828385,81.3056168212,87.1280809659,86.9314930262,90.312155661,101.278101028,93.695696957,101.036726527,105.742485644,105.53827398,109.559892205,108.386544145,108.732334491,105.548928906,109.805032254,105.889067832	3	hyperbolic	0.12	132000
157347	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-101.543524857,-50.1037667025,-29.2010588363,-15.4525694815,-2.06160560407,11.656997436,12.0106047341,14.2229850777,14.5320908502,21.2003428164,19.6473652903,26.9064122399,24.3056470432,25.2546484114,33.4430659885,36.5637481214,37.8698880952,33.2424446647,30.8494064467,37.2847456237	2	hyperbolic	0.12	132000
158373	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	56.1107509286,106.002348064,136.135110091,147.425480467,155.820079841,169.725008329,166.592524145,175.0762877,179.324554858,178.590201833,181.523879481,181.241431597,192.119837898,190.149872992,188.531174161,194.168894955,191.590222644,193.660072378,194.391723231,190.660803017	3	hyperbolic	0.12	132000
158774	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-91.0242395543,-44.1774008984,-10.9154609152,0.123205979759,5.54897945938,22.1849401137,19.801555975,22.944201273,31.5258381134,32.1096935472,36.5257677793,37.4721169061,36.6347663857,44.1464556974,40.54574505,46.6495460047,42.5937921657,40.2161517918,43.5283813295,41.4109950642	2	hyperbolic	0.12	132000
159151	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-5.66977764272,42.8234903831,70.3379383192,84.84936954,92.7473501639,98.0835056087,105.942729044,108.579785934,118.475111486,117.564244667,118.88809134,121.75876142,121.947080096,128.766076851,123.002609222,129.172075383,131.507793403,123.716582354,124.050273131,127.613148288	3	hyperbolic	0.12	132000
157859	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	103.202103147,151.256320576,174.720877069,195.727050801,203.825769573,211.254833819,215.71337279,225.425293735,221.096162741,224.253883894,230.397141393,230.698463807,227.722765475,234.809414367,233.155310885,240.91646467,232.135195208,238.064892738,234.756412753,242.211691739	1	hyperbolic	0.12	132000
158006	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-123.540760592,-79.0877607756,-47.2800726706,-37.6964705872,-20.7008589132,-20.3408227522,-8.55356657058,-9.07317557363,-0.504476426311,2.17926022668,2.56394951021,0.241304274219,2.29052654801,1.53600440917,9.65283017063,4.05314232059,5.03082313688,8.343525081,14.7677387919,12.957235034	2	hyperbolic	0.12	132000
157757	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-115.56431521,-66.8910525296,-46.1426693353,-24.3185384154,-18.9073200203,-12.4577344305,-5.6881157739,-1.7376733331,-2.76788808193,-0.682302976671,11.3207037264,3.91229124254,11.5290138387,8.86690208693,13.4973770918,18.753902662,20.2209108681,12.1088308049,14.8351251444,13.1268006945	2	hyperbolic	0.12	132000
158312	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-74.2276168748,-27.1906086144,-4.01197305516,19.3680122622,27.8826386698,35.6429241359,33.476297026,41.333694503,46.9315708978,47.2746127244,53.6367891187,52.4475206067,52.5947064706,54.1334691366,57.6801994571,59.9416235309,60.0122216105,61.739988583,61.8658209402,64.4971046425	2	hyperbolic	0.12	132000
158014	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	77.384344228,128.610045633,149.22737976,171.284336997,181.613505335,184.673773225,192.994207317,199.307713475,199.06699792,202.550432203,205.291643057,202.413128555,202.84378013,211.157127639,214.273758725,214.165167589,214.572893486,214.276017326,212.660546611,211.864930629	1	hyperbolic	0.12	132000
156364	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-51.8697442544,5.2680231891,27.7943167154,39.297909105,51.0968189088,56.9519395562,65.7673998701,72.6817866614,67.3915074226,69.9857075399,75.155189969,74.5087742876,78.5483833536,82.2213763785,85.5840803255,86.9595144193,90.3774117362,83.3099480969,90.4366457939,88.4531358232	2	hyperbolic	0.12	132000
157864	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	6.33249946225,54.9144271171,76.0809855477,97.8481759931,107.145767841,107.129604445,121.177018854,116.809720371,127.956538335,131.283751463,131.710608543,128.08721891,131.718358444,136.875409578,136.744301663,140.557472833,139.990728371,142.909548489,141.262722055,138.942423416	3	hyperbolic	0.12	132000
156895	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	5.28347421226,51.7763456992,80.2435635462,91.6744309012,103.558119492,111.873041555,117.481840958,124.963848547,126.346203413,128.062580609,127.1216466,134.132275759,134.501749838,131.383577405,140.264226428,136.711784108,139.723296668,141.888199118,136.070351956,145.653467012	3	hyperbolic	0.12	132000
158061	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	42.1843361632,86.2590820077,115.233361338,123.031858193,141.369419503,140.727613877,148.17044725,152.164546998,152.895729195,161.600686851,163.080236775,168.445697979,167.102158901,166.581456594,169.470475725,164.577883619,167.359758786,170.41838806,175.544707064,177.886177901	3	hyperbolic	0.12	132000
159132	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	135.539401631,183.985078709,204.487490522,224.072836357,236.921440442,235.58746028,243.572852181,249.462061094,247.566969077,256.978793456,258.36629403,255.909041045,261.213772037,264.922942332,261.362696348,268.681809406,264.520656423,267.77377102,264.483786358,267.291976324	1	hyperbolic	0.12	132000
