ID	X	Y	cluster	func	noise	original_trajectory
333853	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	206.445701875,212.010740009,208.11641621,213.453744248,208.70736539,210.212832542,213.922315243,214.221434045,211.70305969,210.773360722,213.703874149,214.31778818,210.745392002,213.104389353,216.466000869,211.562515337,212.306053148,216.3360178,216.659774869,218.630329435	1	tan	0.12	308000
334193	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	207.595544346,212.082433019,214.176292664,210.827782883,216.447749186,214.315981,213.682536471,216.773103622,215.336783238,215.274332401,216.778360741,216.942138818,214.935542325,212.58739136,212.893175557,217.405769049,213.907038028,218.091508143,220.913394944,219.222246996	1	tan	0.12	308000
332482	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	212.89017153,214.918076746,216.726672449,215.623809095,216.26886491,216.304935921,216.917737242,221.422373474,216.975367121,215.953943296,216.596356064,220.529962441,217.837233583,219.862372746,222.018023724,222.426890223,219.87241602,219.470596441,219.556495937,227.570288389	1	tan	0.12	308000
333269	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	181.716422057,186.779066077,186.542331878,187.782674602,191.166047082,186.725742165,189.221767765,190.14805577,192.492528053,189.825789834,190.029636832,192.758467227,187.744230623,188.474195052,190.887935373,192.359339005,190.373379653,188.93683025,195.62489825,198.320600239	1	tan	0.12	308000
333582	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	191.800338901,193.209509877,197.175444875,197.2504389,198.399895065,199.83076369,197.137489813,195.197735019,200.790480185,197.863182357,199.167022129,197.289599046,201.1520671,197.985638164,199.856423043,201.700541252,200.557740055,198.432688773,202.190823186,203.423658091	1	tan	0.12	308000
334162	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	181.139766464,182.594534206,184.523407392,183.860872437,187.486836877,185.338965379,187.368290315,188.752637039,188.288344446,189.32804012,189.35283008,187.31914369,189.162797297,186.218945305,189.660291543,190.63699429,187.581767347,186.772099472,188.017177935,195.652910117	1	tan	0.12	308000
334717	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	211.264450706,217.134303025,217.15350519,219.170163667,215.467248228,220.057788811,216.369227127,217.565681133,216.324814281,215.341814703,218.339031584,216.342066788,219.142497689,218.084791176,217.415117551,217.78204844,217.878682012,217.818978317,220.889706065,224.914077648	1	tan	0.12	308000
335651	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	188.582080939,189.826973188,190.724048456,193.190453682,192.009118192,189.260352788,194.738683223,192.858495225,190.961735006,190.813786949,191.628648317,195.670635719,190.456306725,195.001200853,191.087406094,193.827908728,194.573839817,195.400417104,194.252529958,199.616612618	1	tan	0.12	308000
335237	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	202.860863726,207.131651113,207.164393656,207.397428271,212.831108933,210.367661356,210.869189635,209.769554347,212.171341872,210.806366038,208.148373118,209.679009946,213.868723086,210.535372488,210.493650189,212.643644297,211.594944206,214.506340676,216.521877666,215.803853878	1	tan	0.12	308000
332316	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	199.310446903,199.759229687,200.409724434,202.350650291,203.819795524,201.48265845,200.420785595,204.182609017,204.060291014,200.190479626,203.916397612,205.644596995,203.848677317,201.228902892,206.198140447,206.365540558,203.601197305,207.51111176,207.078796169,210.826507514	1	tan	0.12	308000
334579	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	195.35363661,195.484808298,197.047683684,198.386460971,198.718211259,199.667989515,197.825750799,198.709937608,198.062836785,197.256656614,202.068712451,198.733074822,197.809154514,201.465932928,199.582260643,197.838508333,201.66918802,199.405979052,203.583665985,208.095861094	1	tan	0.12	308000
335829	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	209.96180386,214.195106702,212.843235549,217.633356918,213.799866709,215.161401382,219.006637067,218.694808922,220.004426966,220.382676146,220.073377275,219.788591213,218.649593449,216.862778026,218.2036931,216.488106934,216.931432212,221.152021897,218.608243266,224.110008452	1	tan	0.12	308000
332187	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	174.881921169,181.019336814,178.030257267,182.856692111,183.87847464,181.537812218,184.042506044,183.348338305,180.704215818,183.86021429,183.164671525,184.120655424,181.947025994,182.589482514,180.395705575,185.128007114,183.44219465,185.326460974,184.439281264,190.37390097	1	tan	0.12	308000
332255	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	193.921272128,195.071267347,196.770885274,200.633718215,201.41614908,197.556054718,200.64430239,202.987495031,203.744055468,200.547156732,201.8896206,202.576866817,203.415881031,199.490361259,200.248949311,203.133540792,204.691398562,203.928316566,201.916074305,208.047814213	1	tan	0.12	308000
332221	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	206.930692111,209.585432963,209.763148815,214.546574431,210.981747735,213.849282279,215.662030663,214.914292255,211.235638193,213.414459938,210.995407779,216.312878853,213.36204391,214.842202306,214.687089239,217.499370046,214.311507455,212.975224897,216.788932961,217.680348802	1	tan	0.12	308000
