ID	X	Y	cluster	func	noise	original_trajectory
333565	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	182.619085769,185.909066399,191.683900061,190.19352693,190.043948316,188.296452996,192.241452223,193.884858831,188.450015256,188.977651539,193.074376829,193.615563151,191.960123941,190.347787241,190.750235078,192.837907657,191.354440485,192.341660434,191.929782192,198.443977408	3	tan	0.12	308000
333254	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	206.488562441,209.113430653,209.068690041,209.568167559,212.379951281,212.733152775,211.735191207,212.078018776,210.916795898,212.724561147,215.46014234,215.558155861,215.193141412,212.190407381,212.271776561,212.083133267,214.632478537,216.342597672,218.560555336,216.69356447	3	tan	0.12	308000
334226	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	208.903481367,209.174359963,213.128725479,212.713444991,215.438921878,212.128066323,214.36768601,216.338719883,215.576749452,212.550729656,217.163936486,212.11574015,213.367390184,213.68005134,213.296394233,217.287051202,216.12251193,215.877764566,220.506284212,220.164085065	3	tan	0.12	308000
332217	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	208.077723541,212.919427014,210.092129401,214.994317076,211.179024413,210.740853982,211.987887653,210.850313884,212.891168126,216.182743454,212.903453228,215.744877412,212.250857221,216.504187662,216.461139798,212.036436022,215.094563204,217.556846994,216.621601383,220.425594427	3	tan	0.12	308000
333552	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	196.88628675,202.650922893,203.822379553,202.124364915,205.542651483,205.997853417,204.427096154,205.239792611,204.435474821,207.188962535,206.438978873,205.559611384,207.607675428,202.879602501,205.603127771,203.10321994,206.676153773,206.377262953,207.497350159,211.046211786	3	tan	0.12	308000
335176	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	174.268115517,179.562235041,178.525658804,181.708054002,181.657997848,178.658452082,179.833016068,182.691325458,181.010304791,183.746007683,181.420606007,183.635987498,179.431546965,181.553471636,180.647833755,185.523635957,184.477514279,182.288733958,187.471925323,185.757442031	3	tan	0.12	308000
332476	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	202.150919736,208.613266482,209.088548209,211.036898033,207.017015141,208.378891725,210.514705501,212.522370307,209.853558652,209.496507276,211.598932637,209.913103517,207.895768883,211.327443112,210.393139525,209.586225061,213.236142386,213.466501007,214.835514051,219.302547832	3	tan	0.12	308000
333376	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	185.948915683,184.358656731,188.788954829,185.366880353,186.003020628,188.842236709,190.918342826,190.906104473,191.176442664,192.182375781,188.556190239,187.869142667,191.591905887,191.586980493,193.19540089,189.796613,188.765751386,188.991112374,190.431886039,197.248916301	3	tan	0.12	308000
335105	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	207.853496843,210.887176274,210.577629371,213.573272078,212.362788073,214.433875495,214.973922277,215.030204118,215.160444253,213.750174621,214.136973199,213.927755381,215.447125881,214.485661747,214.138315507,215.468962212,212.74589974,215.106373212,214.374219202,221.087287263	3	tan	0.12	308000
333133	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	202.422343343,209.396539249,209.430087616,209.970081056,205.79242865,207.230142313,211.538290603,211.847617959,206.860331545,209.752049391,210.010348537,209.971425124,211.307091124,207.637122479,209.355138258,211.637582731,210.59538595,214.069696089,213.3310827,213.447999084	3	tan	0.12	308000
335656	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	202.423576738,203.874669557,205.846001267,206.289704789,205.672811527,205.539099746,207.972542399,208.763854908,204.197578371,208.548864255,207.779283699,210.112850183,204.722536254,210.480905154,205.521718259,209.236576543,207.860951362,207.551245279,207.920683665,213.414849602	3	tan	0.12	308000
334293	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	212.200750137,213.574934354,214.976686281,214.482220652,214.674742054,212.307327324,216.66386239,214.935275117,214.247791144,218.068923053,212.896481199,214.05261238,213.958930774,218.310829242,214.046888762,214.627873188,214.39954972,220.541384824,217.052162292,219.750100216	3	tan	0.12	308000
334641	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	188.059358713,192.212961504,191.859474747,193.735203105,196.760859223,195.577976936,197.432886797,197.630336882,197.171579649,194.965565884,197.064783644,195.892677633,196.50627886,197.411631314,193.675439164,198.104389741,193.993449212,199.497245783,196.665330132,200.648923744	3	tan	0.12	308000
333497	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	189.972255862,187.785667333,190.829386989,193.825061292,190.064841725,191.01309462,193.89670038,192.272367944,193.429629328,192.849801477,192.356116675,195.680442091,192.840484721,194.806352486,195.054046149,194.355382587,193.039099151,198.051997893,195.813579368,197.941329961	3	tan	0.12	308000
332099	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	179.881458945,181.531419574,185.330516751,183.437611385,186.56306407,183.1806626,185.201794715,186.627330224,183.50229871,181.887399554,186.335828824,187.183822703,186.42939381,183.648890021,188.11546022,183.773674985,187.693876501,188.640011838,186.225473778,192.181634209	3	tan	0.12	308000
335637	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	176.09308133,180.008426249,184.225465741,186.36773966,181.937526965,184.006153307,184.734814893,186.347707498,184.356211604,185.932414571,182.518624106,183.283280712,185.561813355,187.885786232,184.382534652,189.391370229,184.351310449,185.055164058,187.757796471,194.637432602	3	tan	0.12	308000
