ID	X	Y	cluster	func	noise	original_trajectory
341453	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	177.075969942,185.767251991,186.769886653,186.441828487,188.134780106,181.315243022,182.902127541,183.972335146,181.964395878,188.470065879,186.796735464,182.960902158,184.571020657,185.815139069,190.017342429,184.897808427,189.952236271,189.516534579,188.105804082,189.518522812	1	tan	0.16	308000
341262	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	174.468453467,175.603220554,178.682882849,182.85384298,178.445583666,179.612808716,181.566128205,179.095321206,178.674204566,178.554765491,182.598642725,181.666786859,177.455510957,183.401456917,180.257862745,182.975922949,182.663036937,184.990744321,186.970100594,185.708452644	1	tan	0.16	308000
342144	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	203.600669391,201.65787181,203.932211576,202.822276065,203.353072593,207.928909994,207.601628155,207.145887128,209.893200438,210.196992244,204.856785553,210.216475056,208.034732905,210.578419861,206.526672178,209.493634054,206.608101338,213.91461126,210.503816922,215.891979938	1	tan	0.16	308000
343852	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	206.407480403,206.979951573,207.054879133,207.537236293,207.814100803,208.36076884,204.325325919,206.459501817,205.863983507,209.514119589,211.015139618,212.785122373,207.711469949,206.070238654,210.419761002,206.853284413,207.963357355,207.895480462,210.134162744,213.174073402	1	tan	0.16	308000
340994	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	202.770969928,199.992062247,208.353774358,209.09790913,209.022888525,205.972810874,209.854612422,204.219298262,205.433377351,206.038180671,204.66963306,208.701524965,208.232958724,204.730322914,204.191234737,205.423654111,211.522436217,206.916133679,206.509151702,211.36934295	1	tan	0.16	308000
341559	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	191.571692183,190.71598673,192.313199225,194.213340517,194.268743827,194.852186553,198.129888086,196.090428646,199.562551108,194.357443157,199.63791532,196.723248159,198.14704859,194.705245707,194.616042526,198.841487081,194.236456867,201.223611915,195.875582486,202.120722059	1	tan	0.16	308000
342819	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	211.33005506,214.254937621,210.323290351,213.260459127,212.752493238,211.852238084,218.208245637,217.900910334,215.8305182,218.429817749,213.747627331,215.64004037,217.243256272,218.305030718,216.035463927,213.845491801,217.576200922,214.610621825,214.725041379,219.946806941	1	tan	0.16	308000
342717	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	209.518393022,208.777554248,213.599986765,209.926368699,213.474089466,217.985101455,212.736096167,216.351699131,216.777633262,215.47278825,213.321826279,216.010390399,219.322013728,213.185483028,213.52059689,213.871987465,213.849918602,214.883345555,220.40168145,217.696701897	1	tan	0.16	308000
342465	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	211.833228355,212.653358809,219.098311637,215.978442762,216.243277107,220.197119032,220.645789667,215.447400275,220.165275444,215.201271931,215.574560814,217.995942188,216.397752487,215.92388862,216.207505344,220.565019633,224.014729021,218.580428368,224.309957935,225.661568282	1	tan	0.16	308000
341933	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	192.757636502,193.802370084,192.614024579,196.505785579,195.02849644,199.010715651,197.696603229,196.872418243,200.723953063,196.718046926,199.922457045,199.240245917,194.300569855,200.633937943,197.006296225,195.374838347,196.848611489,200.974956623,197.766818546,202.857714722	1	tan	0.16	308000
340123	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	209.520549255,212.505642372,214.085390658,207.112122319,207.784793658,211.994461049,209.208714684,214.860017539,209.785589577,215.344123125,208.707663722,210.477602333,208.956068474,216.581927475,214.767098755,209.970026383,216.044454403,215.70441016,212.70393925,214.583493395	1	tan	0.16	308000
341860	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	192.801433111,201.076615382,197.329746945,201.305978867,201.874996916,203.264577839,204.177620032,200.734322757,200.135933041,202.912681807,200.917744377,204.592777295,205.274814547,199.414674563,201.87221506,207.35052968,200.678728024,202.804031006,205.594164386,209.119350355	1	tan	0.16	308000
342690	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	199.08846476,201.980645986,202.644474134,205.847221759,203.14592564,201.877137604,207.024638528,208.74986594,208.959331169,203.654990894,207.632510046,204.459251823,204.361991784,207.807213345,205.558393814,209.410107967,206.103494921,208.671863153,213.641973392,210.29185853	1	tan	0.16	308000
343971	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	182.364445511,184.027190182,187.519714469,186.750728642,184.676187677,188.427433547,182.632848388,182.156516275,184.540815577,183.243388232,185.066579099,186.900294081,183.888391876,190.789737266,184.351970647,186.317804514,185.858893262,186.035642036,187.505279657,190.321321425	1	tan	0.16	308000
342154	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	179.313238767,178.364620566,179.080143174,181.593790222,181.594669465,186.989394331,180.829335784,185.005927463,187.120759154,184.985795007,184.541784846,182.413803201,182.065036721,185.800439862,181.48342369,182.695112776,189.014271477,187.939654288,184.148292595,187.699493951	1	tan	0.16	308000
340124	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	178.568016316,186.872583226,183.794241844,183.518472662,185.476843258,189.747698742,188.085607506,187.861814712,186.462475691,190.717800198,188.769782057,189.444596279,191.598344616,191.715014275,192.816842955,191.73540981,187.484651989,186.509752836,187.369722623,193.552673619	1	tan	0.16	308000
341260	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	202.291499269,206.041506525,204.768595788,210.148697675,206.025396214,210.504301172,208.339095246,203.802689688,206.994156686,209.049060712,206.712201631,210.5401074,211.756799485,206.531967397,204.842075099,210.749999464,206.503895481,213.773267,213.887225481,214.718338575	1	tan	0.16	308000
340787	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	182.092288023,183.011040167,185.732621096,179.380530491,180.393631841,187.530112537,187.405908485,186.383439281,183.630954635,181.002376417,188.411908571,188.220509901,183.920971979,181.538315431,184.99214175,187.309129726,184.864731842,186.787956823,190.007505148,188.429239469	1	tan	0.16	308000
340934	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	202.278436041,207.567911344,208.752149831,208.009908688,212.125908225,212.956033228,213.027355816,211.008480422,211.271355479,210.342555587,212.958108855,213.457468264,210.74470665,213.131142538,214.053598684,214.354969193,215.946951374,210.866248812,211.879683375,222.108142644	1	tan	0.16	308000
343660	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	210.406895147,210.805180839,218.275297683,219.165234025,216.490685585,215.041448045,214.587426325,212.352059678,218.526958977,216.869771387,216.341154261,220.549693489,213.870311607,216.238989005,214.980283622,214.296202384,220.464180964,218.794675609,219.921092821,221.12668984	1	tan	0.16	308000
341286	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	210.21101317,208.576439785,215.066792091,214.697309036,211.379623206,217.147381214,211.657341414,214.444824421,216.277582155,210.7684535,214.151399793,217.109912739,211.950111538,217.330532088,214.603182661,214.356810013,213.778082927,215.112178506,218.135789657,221.205719831	1	tan	0.16	308000
341597	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	178.170740555,179.214050379,176.225695522,183.167479496,179.492258652,181.689080162,185.076030961,179.681625812,180.545000856,180.672490897,182.000772766,178.671064582,180.49016186,184.503862302,185.130736605,180.128439658,185.518040353,184.698113756,187.755698647,191.98358563	1	tan	0.16	308000
