ID	X	Y	cluster	func	noise	original_trajectory
165067	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-110.212969352,-60.3411431261,-44.6848522432,-27.3563606619,-11.983137499,-3.21430341419,2.49289685758,2.28214501559,9.58165357838,7.98677544112,4.88118617514,16.0712270761,14.6315753942,13.9932345483,10.4064157463,12.4828597799,21.3058939699,14.8632896219,14.550395121,18.3397323794	3	hyperbolic	0.16	132000
164131	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	77.5093591004,124.497643728,153.511052759,169.655297465,175.830648798,184.307601899,181.482166612,195.345680246,195.92290235,195.173012061,203.022068102,207.270011558,207.61276327,207.204828943,201.118883335,206.907932429,207.446579281,211.438761296,203.89249666,211.815813235	2	hyperbolic	0.16	132000
166296	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-119.631949584,-63.4766800938,-44.1181678139,-20.8183239979,-8.730911711,-5.06075133358,4.30134870925,3.66536301294,11.6632708917,13.8238894089,12.7129327236,13.3122284276,17.4931956105,14.0889315131,9.95818581909,10.6977470833,12.2552092555,19.5261064592,24.4464150027,18.5675329983	3	hyperbolic	0.16	132000
166619	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	75.3518386308,117.729745741,144.832492041,166.205706669,171.494850661,177.316296132,188.029894325,184.608153994,196.987468578,201.864546143,200.905277061,206.539259303,204.19013926,209.651420131,212.343499624,201.18004945,204.193628673,208.045480876,205.134272546,211.918280728	2	hyperbolic	0.16	132000
165606	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-3.44453593639,46.0811643573,77.2280049492,92.8163008515,96.8713416858,112.846419573,111.124686783,124.975925247,129.014158618,123.692984041,127.028380024,124.736842842,136.638857391,131.526951946,128.692478949,130.924662186,131.697292935,143.818692069,134.419999751,137.811119659	1	hyperbolic	0.16	132000
167215	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-81.3635734966,-23.199900732,-0.490308880992,5.53944137199,26.7796395402,30.0733700971,34.1875461236,43.7437856246,48.2218622342,44.9930902462,52.243136531,48.5269937037,52.3267885077,44.4435013213,55.668223914,51.3418250494,60.0612765365,53.3868010951,49.446273776,63.8483978383	3	hyperbolic	0.16	132000
166889	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	75.3535678023,134.120559972,153.490213587,173.746031304,184.44405932,184.817292173,190.513719587,199.661495676,195.830147963,204.695227174,205.688120226,211.98963178,208.874104386,213.380176509,211.120380496,205.398748169,208.574599493,214.992189344,219.983083007,209.862006133	2	hyperbolic	0.16	132000
167045	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	122.123574084,174.394261035,194.584516725,212.836228825,227.426714819,225.743566837,241.229596444,247.11520166,242.814720581,248.445756019,243.836151634,255.330913298,255.611868127,249.548115114,263.363699328,250.91753093,262.488274436,258.314216847,254.509715632,263.730327319	2	hyperbolic	0.16	132000
167023	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	33.3445732262,80.5675002681,114.269391756,125.900427141,135.462564003,145.952024503,151.972454066,158.384731943,151.373636034,157.377410853,157.352312766,163.046376682,169.583881727,166.666703134,169.630004105,172.64273625,171.033551176,174.92418252,172.751004766,173.958412755	2	hyperbolic	0.16	132000
167094	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	36.4820243465,82.0566731175,103.915046836,116.904476258,134.068894468,141.090535476,143.479141917,147.002693274,155.866498099,151.755210898,153.418548551,154.845348724,165.324523362,164.533306348,162.613236291,156.902716822,167.82983368,167.019654203,168.05509197,164.2166362	2	hyperbolic	0.16	132000
