ID	X	Y	cluster	func	noise	original_trajectory
342234	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	188.193288891,192.931432232,198.150594609,193.287995817,196.791657352,196.655577581,199.841955996,193.579195859,198.10979621,197.595502839,196.414251428,194.525489987,198.445997029,195.35051561,194.045373784,197.352618168,198.325599668,195.926758697,197.540213161,204.522480751	2	tan	0.16	308000
343292	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	198.247420283,200.772239856,199.582022729,200.031384693,202.814620745,204.532368464,205.06948791,198.131043199,198.915755849,204.039172889,198.576277136,205.479423688,203.154042794,205.683105803,203.005464451,206.111425467,207.382274328,201.196747735,202.981209199,212.298075619	2	tan	0.16	308000
343105	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	206.863818844,211.695197792,216.385287215,212.48299442,217.990638613,217.463347814,212.115748269,216.021550284,214.645581479,218.46265724,215.336781752,212.216273436,214.906824857,215.595605386,220.227369997,215.910434682,216.844381475,219.562634637,222.035292175,226.130690233	2	tan	0.16	308000
341271	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	183.74985539,182.457399781,186.612335598,187.197298367,183.686734575,185.072963082,185.30834064,182.739703929,182.093002161,184.170930619,184.267999715,190.079997891,189.898630659,185.425650786,184.8601999,191.428700572,190.265061602,187.588752718,189.730536756,192.378782894	2	tan	0.16	308000
343433	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	183.563263228,186.876772589,187.203458606,190.673275101,186.721554458,194.328447216,194.737599147,194.282077091,195.155500524,192.492649394,193.918350603,194.247472397,189.061773859,192.457246678,194.501210231,196.18829136,193.829412121,191.888403338,196.004807042,198.912987423	2	tan	0.16	308000
341411	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	205.044439767,207.993025603,209.825381009,204.102034904,211.412340914,210.548424925,205.022343102,204.719315479,207.167532381,205.44624367,209.438090151,211.188180213,209.46952953,206.193437357,209.963629225,211.335622002,207.124178384,213.035953189,213.09297752,219.078569308	2	tan	0.16	308000
341193	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	181.651624447,180.3030859,186.93248316,182.018668731,185.554381301,182.433666012,188.602389284,184.194503451,187.977091364,189.319833659,183.988683337,184.453127252,184.550515208,183.922145133,187.622121833,185.463579239,188.183258374,184.810881714,185.843243443,196.286015343	2	tan	0.16	308000
343125	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	206.919873944,211.425005331,214.041234045,207.940838173,210.471621354,212.927423158,214.590545515,212.615955903,215.07706226,214.066531116,210.782059469,212.283722768,210.143431501,214.689382562,213.73193946,212.831256362,210.98325712,214.258564935,219.248464012,216.451427255	2	tan	0.16	308000
341948	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	206.950203949,203.806546489,209.714617947,208.135023063,211.602812933,205.065616558,207.853218841,209.364674818,205.069260607,206.630768572,212.012522383,211.085115901,212.063915978,210.895783913,209.197975827,209.099185045,214.086369078,215.273286658,211.414124903,216.305671614	2	tan	0.16	308000
343553	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	177.231249662,182.812611048,181.993094161,181.28914757,184.671509329,182.224323134,183.80648189,184.566923808,182.756825148,181.348330609,187.160421438,180.518002291,181.031854538,184.012329419,185.113599979,181.685150744,185.777389835,181.49666153,186.421133589,185.812242255	2	tan	0.16	308000
343613	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	202.833763302,208.947261288,210.873241165,209.476852162,210.890459839,211.867608529,210.278775466,211.891032876,213.06992197,207.183606828,207.093384364,211.961660763,209.743133491,211.559055404,213.543726892,209.981752159,215.995840336,212.349619761,217.627133843,216.013322763	2	tan	0.16	308000
340464	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	201.26773652,209.194156474,209.095113855,207.371989802,210.010050221,205.942843026,209.958860595,209.934193963,212.135037286,213.114843227,210.323729476,207.687381667,208.048799658,208.582973451,213.9862874,207.729476982,213.375541943,212.447202607,212.821093701,212.473751775	2	tan	0.16	308000
342790	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	192.669059689,193.867676689,199.760125012,198.402675567,198.271399446,194.322996424,198.202191584,197.367267445,199.197686624,199.655284772,198.117934607,201.80678381,197.000778793,194.607780804,195.593117499,199.424604766,197.22021727,201.763782087,200.339076929,206.325283738	2	tan	0.16	308000
343394	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	177.187690294,187.278566987,187.725667343,181.924249847,188.549369843,188.351601071,187.249018554,189.652659819,186.824706156,188.322001447,185.055365773,184.890736873,190.469712174,188.212221526,187.766497003,185.271549295,187.679585453,189.129092276,192.889895582,195.747089304	2	tan	0.16	308000
340154	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	207.409710028,213.182427196,216.970355409,213.672328728,215.105748542,213.945453225,218.390972045,220.023973471,219.28085538,219.868033252,219.674897475,216.73460821,215.42387376,216.620011954,217.067627789,216.020199166,218.247025014,219.180307009,219.121685544,226.95819701	2	tan	0.16	308000
342431	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	176.288579911,178.78477293,180.432615246,183.459790311,184.506785345,182.432661944,183.901596028,180.988245309,181.867162106,185.211667025,184.54104441,181.225829107,187.716287945,185.272668703,188.387267238,187.86832317,182.733504161,182.583601331,188.387213685,194.549114949	2	tan	0.16	308000
343791	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	205.007146249,206.529777382,209.532817859,210.018423946,206.616964887,207.025770684,206.195072691,208.106960291,205.646156345,207.328445626,208.61331737,208.696169504,207.703898263,206.938441083,209.468584999,207.006385368,208.102128559,213.924609894,208.392580773,213.955387609	2	tan	0.16	308000
