ID	X	Y	cluster	func	noise	original_trajectory
175506	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-15.3127007216,46.3137196711,60.2447961269,78.1254815314,86.8291989975,105.821256372,111.462477056,111.053464377,103.422398351,107.249949585,116.492791175,119.02420397,121.948653777,122.683277865,122.256438271,126.620662728,130.914220839,125.986951168,119.459690087,133.373020301	1	hyperbolic	0.2	132000
173137	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	111.972010506,168.952188271,195.239420372,196.20686975,219.004013912,222.617869009,233.044905704,221.923185943,231.190933466,232.968890719,229.284291129,236.161542322,235.679985072,248.849376579,248.256096675,244.149567461,253.362027704,251.086303529,246.797679369,255.712446866	3	hyperbolic	0.2	132000
173784	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-90.7367367897,-37.0718209445,-20.9840673918,-13.1383360877,-2.09244375817,15.6420322132,16.8725429806,16.3926309219,25.0629860697,34.3612257427,23.207705742,27.0001645311,28.0777198055,26.3792428598,29.8321608607,40.1952654358,34.2997512776,37.0284613866,45.188960012,40.5511942243	1	hyperbolic	0.2	132000
173964	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	44.6719346959,104.050036445,125.625276949,140.451332685,153.562048839,154.013311063,153.617834277,170.115586517,174.682015797,168.102317683,173.827075669,175.45417152,167.759890324,171.321658311,175.776811786,180.57990958,180.107314498,182.717517553,187.435251075,175.530593678	3	hyperbolic	0.2	132000
173086	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-31.3992036666,13.2231356946,42.8353773556,60.060732027,69.6124493432,85.9073875456,83.8292849104,82.1136873218,85.467082266,100.014216801,102.120856375,95.6249713313,93.294486761,109.348847404,110.367972371,95.5993560554,112.673600273,108.551432974,108.794768597,99.7724332275	1	hyperbolic	0.2	132000
174284	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-68.0557263649,-22.5134687231,3.08923160713,21.5663769188,37.9584057377,41.7558928588,39.3812554399,51.4485053167,59.7923152651,60.367275647,55.223480553,65.4800615573,66.9708106649,62.6171285074,63.9776184299,72.5703517397,65.2651210775,68.8003690236,63.6011393326,66.9282529309	1	hyperbolic	0.2	132000
174912	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	10.0731601116,61.0337748995,90.9767471851,90.0193228781,110.881343159,121.015158205,120.170730448,125.941825089,131.93865486,122.141159752,129.485966404,143.315925336,142.67806285,145.370561747,144.967293393,139.040285339,146.844561435,137.681751087,139.954903492,146.605137723	2	hyperbolic	0.2	132000
175850	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-58.3547359554,-12.6274968232,22.1224148665,37.3805972239,43.463731651,44.7591222013,59.4625500252,68.9820466367,60.0328030962,59.0150181991,76.1013265649,78.6809867621,69.5700039694,77.6302047343,70.3197369996,69.219392981,83.7323121084,73.437434663,87.0517708599,74.9236088307	1	hyperbolic	0.2	132000
173831	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-72.8308704264,-16.0757625442,10.46278603,24.1474899449,31.0977630154,43.5536989453,50.9409843611,59.2308930852,63.3909852577,60.2129738675,59.2615320576,67.5268615497,59.6273818476,65.0875841276,64.5527743197,74.4144497999,61.2460334774,75.881095162,63.2298629517,73.456903991	1	hyperbolic	0.2	132000
172886	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-15.8333597694,38.072938423,57.7258204885,73.6967327278,83.9828659932,94.5467775755,101.459302189,109.749031069,99.190743508,116.134964861,108.803895681,112.06772389,115.369656207,119.814065749,116.140171368,127.039729746,120.654986665,120.266613893,120.889427977,119.009210983	1	hyperbolic	0.2	132000
174032	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-106.070230821,-55.8636987472,-34.6467911617,-18.2132710552,-11.2246760959,-0.0585893708017,-3.9967562109,-2.44449533223,7.7472649639,12.7488704108,16.0232199884,18.5646684957,11.2508552737,7.61147568788,21.3429369444,20.1962732891,24.3499022654,15.9474481719,16.0209372149,29.0228035488	1	hyperbolic	0.2	132000
172295	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-107.6089731,-55.7850496324,-33.2385565688,-23.3609431525,-5.22113002243,-5.95390197947,9.43061818748,10.2144505374,19.7600058351,9.90132923241,20.7514516355,18.4079280405,14.5413949556,24.0010410551,26.4007252661,23.5219132624,19.3401159926,31.1282738214,25.3337478615,18.4710775006	1	hyperbolic	0.2	132000
