ID	X	Y	cluster	func	noise	original_trajectory
349365	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	179.801872519,173.737297921,178.754281653,181.325630342,179.37198032,184.160198554,177.09569269,182.017170964,183.443452096,183.365819921,177.67432138,186.519634138,183.823381107,179.500062299,181.713394349,180.918762396,187.11509341,183.437859696,184.127068237,188.211703784	1	tan	0.2	308000
349596	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	209.780957486,213.077384281,213.257268527,213.962147153,222.257947626,218.128602325,221.685253858,217.703000197,223.574167443,216.514293867,219.646987757,220.86269247,224.190716311,218.316080998,223.978243055,223.205582662,220.286757638,223.315787403,225.613756227,225.948416677	1	tan	0.2	308000
349072	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	217.346833564,215.453001017,220.232643741,215.642836927,219.177758085,216.947103087,216.24182354,217.451286941,218.562368512,217.534468486,219.423236586,223.940758995,215.574975156,222.013155667,219.017123992,222.209948313,218.324171839,221.208383703,224.389435944,228.1587213	1	tan	0.2	308000
350991	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	185.853510857,189.077189019,189.808157813,191.285400766,192.674607905,187.216158624,188.061179433,191.516794566,191.109929991,184.887358901,185.577073564,187.078321019,186.123514871,185.60184822,191.074320491,193.312094637,195.413423471,195.475045846,191.801819581,199.654508802	1	tan	0.2	308000
350299	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	176.528274862,172.899636528,178.943319154,177.572085226,178.400644167,180.305175121,178.089829283,179.110641926,185.041976066,175.849858348,183.451928017,176.515040032,185.865088415,185.701616541,177.943531771,183.387495031,180.904785757,180.311771605,186.297619996,183.594717065	1	tan	0.2	308000
349136	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	195.115145566,208.195183891,205.436083262,201.56800611,205.948822778,204.784901008,208.207009749,202.682979534,203.423590569,209.799068469,207.37281531,203.346084545,202.986547522,207.423779907,206.426634745,202.631483501,209.047787446,206.75640413,206.314470848,216.201095572	1	tan	0.2	308000
349702	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	189.084621385,192.174825565,192.712191138,188.220855926,193.349707375,189.621013889,189.060885079,188.007765526,191.333337938,191.321532366,198.265416005,188.954272359,190.494997518,190.447396766,190.37564538,191.328137555,197.377046493,198.40259346,193.061854385,204.154529072	1	tan	0.2	308000
348944	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	179.882711494,186.728119253,190.297865819,188.542974533,191.220927849,195.278461517,189.132358926,192.657256975,192.409841226,191.652738197,186.694781458,195.302737104,189.264543612,195.469969924,189.863320447,193.211667105,193.991434096,188.418622641,198.961855927,193.617069952	1	tan	0.2	308000
349801	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	205.054013747,204.546202383,207.530390945,201.722587255,207.59434697,202.140651588,211.553684535,207.568619506,204.995702387,211.279207019,203.424317564,204.620319647,205.688319489,210.001652504,205.424495929,206.534219579,205.8041753,210.173087851,209.675725322,217.178042963	1	tan	0.2	308000
349246	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	200.584836342,200.573807402,196.473088353,203.764468109,207.057231058,204.133679294,201.564540457,200.572567317,207.590605257,198.754200412,205.475325562,200.463881391,207.093976704,200.371396991,205.728556012,206.461429277,208.59366382,209.511960084,205.532584632,213.426397435	1	tan	0.2	308000
349564	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	178.858943808,186.936429794,185.971362681,185.134424769,186.533636964,188.966137531,186.318691969,180.017128169,189.715542748,182.127582338,184.474237885,190.449140211,183.296677529,187.535054184,189.208187431,190.494359517,190.04622083,183.753679999,191.744206911,194.0939744	1	tan	0.2	308000
350258	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	187.920470976,191.884272589,195.559381024,194.007363548,198.087637074,194.132120604,200.501476227,196.736073146,200.104191374,190.935893588,197.983381875,199.66927084,197.846807048,198.082044421,199.037153143,193.293323454,199.40869953,201.830009664,201.775858033,203.047492325	1	tan	0.2	308000
348977	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	216.970971327,212.152364309,216.334683962,213.199544876,223.014825245,222.237936811,223.507537359,220.39791646,222.524957368,217.329895348,216.705861563,217.52179314,217.582162075,219.901982899,218.908416412,216.072853389,222.919422758,225.576261861,218.422552747,225.512449898	1	tan	0.2	308000
348700	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	195.75632753,193.459659835,196.305871868,203.840704517,195.55046538,196.42589701,198.388188402,198.085110156,195.398841666,203.463548148,199.262162297,201.131701394,204.753386734,199.226476845,197.540297495,203.568433081,206.690861081,201.700236354,207.337374879,208.81887491	1	tan	0.2	308000
351018	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	183.234374151,183.919790033,183.183674522,187.9120349,190.32785906,186.212221004,190.18875728,191.475035982,184.595339907,186.652006204,192.911530564,190.509957984,192.635079517,183.925971635,192.772718109,185.797852589,188.454457642,186.200383806,189.726033496,191.120390879	1	tan	0.2	308000
351252	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	179.941467327,183.767175346,179.306608938,183.90229654,179.784953969,184.456066319,177.233605919,183.6804432,180.445086446,179.693516844,186.110523241,178.706596012,179.406753552,181.815706289,187.707365744,181.900915531,181.14930799,181.106404746,187.615294804,191.453917259	1	tan	0.2	308000
348045	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	210.610654405,206.219304045,215.27416162,211.292544647,215.168347638,216.079167374,210.293042296,217.439508353,214.731425522,214.681968207,209.963594985,209.284022645,219.068283688,216.961745131,213.260561186,216.87362766,216.241035644,211.716652375,221.01879147,217.519596732	1	tan	0.2	308000
351341	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	178.874359761,187.254328479,180.752301198,184.935374339,182.601044943,185.305092709,186.512010408,184.774879299,186.802554869,188.092978206,189.664408696,189.490722077,181.323329515,182.361004198,185.050583434,191.561958422,189.746607419,192.181633851,189.958795099,195.947336613	1	tan	0.2	308000
349207	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	177.022088477,187.588087555,184.454249851,183.116375624,191.414540817,189.239606922,185.154594137,184.249185113,185.358426546,183.84556168,188.829542336,190.655560625,191.582657923,188.680019177,191.640443425,187.114998887,184.718863181,189.107491645,189.55284819,194.01227946	1	tan	0.2	308000
350556	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	191.64797233,200.260113824,193.9350804,195.468401061,201.546378472,197.65772362,196.100840508,199.975731098,199.232777008,200.467116716,197.462438318,202.147063977,201.679335366,203.34396312,200.367659043,196.903401099,197.188476867,199.506725148,206.880079765,204.972917498	1	tan	0.2	308000
