ID	X	Y	cluster	func	noise	original_trajectory,,
316989	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	198.060314742,201.53395465,202.893911822,203.680564745,203.299017761,204.016732679,204.023183271,205.533122626,205.099174527,204.238952223,206.315561795,205.306731089,205.754226673,204.910967127,206.008374949,206.35168388,206.613998647,208.194850072,207.840717539,212.376515077	2	tan	0.04	308000,,
318960	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	184.399928708,187.598533855,188.231884956,189.686300462,190.26027704,189.828317047,190.895256894,189.791057193,191.267587423,190.096664957,191.247207822,190.734076329,190.975322112,191.883593567,191.564910541,193.135140625,192.616969947,192.229990617,194.003610053,196.601617201	2	tan	0.04	308000,,
318028	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	212.165551115,216.700758035,217.761363675,217.44407299,217.054872009,217.589259278,218.885212416,218.105383442,218.492698531,218.352733957,220.020110081,219.324827634,219.013601559,218.893531272,220.139905658,220.279453851,221.071653773,220.755850285,221.93608472,224.821353875	2	tan	0.04	308000,,
317051	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	183.375704836,185.966750854,187.489517803,188.023384681,188.532745371,188.853878249,188.263485218,189.94057263,189.512112549,189.213864377,188.827329516,189.349925058,189.702580681,190.947601374,191.318517499,190.141216872,190.377989753,191.56925887,193.751056979,195.773481345	2	tan	0.04	308000,,
318188	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	202.351310455,204.853155356,205.781078861,206.477625977,206.958981166,208.807370671,208.989765395,207.652948314,207.851111403,209.508665736,209.438746569,209.552591522,208.94357686,209.551420441,209.432074963,210.113619684,209.367809432,210.116848854,212.316171451,215.757754902	2	tan	0.04	308000,,
317562	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	213.415391223,216.012336425,217.105143698,216.935238678,218.816128659,217.889304285,219.050418347,218.685791289,218.951463633,219.29276954,219.640057512,220.157274181,218.825795936,218.978022834,219.676162426,219.917041037,220.181120889,221.225032756,222.638388469,226.472504128	2	tan	0.04	308000,,
316196	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	203.731320711,208.196031823,208.926456722,210.393858754,209.924865448,210.777561162,210.231930328,210.331902518,209.807780442,209.932639605,209.956337634,210.567339412,210.955139783,212.168763997,211.89589724,211.786484822,211.346544953,213.153000897,214.296204712,217.619297161	2	tan	0.04	308000,,
317377	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	194.417426696,198.618449535,199.536290693,199.495743175,199.886769859,200.324507523,200.750368979,200.882740076,201.542578545,201.301903128,200.931331797,200.68825274,201.106069432,200.990392821,202.264700828,203.084229758,203.371656707,203.217657509,205.036007146,207.668474035	2	tan	0.04	308000,,
317750	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	198.900177141,202.714851828,202.848475882,204.043982091,204.373402389,204.193623052,203.965635625,204.065060185,204.703391943,204.999915255,205.642304837,206.065584222,205.743806873,205.189622517,206.075086856,205.477963324,207.391956833,207.522999146,207.461478069,211.176871971	2	tan	0.04	308000,,
316265	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	179.00935653,183.10560457,184.111531998,184.889010848,185.198423454,184.872665022,185.216615651,184.599614306,185.332763096,185.406880828,185.882540747,186.196450856,186.477627723,186.241505865,186.437473211,186.603514429,187.324793286,188.099452014,189.147291179,190.987468834	2	tan	0.04	308000,,
318896	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	191.03807329,194.879239233,195.077380381,196.54063211,196.82534992,197.064398124,196.568720287,196.697812041,197.362627486,196.881857428,198.049234719,197.254336587,198.536595355,198.654053011,198.150560248,198.789218841,200.011226784,198.888509219,200.538311959,204.55742518	2	tan	0.04	308000,,
318683	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	185.621649718,188.80079534,190.504213515,190.351268253,191.923082793,191.796893053,192.508720995,192.469757285,191.8909793,191.838496258,192.620022454,191.739714029,193.613215772,192.979868411,192.021809192,192.333490868,194.114016864,193.379987696,195.34225585,198.096025733	2	tan	0.04	308000,,
318431	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	194.66367969,196.885062762,198.089601657,198.243693126,198.603474795,199.167800451,198.743706474,200.057258116,199.394167893,200.118208624,199.516231783,200.541819982,201.084225279,200.198763949,201.842537943,201.565399147,201.948867568,202.905408009,203.176730195,207.181656542	2	tan	0.04	308000,,
319023	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	209.184584204,214.07388638,214.721083325,215.15366247,215.015503792,214.76717511,215.384972491,216.340796556,216.165100293,215.359909974,217.260905927,216.927535763,217.129137455,217.012156385,217.520112259,217.77764933,218.172367948,218.629264117,219.632059596,223.049107633	2	tan	0.04	308000,,
