ID	X	Y	cluster	func	noise	original_trajectory,,
142530	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-127.4394962,-75.9715734635,-50.930841309,-36.6649622044,-26.8825804464,-17.3517801971,-12.4949696856,-9.70881099258,-5.12689645287,-4.87479011044,-2.84660211914,0.041021815593,2.19853919832,3.13602593215,6.28381422866,6.70602984794,7.19310546768,7.71252805948,7.4329071937,10.4054700748	2	hyperbolic	0.04	132000,,
143836	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	47.9127522506,100.274690807,124.476654953,137.393406184,148.176413346,155.859574679,162.032278545,165.535077456,167.20901635,170.649184792,172.015489749,177.274529494,177.149206778,179.372469959,179.951324751,179.568104256,180.549968089,182.75888882,184.706762444,185.295551727	2	hyperbolic	0.04	132000,,
143417	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-36.8412918843,14.9520743014,39.9851612332,53.1379646841,63.4347881095,70.1446923696,77.4307754593,80.5976304178,84.3760726919,86.8050635404,89.9817282449,90.1663295822,93.4565296942,95.0071496032,96.8028889837,96.9046159919,97.1197202188,97.7519007354,99.0989307217,98.7093985241	2	hyperbolic	0.04	132000,,
143472	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	89.2016822417,137.458651983,161.89526682,177.587420068,186.422182247,195.947336676,198.865350738,203.574523194,206.145793309,209.169007783,213.054798501,212.982975697,217.709387867,218.158651444,218.979338761,220.736068386,219.745277096,222.079058122,222.979953336,222.162554391	2	hyperbolic	0.04	132000,,
141013	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	12.6968843936,63.5419428616,86.684161638,101.474813501,110.857458565,119.717822677,125.422227673,130.021652494,131.711557469,136.197904574,137.336426456,139.220696993,139.989683396,143.939422253,144.466836138,145.441911292,144.402589397,145.391214349,147.016537243,149.300359008	2	hyperbolic	0.04	132000,,
140843	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-5.04833549792,47.9845096322,72.636640533,86.9994030599,97.5689130836,104.603567606,108.37294772,113.851082661,115.8260078,120.433887373,119.958549578,124.936647183,126.169883138,126.523995363,127.052598212,128.334286875,129.880357257,130.764251165,131.166075922,131.180726068	2	hyperbolic	0.04	132000,,
140636	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	86.8533776897,137.656240792,161.195648783,174.682633477,186.371383221,192.494642222,200.278759263,202.124064053,205.954890497,208.014915371,212.630505899,212.571877013,213.229196456,216.020558683,218.015097708,218.822641197,219.50680662,220.769824655,222.507500558,222.017258269	2	hyperbolic	0.04	132000,,
142493	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	119.174933163,167.5494977,195.245595485,208.068601933,218.383664706,226.360291406,231.77139003,234.616391896,238.817506749,241.032893187,244.524877175,247.581287825,247.422299545,250.892526966,251.584370936,253.296187449,251.692120551,254.392889798,254.922748717,254.184871378	2	hyperbolic	0.04	132000,,
141507	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	20.5236395387,72.7548882465,97.8948871566,110.789371771,123.118476171,130.705931116,133.140556145,137.243698627,140.865044566,146.221172568,148.061830619,150.081676868,148.983965271,152.59021516,151.649182431,155.632608425,155.687803027,155.004677888,155.863091179,156.80064182	2	hyperbolic	0.04	132000,,
142984	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	39.805841157,92.9369925537,118.093477483,132.742950833,140.016598,150.177074744,154.808670866,158.731556069,161.833502867,165.716641296,165.697903731,167.336975648,170.90118483,173.018521801,173.976189202,172.360329925,173.373764736,175.482415773,175.695360598,176.456632932	2	hyperbolic	0.04	132000,,
