ID	X	Y	cluster	func	noise	original_trajectory,,
150479	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-7.45811536761,39.4345593548,64.5214113908,85.3743851971,92.7247830245,98.1049992812,105.723226266,107.100165378,110.879326377,118.131106474,116.295422507,116.327139589,120.881386641,119.346570194,121.162051729,122.149703183,122.890684116,126.928957819,125.256746505,128.841837143	2	hyperbolic	0.08	132000,,
148372	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-71.6323669381,-17.6627352332,4.86035039549,16.396007377,32.3431470387,37.2527335818,39.4164378891,46.1403332581,51.2363462371,52.5353599351,56.5617806928,53.6518717769,59.2429491904,60.9818011384,61.1700344502,64.6646949828,62.4502658758,66.2260972957,65.8033014228,64.1813981391	2	hyperbolic	0.08	132000,,
149432	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-94.0825169554,-44.0619516996,-22.0564506485,-4.56886924783,2.29666397517,8.90443851718,18.5356421722,18.3309022293,21.1997246569,25.4638393399,29.9292525158,32.0543381382,35.3535442158,30.1859616321,35.867740482,37.9562401724,37.0104608794,38.3960236922,35.5428353303,37.1971156907	2	hyperbolic	0.08	132000,,
150605	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-114.686883298,-69.0319063075,-38.1805209795,-28.6664930943,-15.4540300901,-5.55289531379,-5.88455210216,-1.55575313087,5.38305069406,7.85076340919,7.70364000193,9.29842549037,12.0924411883,14.0766055709,12.1319579725,13.2965137821,20.1674771726,19.3076563247,18.7274760194,16.6091527046	2	hyperbolic	0.08	132000,,
148211	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	102.046117896,153.675396971,180.184746612,193.154836356,205.486573862,213.023166999,219.87429033,220.967196606,223.94218088,228.112319572,232.653194233,229.394703375,233.467468463,236.023742436,235.336981397,239.943741492,235.354454856,238.101222439,242.361771194,240.74133063	2	hyperbolic	0.08	132000,,
148141	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-13.2314263492,35.1837230055,63.7293330537,76.8921921812,89.5868471981,92.3885239602,100.529621214,103.034404077,103.60173001,105.981634028,108.988050393,115.351157269,113.29835935,119.380785408,121.085900752,119.106585915,120.191949379,117.60160572,119.389113303,125.255941645	2	hyperbolic	0.08	132000,,
149440	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	115.319258567,166.599416374,192.648496318,210.325405306,219.902126539,222.3975188,231.916565494,238.12619181,238.64266923,241.588598537,244.777063902,246.035100123,249.953067364,245.434992266,246.389380697,251.535888498,249.899604842,252.121911211,255.029704597,256.287910457	2	hyperbolic	0.08	132000,,
148389	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	104.791044391,154.147698006,179.925879103,194.741466461,204.236948176,212.731562756,215.287463936,218.805999643,220.887625596,224.100760216,230.111834424,228.221812638,230.415359836,233.822507799,237.329390407,234.397837644,234.433046312,239.443797503,239.027349614,237.095986061	2	hyperbolic	0.08	132000,,
148294	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-114.367592976,-66.9087992261,-39.9173450986,-26.8984147091,-17.004556618,-6.58997217179,-0.7544078757,1.5590747745,5.66840341442,8.67878554167,8.17225928614,14.7886180706,12.4276066092,16.0867051377,15.9806081375,20.295853151,20.3853614008,17.4350716739,19.0802951958,22.3525197644	2	hyperbolic	0.08	132000,,
150772	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-72.4780482088,-23.4925720097,1.19479974176,17.1955185832,26.543388175,32.8809594634,38.4294305328,43.4950623614,44.1740509106,49.8956720696,49.8497736447,51.9049476921,53.1567651546,51.6050750424,57.0374885339,58.7621174693,56.0188476493,60.1276702548,56.4331383817,58.0769986781	2	hyperbolic	0.08	132000,,
151896	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-76.8660656303,-28.875606839,-4.54173964412,16.1917651836,25.5586095449,31.3850405086,39.310050294,40.8993641466,46.7066033192,43.2291016887,49.6746641434,51.5154242818,51.783905611,54.4606700366,57.753245412,58.8587183225,55.8735180634,55.2633721259,58.3824253404,60.8951344533	2	hyperbolic	0.08	132000,,
