ID	X	Y	cluster	func	noise	original_trajectory,,
151714	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-68.8306741518,-19.115257715,3.27388948797,18.9165225901,31.0766294534,40.4095775552,41.6976918844,48.1124765519,52.308563874,55.7815132915,52.2330586114,54.2417181275,59.5424362903,58.9469882296,63.7101763429,64.7648114008,62.8178922831,63.3897603448,62.3755666537,65.7825450421	2	hyperbolic	0.08	132000,,
151492	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	64.2165269052,115.35731655,135.19453389,155.338491727,163.7779508,167.947948769,172.578501329,179.825575157,179.358815328,184.895863497,184.91748613,192.116101039,193.953315763,195.062937369,194.696393502,196.777508868,195.970663154,198.330390945,195.487095093,196.064106651	2	hyperbolic	0.08	132000,,
148427	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-26.1930419768,23.2379534117,49.1755855193,65.9077526174,72.8784916069,82.8657203931,87.8625396783,88.0717975276,95.3178516411,98.448026988,98.2694808461,103.065405771,104.500657836,100.923035637,105.492174153,104.202089458,104.270038581,103.766254565,110.381080475,106.027907399	2	hyperbolic	0.08	132000,,
149994	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-97.0268966005,-44.0864960014,-25.0835415428,-6.18134038031,2.7358238054,7.51705828166,12.0932919006,18.3368048747,26.3450899418,24.5571150048,25.7758213901,29.3786887364,32.1495714726,30.0008282069,36.6312148653,35.5898540304,35.0422348542,34.1859100304,35.3228875489,41.6439036585	2	hyperbolic	0.08	132000,,
149594	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-104.246872516,-57.8702124244,-29.0510654027,-14.7466767139,-8.2434436483,4.13272258405,8.21120213669,8.92201232658,13.3018552532,18.3768595269,18.7035646871,19.2796100996,22.2348019474,24.3244123263,27.5356756486,26.3481531828,28.0789693157,25.9079051558,28.6421108229,26.7179529333	2	hyperbolic	0.08	132000,,
148298	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-102.354276106,-52.9896252032,-26.7625653342,-10.5146000555,-0.41503718403,1.96973535568,7.81381410379,17.0999999845,15.3824726332,20.9846018098,23.4418891729,25.2537570128,25.6644366322,28.7615902844,25.9175393679,26.4050209045,31.6367482622,30.3486686178,30.0896310678,30.7537883928	2	hyperbolic	0.08	132000,,
151096	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-32.2176003505,13.5046915576,39.0110936363,53.3761274749,61.8320679962,70.6135681163,76.461599228,80.1256760895,86.1582824697,88.0870912157,91.9366096346,89.6215117833,92.7207175369,91.4682739497,98.4399357952,94.0223408457,99.6445058498,102.135276041,102.00988511,99.4654004548	2	hyperbolic	0.08	132000,,
150852	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	50.8820386781,104.455503715,123.517432932,140.317701191,154.282603802,159.36608062,161.867678032,165.404072864,168.411163865,173.778230031,179.809950693,179.277810536,182.645387894,183.546445122,182.038803232,184.255987845,187.515320125,183.343135875,185.513217443,185.638798691	2	hyperbolic	0.08	132000,,
149624	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-103.493043289,-53.4074965821,-25.7238328375,-11.9310167101,-4.40938427677,5.5849744604,11.6781982508,15.2145433935,15.9802645585,16.8560376329,20.415147473,24.9026586392,23.4459665683,29.372243784,28.6460964345,30.7344823564,30.7859039868,32.723029787,31.9392110327,35.1863536582	2	hyperbolic	0.08	132000,,
149069	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-71.0543805319,-20.3922487771,3.81130715241,20.2903199931,29.2695915971,39.398161963,39.6278081696,43.1223005902,51.4938187335,53.7673023168,51.3738070943,56.2778937494,59.982490648,57.6253830155,58.3825361684,59.2087678178,65.9297458716,66.7825044544,61.4388155183,66.4098767485	2	hyperbolic	0.08	132000,,
