ID	X	Y	cluster	func	noise	original_trajectory,,
324428	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	194.41474465,195.356121235,199.919922445,199.097923821,198.069576764,198.412143604,198.690022771,198.907886656,201.421609303,200.907930818,201.882717513,200.781796477,202.127651225,199.713532375,202.969464731,202.471147589,200.323110365,203.118822262,202.309160348,205.21136903	2	tan	0.08	308000,,
324168	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	172.955120752,177.004873587,177.965332251,180.745922131,178.311189887,178.529955503,179.755082247,180.155062007,179.916107131,181.669379323,182.843186607,180.853084648,181.93110378,182.683549251,181.303654673,180.318788816,182.92741466,181.877583558,185.481918487,187.295170833	2	tan	0.08	308000,,
327439	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	203.720410358,205.141139543,206.83333713,208.137249592,207.967124682,207.056366932,208.73193218,208.977738914,210.585909462,209.195974113,210.700888823,208.896940283,208.302210293,210.738644461,212.354979435,209.353256506,210.618766467,212.977473848,211.929186396,214.533728382	2	tan	0.08	308000,,
326260	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	176.643212763,179.16239387,179.495482278,179.953392887,181.807100798,181.344072411,183.101567233,183.345447787,180.989193793,184.315431541,180.905570147,184.372794553,183.258400332,183.45801245,183.089164426,181.655981816,182.515181864,184.395081685,185.02059271,190.064564426	2	tan	0.08	308000,,
324538	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	207.118345247,208.346469157,210.63479963,211.062250995,212.515217783,212.286139424,211.835687279,212.29779346,210.485875351,212.683589941,213.102965122,212.745706992,211.214754773,213.361464538,212.804333971,215.144195187,212.06225754,215.265091351,214.902709977,219.193594107	2	tan	0.08	308000,,
326607	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	195.98114925,201.843616376,201.289791866,203.831569148,204.428303004,201.47364036,203.060929662,203.986159555,203.704607307,204.065787592,202.447219498,204.617158319,206.120034352,203.993700062,205.171208985,203.892779212,203.599897834,206.496722685,207.30558941,210.589177827	2	tan	0.08	308000,,
326018	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	201.009554222,203.498806462,205.112913611,205.832330685,203.540825335,206.99795568,204.660993404,205.336025289,205.865025592,206.562619362,204.996499203,206.489732246,207.064692093,205.118557399,207.995502542,207.866714579,207.137314675,206.432647389,210.259200951,213.829376989	2	tan	0.08	308000,,
325413	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	205.449275233,211.683741115,212.743183157,213.502883544,210.547145251,210.304216191,212.832577713,212.176112481,214.525413959,214.986630094,214.100768357,214.819120732,214.23459899,214.002210268,215.178513999,212.907673633,215.575782965,215.733792164,215.877284346,217.409177947	2	tan	0.08	308000,,
327682	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	209.765071125,212.727098765,214.757534852,213.704958362,213.763979609,215.167431943,214.218503168,214.030347702,214.636255612,214.678135114,217.112789414,214.171827453,216.036911214,214.459789504,215.310341882,217.232214181,216.205505569,216.018131829,219.9069915,220.396858678	2	tan	0.08	308000,,
327889	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	189.066441338,191.748010281,193.547997004,192.222498226,194.179497848,195.128945109,196.508668298,196.40350174,196.007569002,196.945849755,196.855612306,197.677547134,197.73382209,195.473499509,195.041473061,196.778119918,195.275253609,197.091863795,198.498063017,199.792783216	2	tan	0.08	308000,,
