ID	X	Y	cluster	func	noise	original_trajectory,,
159943	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	67.6598302788,109.089665058,136.237960494,151.556034313,161.548242532,170.634016742,172.64603105,179.109561175,183.075227593,188.030115551,186.231249562,190.894353618,191.195260786,189.131023682,195.988351506,198.583539543,197.234916396,195.670403603,195.852304104,201.926256313	2	hyperbolic	0.12	132000,,
158881	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-110.106836812,-55.4557424491,-34.3717081415,-16.9702146067,-5.06536779772,3.64871145527,9.7493977299,12.9061103028,17.0417525341,15.4092564312,15.3098365704,16.6967439064,27.4882966814,20.6473523477,29.5866840117,24.9017944853,22.5773175597,32.2767702213,31.7927045295,29.9224867983	2	hyperbolic	0.12	132000,,
157748	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	113.735766058,173.42885818,196.381390192,204.513425927,222.659547816,227.537071385,232.382195253,234.006035881,238.56431905,243.326465359,244.002020186,243.526064093,250.198425326,249.084499122,247.51313831,253.898404796,255.128708315,254.88985304,254.186843933,249.529101263	2	hyperbolic	0.12	132000,,
158419	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-36.5550789331,7.91313167007,38.7726511117,54.2254338432,57.1859289896,68.3926976172,68.7623844166,80.6686753504,76.5163883207,80.5111284245,87.0192088738,89.6042227834,93.5819348277,91.9945282884,94.5741070511,90.7914448143,96.6394902315,90.8741814038,92.7454029666,100.195186803	2	hyperbolic	0.12	132000,,
156501	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-73.0700297649,-22.9102671566,-4.56734163316,11.6506120236,29.1775118867,26.949614786,41.8335288387,43.1046545636,44.5193117301,50.263664097,50.7506001032,51.7864400583,57.2950439581,50.1455123973,53.2233878467,57.278197722,59.5163759266,62.2106109202,60.2278098739,59.5105101164	2	hyperbolic	0.12	132000,,
158444	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-7.51446814239,42.1863403613,70.1444370257,83.0813597786,92.3247628108,100.046608894,107.456314834,105.718913505,109.084643626,119.372136047,123.072613975,124.104035282,125.628067539,121.698148332,120.262445368,130.827075498,126.563611406,125.620416716,131.822824898,131.816757791	2	hyperbolic	0.12	132000,,
158698	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	24.2356187805,75.6945813908,97.9095971864,112.590437305,119.797925133,130.199505895,129.022568711,133.348109761,140.526620231,139.173002896,142.497373374,150.653095534,148.580422125,149.572144356,156.725364107,158.895746193,154.741325942,160.075136443,159.797298895,159.514353781	2	hyperbolic	0.12	132000,,
158361	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	41.1566636978,87.7506037592,119.888856644,134.834544753,144.81956406,150.569256888,148.957977765,154.763309972,164.210281138,161.886091038,169.882576105,163.375590079,165.472028598,167.630694972,174.573803985,172.768017573,170.573403697,175.210797577,173.245151825,172.955983272	2	hyperbolic	0.12	132000,,
159706	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	19.2844945985,77.0941681617,101.846422467,107.424368667,120.401654624,125.157191513,137.61902672,135.981895705,142.041472305,149.637823333,144.196743014,149.333099877,149.783094278,156.5273492,157.868285101,154.837944905,150.824961142,158.233711649,157.194541096,156.264665059	2	hyperbolic	0.12	132000,,
159612	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-77.1616404592,-34.1242418874,-2.73167637501,14.5705295934,20.0140411923,28.443322385,29.8550001797,33.6405175886,45.4517149104,43.1837427191,42.0975178634,52.1246510235,45.8215354966,54.051921304,50.0952544667,48.517595961,55.7853330003,58.0318012563,53.195561799,60.2854079446	2	hyperbolic	0.12	132000,,
157601	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-66.7010548905,-22.6525751323,3.63191371661,22.6400671923,31.0738136701,32.223334742,39.4331678173,43.8263800567,51.0958990976,57.8688933586,56.546583355,61.6316925448,56.8282347429,59.2726411524,60.8752224619,64.0308923464,63.6115204052,59.1663456912,60.0639529097,63.5496188311	2	hyperbolic	0.12	132000,,
159860	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-113.275343435,-64.2530686153,-38.5458653617,-26.701235631,-10.933410363,-8.637777868,-0.558099658107,0.64292937101,11.6800135088,10.7202068264,10.9237520134,11.1423178887,12.1212950499,20.655233445,16.4919615857,22.1457594531,25.4026030588,16.7850901467,20.0227724854,20.1270691812	2	hyperbolic	0.12	132000,,
156465	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	11.7444716287,55.3833336937,76.6892726574,92.7162743601,106.447664437,118.502462217,122.317262218,123.641046777,124.429656706,129.215119314,135.060264932,133.136549757,138.686699857,138.063747695,139.30153796,140.230032996,142.483120743,143.6793958,146.701421117,140.239892236	2	hyperbolic	0.12	132000,,
156387	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	91.0979492612,138.070366629,159.904052783,174.434969598,183.718506057,192.379140806,201.077665336,200.841608916,212.90967024,215.465947182,210.275996805,217.887744873,214.997853041,220.84550573,215.986074407,215.820759745,219.298203448,225.729737001,221.715963056,222.557532934	2	hyperbolic	0.12	132000,,
156569	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-72.5138689702,-25.9444285361,-2.15142478305,12.2348611359,27.3516707925,33.5979186787,38.3772996089,38.9599767261,44.2731222183,46.1894391268,46.8459256197,53.1867496367,51.9810202523,52.9240924534,56.6516608896,53.2688154328,56.3929522181,59.9126840029,55.8791808208,56.4883740468	2	hyperbolic	0.12	132000,,
158866	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	75.7122397534,124.549904864,145.768889154,160.688279282,173.718864267,182.145746554,187.128174652,186.284081029,194.929387336,199.205947403,193.766666621,196.935989521,203.749738942,204.816284654,202.026340456,201.756107967,211.171195827,208.666291429,211.848233182,213.340693126	2	hyperbolic	0.12	132000,,
156093	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-90.0454021304,-42.0886954154,-15.920070527,4.56756556564,14.1422992718,13.6640080377,17.4458411531,28.693508586,31.4152645561,32.0997555346,38.6013000107,37.1307670944,41.6245546473,42.1754564926,36.6415811754,40.1704904425,43.3954076183,45.5420472319,46.1369327931,41.2444251685	2	hyperbolic	0.12	132000,,
156558	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	88.2836181728,143.161086652,166.958296903,183.036233049,193.549703208,199.694579818,205.168392899,211.540760132,214.691183473,217.705810412,214.374543546,214.338445434,217.619396016,222.852335193,220.343874245,219.657300488,223.320349213,229.800483143,231.357680286,229.180534797	2	hyperbolic	0.12	132000,,
159082	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	88.2587824096,134.293289458,162.808058924,180.994290149,182.833512719,198.681929311,200.944397631,199.863144409,205.96610475,206.013102454,213.205452563,218.090837686,219.191859187,212.597218424,218.629313619,216.275591327,223.674128874,221.66612167,226.343271927,220.229925513	2	hyperbolic	0.12	132000,,
158789	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	122.65182374,174.175740991,195.181932756,212.373313431,220.943683071,222.347495484,227.196374938,231.461595121,236.536785158,242.098208444,248.144787014,243.789329543,250.714833815,254.355862858,252.703064448,255.057774584,249.466264891,254.903724672,251.587643879,253.711379587	2	hyperbolic	0.12	132000,,
