ID	X	Y	cluster	func	noise	original_trajectory,,
156220	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-118.917117136,-69.6011140575,-46.9889700549,-23.902725792,-18.4250590176,-14.8299683955,-6.8354842119,-5.68359095055,-2.13690383462,7.85100184244,8.23079505032,12.223158017,15.7671286996,12.1577644597,13.4985515113,17.9417825484,18.3722293802,14.746309916,19.6679422134,17.3542638275	0	hyperbolic	0.12	132000,,
156711	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-57.5377290879,-10.5251538915,18.9027605487,31.3296270436,36.6248451205,42.9318600089,52.3399513238,59.6820638202,63.4373593281,56.6333578884,60.1819169746,65.0266796731,62.4870299233,72.7182696453,65.8568081912,67.5540264093,74.0196037884,77.442032178,77.5704974677,73.5247951785	0	hyperbolic	0.12	132000,,
158018	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	48.6330159555,97.6234329563,129.843889038,146.498193735,150.623759908,163.528457279,167.857658455,169.388748543,168.17356315,170.460320483,177.724088172,183.736285761,182.26137411,185.684485097,185.019909329,188.349980776,184.325955072,191.405439342,191.121287122,183.518717167	0	hyperbolic	0.12	132000,,
156181	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-137.130207353,-80.4333645505,-58.323535903,-44.7174064113,-29.7541296753,-23.0319196047,-18.3569506294,-15.0297040796,-9.51913617698,-9.60212352367,-5.08771072397,-3.38561102228,-6.92179129734,1.22806230281,0.241481856642,-2.66475367614,-2.54847823866,2.0556062471,-1.89544343051,-1.66778780886	0	hyperbolic	0.12	132000,,
156640	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	61.1647560309,107.358741155,138.331580039,152.888636308,163.971717714,164.308741152,172.281942986,183.098351734,185.121665734,180.741533931,191.165014673,186.339635824,188.761912532,191.124088634,192.70624858,198.755689517,199.590901396,198.269500574,199.888545869,193.0338558	0	hyperbolic	0.12	132000,,
158848	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	3.16248230186,57.2225813034,83.6078234649,96.4967898686,105.951132232,118.531990764,121.410584644,122.43295922,123.600291972,126.139166819,129.88837847,129.696799441,136.309588897,134.110502843,139.575887289,141.361835357,141.971655675,142.052522248,146.051796817,143.039156679	0	hyperbolic	0.12	132000,,
158008	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-118.15294905,-71.2700413952,-47.9473665187,-30.0117856757,-17.5288119331,-9.98680990795,-2.67992632637,-7.18867565245,-4.0540239347,4.11299612326,7.00980547633,10.4677618308,4.3994534136,13.8885127556,8.04667048145,11.8731359585,17.1105313964,13.2007230432,18.7285852633,17.7831980502	0	hyperbolic	0.12	132000,,
156203	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	5.32560009585,53.614506754,80.3055159496,91.7887324448,102.517945455,108.684987546,111.193721214,124.893713233,128.53965958,122.150091324,132.242714929,132.291402315,136.366216668,132.129260489,129.985204779,138.673259091,136.310554319,136.695847273,138.253704175,140.665180938	0	hyperbolic	0.12	132000,,
158199	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	7.50477923779,58.3380381383,85.278931469,99.9997760382,107.94355326,112.3074424,119.15152755,117.974167329,120.614470769,132.907844857,131.881427881,132.981821496,132.649398733,134.173118428,139.826089362,133.799094555,141.219801408,140.205092045,135.944127194,144.14096709	0	hyperbolic	0.12	132000,,
157840	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	15.1281835073,68.6602316162,94.0514585639,100.937647645,110.827182064,120.740322099,127.281425504,126.642140069,132.981758881,139.118322046,136.869630742,146.335312179,139.098207458,145.786515356,145.83035777,141.505104402,150.76415091,143.710392626,146.95441589,147.140495064	0	hyperbolic	0.12	132000,,
