ID	X	Y	cluster	func	noise	original_trajectory,,
335596	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	182.604591243,187.743319049,188.26145988,189.468469413,187.610883506,187.120706496,186.431847473,191.915447277,188.549090259,190.716333733,188.188940898,190.183842336,189.619723167,192.368675871,188.878375841,191.737502002,190.975546915,194.050141455,195.061502127,195.263856067	0	tan	0.12	308000,,
334668	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	209.424872207,208.54399365,210.240766737,213.741309563,210.80926759,216.678574352,216.56819493,213.607024627,211.946736445,213.567989874,216.602481238,217.616153703,212.567929747,217.808660117,217.868750142,215.64010213,215.914551307,215.40839527,216.60962032,219.792804314	0	tan	0.12	308000,,
332579	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	179.34221536,182.867583352,181.468016612,180.938736589,184.934055426,182.330287627,182.022420513,186.701504529,184.125223161,187.490579818,185.956831541,187.858778127,185.021251282,187.712228666,184.494480043,184.194107153,187.834476088,186.976570126,188.129851901,192.247585063	0	tan	0.12	308000,,
332343	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	196.02198794,200.853515084,199.324018576,200.421170712,202.724919191,200.932872259,202.826870919,205.099533417,202.352804954,203.42733765,200.741728125,204.62343506,203.598651588,206.753739814,203.073879926,205.345840069,201.988960223,205.422630172,206.817228668,208.110146708	0	tan	0.12	308000,,
335934	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	207.883883325,211.731792653,214.757493902,212.070451825,211.137178333,212.099601388,215.000599224,213.494583021,215.190679048,211.421537537,213.909474193,213.519171309,212.675562264,216.305943382,213.685249878,216.536036233,217.69951723,219.305501944,216.352241779,223.600305588	0	tan	0.12	308000,,
334371	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	187.766888977,187.360581785,187.775814366,193.489773957,190.717077982,191.967178895,193.621527495,193.073799952,194.121239196,194.900332105,190.532209788,193.965897925,189.944207741,193.658365726,195.060092315,190.688057456,191.352413101,194.081116607,194.085779054,197.329585767	0	tan	0.12	308000,,
332785	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	192.397251847,196.370709914,195.453684605,195.626046763,199.73059877,197.751725758,196.626658269,199.386439518,195.172483008,195.615547279,199.782612335,198.035491894,199.796407337,200.236674499,197.46591299,201.481007873,201.95965667,198.334687812,199.910350656,205.003016101	0	tan	0.12	308000,,
334812	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	187.502249991,193.497025316,192.647918987,190.658299622,192.664831464,194.254872903,195.860022855,193.114863744,194.501117542,192.745411235,195.823882948,196.104913875,192.195449198,192.758395893,192.14091154,194.164368299,194.122437507,194.952916376,197.995623041,199.052506174	0	tan	0.12	308000,,
332836	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	206.418974766,206.629096322,210.362341443,207.353922215,207.002838018,209.245648203,211.644441181,208.35780026,208.126038729,210.837651746,211.083309734,213.446247294,213.863363552,213.190416945,212.208296622,214.47204326,214.977633132,213.278752953,211.033998723,214.277070209	0	tan	0.12	308000,,
334795	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	191.172543046,197.546126247,196.264748446,200.988813215,200.150786199,198.293461809,200.446750151,201.69905716,197.262912681,197.249329469,198.154184618,199.434083022,202.123959564,201.904915394,203.042505997,198.190522613,204.025567499,203.627313922,205.244358392,208.49778745	0	tan	0.12	308000,,
