ID	X	Y	cluster	func	noise	original_trajectory,,
333308	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	199.178685662,203.846798191,201.856554421,200.691704437,205.474524285,206.45603213,202.310413887,205.831153059,201.994383194,203.234821925,202.263832663,203.214836691,202.564633637,202.732338338,205.205269042,206.824609971,204.465570665,207.537431855,210.048215886,208.995566724	2	tan	0.12	308000,,
334402	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	215.291795384,216.846174048,215.178777017,217.384382979,215.105390976,220.747670311,218.814219093,216.095495419,220.966661671,221.266397822,218.297627415,220.188262629,219.884829104,221.238167298,218.577089823,219.560225059,218.669492127,221.796574637,222.095056264,222.515823322	2	tan	0.12	308000,,
335514	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	185.796778288,192.69847388,194.640022787,195.054622318,192.959120431,192.2420801,195.29784356,191.677727842,194.399361427,196.773985946,196.500108601,194.830516358,197.706876809,192.212273776,195.810688954,197.938243128,195.397047143,197.129653114,197.2313644,198.922901206	2	tan	0.12	308000,,
333795	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	190.269166164,189.316493932,190.925634226,194.777329906,195.939527063,195.723852477,193.412498312,192.050161932,191.278243914,192.278503349,193.193955599,195.513246989,191.751844113,191.95431083,193.658424764,197.51769933,198.486845451,197.420072868,200.327297317,201.976045863	2	tan	0.12	308000,,
332641	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	179.424902026,181.015068663,182.954965462,185.39053746,186.941107358,187.199782079,183.774075734,189.366248775,188.846407322,187.443971845,185.408347345,186.493410072,187.860002853,185.361739224,185.557501672,187.4519836,187.006043354,189.705364129,190.756665184,193.593612075	2	tan	0.12	308000,,
332679	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	192.811943214,197.052756467,196.138022531,197.938248857,195.241144379,199.451482586,194.711822709,198.402661737,195.798554897,196.571504728,199.839724055,200.524387422,198.264175351,200.738483174,196.125769941,198.277015938,196.370464872,197.285777686,198.477023811,205.016645378	2	tan	0.12	308000,,
335125	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	209.039669306,208.412506536,209.594823469,209.466355376,211.87850793,212.856018706,211.354780821,211.816857752,211.210709833,215.697138378,213.508686079,216.105345678,214.881408668,213.595860111,213.520996849,215.281833569,215.840995494,216.262812848,217.760753091,220.664073772	2	tan	0.12	308000,,
332906	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	182.118577852,181.74297374,183.299955291,186.67850622,185.686213229,181.715434368,185.006460027,185.764695171,187.906053174,184.072919412,187.093359867,184.128886479,187.263253391,188.579785811,185.26834697,187.543390687,184.335688832,185.120061662,191.455055069,191.151661803	2	tan	0.12	308000,,
333069	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	211.304508748,214.922895344,213.913765574,217.560711867,214.392202495,216.898612383,217.913899954,216.399142411,217.599518171,218.389267787,220.62904341,220.785423259,219.193307639,220.979584698,218.718006436,217.350344123,219.43163011,217.964534921,219.422131824,222.115715532	2	tan	0.12	308000,,
332857	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	185.457260875,186.655262237,185.098671523,186.021615151,188.835447327,190.786112511,187.963985941,189.043786564,191.575410886,190.046801589,187.779726008,186.798077902,186.309964989,188.522770712,190.21772124,188.7586773,187.780679681,188.82392148,191.654168342,192.523872227	2	tan	0.12	308000,,
