ID	X	Y	cluster	func	noise	original_trajectory,,
341600	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	201.395378483,210.535139093,205.537823077,208.714016235,204.850390768,210.300057027,209.210996159,212.634965765,207.039437301,205.792331514,206.907534352,210.222531411,208.889757221,210.067421285,207.580550649,210.971513748,215.065608724,215.108911945,214.209570748,216.366598987	2	tan	0.16	308000,,
342895	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	188.713521438,189.563856255,191.358526458,188.838570128,189.294982603,194.036613587,191.655849327,193.41816104,190.419543199,192.133755815,189.182625876,190.684405429,193.053984318,195.038009829,196.618201093,189.745867431,197.383308859,196.105384661,196.348540897,197.023911159	2	tan	0.16	308000,,
343944	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	192.101367147,194.109666812,198.486375551,196.903815824,196.71044757,199.233334774,199.183088321,196.888523813,198.631507559,194.284217058,199.78001219,200.843790541,198.447557251,194.783992427,197.079217265,200.406125482,201.077357206,196.816159228,203.26821832,203.808464773	2	tan	0.16	308000,,
341755	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	174.5824174,179.398990828,184.479510346,180.061832944,181.245925821,180.050546208,180.583240812,185.352959654,186.685531083,187.300292088,186.686398035,181.826244778,185.519833286,185.292195469,182.576157811,185.425983451,188.886497954,184.974306841,183.748827021,187.93716919	2	tan	0.16	308000,,
343053	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	193.580895127,199.385550358,198.620562743,204.651208158,204.662063627,198.469520349,203.598633399,197.790090544,202.204071669,203.471302624,205.465125908,200.879226727,201.858596996,200.040547833,203.546434423,201.92635951,200.152317134,205.208634886,207.143810997,205.276628789	0	tan	0.16	308000,,
342387	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	207.579235439,208.962459937,207.836363428,207.670906844,209.210217141,208.638284001,213.949774048,213.851269996,211.259975157,208.252998285,211.135081771,212.187501427,212.322924859,207.445402923,209.303850489,210.613140518,213.943578667,216.211867968,217.264893255,215.348883463	2	tan	0.16	308000,,
343283	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	208.349997883,210.700812988,212.158852076,214.047938413,212.80472025,213.093217947,216.816524323,215.004446421,213.23387201,210.623420938,211.212364114,218.245857597,213.960399949,217.234879163,218.08918185,218.384557967,216.403703732,217.308731878,216.940288099,217.729918549	2	tan	0.16	308000,,
341768	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	180.980374491,180.205056729,182.148710041,181.777474386,185.883456593,182.813048279,188.993193174,183.792945109,187.934863521,190.368704686,184.926172866,186.775137526,188.930726953,186.429577034,189.514227578,183.895747388,188.29562423,192.369938738,189.579897837,190.954440899	2	tan	0.16	308000,,
341436	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	190.41718665,192.177124914,193.133140583,194.844999674,200.397433155,197.310007612,198.81011784,201.952503129,200.402981804,200.987441522,197.58937085,200.138872476,202.860695636,197.909826703,200.926807733,199.307175634,204.119332148,201.149133983,198.09142508,203.735929596	2	tan	0.16	308000,,
343015	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	204.242221889,206.183379053,210.044121427,209.829881035,209.787230266,214.163349094,209.970350888,208.477578974,208.826453125,214.43121999,212.493049838,208.318765102,208.455749935,208.329373605,213.058045932,208.7556765,209.031302636,215.28105954,211.0211747,218.288696913	2	tan	0.16	308000,,
340825	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	193.733345293,198.176567778,198.190287775,201.714510739,203.127163502,197.6811191,203.990530706,198.293512547,197.464094588,199.473620017,201.496014082,204.467918408,205.686525644,201.711407484,203.402894169,199.809170237,202.665906416,206.005059323,202.818132131,209.90556185	2	tan	0.16	308000,,
342564	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	186.372891747,184.424618345,187.508792933,187.781322558,186.62265151,185.498142983,192.178478227,186.575955972,186.469607124,190.804642795,189.590709814,186.73862315,188.328714187,189.134751612,193.313626061,189.081574088,188.887901824,192.887312929,188.521273633,194.973357104	2	tan	0.16	308000,,
342918	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	196.479718826,197.907499044,200.163881241,201.888356261,197.489648379,196.675320173,203.06934349,204.442969371,199.025017255,198.294927939,199.139932574,200.71666865,203.032173988,197.967592569,197.713836001,199.450938667,198.314964371,198.983168053,203.186067038,206.160195951	2	tan	0.16	308000,,
