ID	X	Y	cluster	func	noise	original_trajectory,,
350570	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	187.859947419,187.104512005,187.172937505,196.895756573,191.60899971,189.086612959,188.843839676,192.754845108,190.080410008,192.202054355,193.029844777,195.613266137,189.596076918,198.713300495,195.047868519,193.021234971,191.113236609,199.720586802,193.194094303,200.808684642	1	tan	0.2	308000,,
351592	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	185.71208012,193.629226534,188.606570134,189.337211216,190.015674305,189.593245352,197.543516087,196.686651274,191.79748993,189.81446307,194.121870279,193.386568921,192.198144123,198.844677524,190.61197732,199.91394167,199.008606433,192.63628071,195.911094387,205.373374046	1	tan	0.2	308000,,
349151	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	199.186724202,193.980871247,203.410331724,198.238940345,200.150446263,203.71634992,201.462557198,204.775679212,201.564728761,199.085015267,200.208283089,199.028140247,203.188315404,200.293410542,198.605070165,203.848773081,199.854078699,206.029240829,201.557154471,204.24910028	1	tan	0.2	308000,,
351607	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	189.025143765,200.175571173,193.372884188,196.059078567,194.49665394,193.802508434,203.346225245,198.102599277,201.769337963,194.126511067,194.607614647,197.080331817,202.096877751,201.358928826,204.167086487,201.297624015,205.389586999,201.014931582,199.218831669,209.728606931	1	tan	0.2	308000,,
350562	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	184.614908661,195.929209814,192.026729982,190.635527625,192.283561996,191.814844475,199.6368032,191.700848264,195.286865072,191.980363153,197.622714505,193.998309941,194.1963178,198.188542368,197.98471658,200.028066849,201.004978174,194.319042023,199.342361496,199.529981216	1	tan	0.2	308000,,
349808	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	211.805472214,215.211282336,217.005289242,219.217743106,217.802558598,217.36410135,216.132698793,212.027857268,217.193712997,219.115437174,215.071271471,218.724704343,216.529035991,214.558061924,218.3960675,220.499863383,213.641605117,219.568460114,217.686632337,218.215527143	1	tan	0.2	308000,,
350036	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	195.173147093,199.315766816,199.386381234,200.386667738,199.878570841,198.583648924,207.323942721,199.451343563,202.220340766,207.475679908,203.825138853,199.497444141,206.47817782,200.392940702,200.577065987,208.120645895,201.359668824,205.211514177,204.249046667,208.0982639	1	tan	0.2	308000,,
350010	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	174.609388635,173.849695641,179.821341079,179.699248368,175.585859147,176.094287309,179.891673612,176.211294111,177.577631364,180.836573164,176.778896128,178.000844985,175.739747439,177.724364559,178.600243261,179.411407332,182.90163539,183.356338801,184.275022246,185.889955625	1	tan	0.2	308000,,
351154	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	178.805535036,177.975273172,178.731370948,184.564587717,186.551592479,177.936830106,186.903398736,186.155847805,180.276933922,184.439871497,180.561039637,183.354572806,182.639520728,181.748524449,185.214161483,187.116178769,181.698302296,187.827900643,182.495747423,193.756162609	1	tan	0.2	308000,,
349177	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	198.455564124,211.211519113,209.458536686,208.766290641,208.855993084,204.518574196,204.5726059,208.198662662,204.897451346,208.619112755,206.350752205,213.011747664,208.48704281,213.518744198,209.205870804,209.557176525,214.103542102,208.962968202,210.407454493,213.503279004	1	tan	0.2	308000,,
