ID	X	Y	cluster	func	noise	original_trajectory,,
175822	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-37.8418167526,12.0351969801,29.0477882293,45.8689850715,64.5205809407,73.1634355151,73.6834411056,82.6496063787,77.4037276592,81.8023118212,91.3195588743,79.3735549918,82.0041453756,92.7275895948,98.2495641623,85.0190811428,98.3347449906,87.625681134,87.0442301319,99.5380727362	1	hyperbolic	0.2	132000,,
175478	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-81.2810231256,-24.4876104029,-3.24316815808,2.36525645262,23.468515264,18.8839627948,26.6095325031,26.7865956034,30.6477376034,45.8456742177,41.9457996226,51.8332927892,40.5359152416,43.6493601331,49.7767049473,51.6686196596,46.5482077504,55.7631228412,52.2183896981,61.1986714797	1	hyperbolic	0.2	132000,,
174149	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	105.89153591,152.099850673,186.099460468,191.858222994,214.975576069,213.188877772,210.970857464,228.746257585,221.079169379,231.507622414,231.151113004,234.434480318,240.853155692,241.582148177,244.648177404,241.63530926,233.424800543,241.567982274,242.547220046,246.127004911	1	hyperbolic	0.2	132000,,
174416	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	106.674929583,154.920419928,186.638170642,194.593588722,206.033540321,221.220378997,221.615201053,230.003230974,230.934263925,226.296220505,232.228652344,239.727705764,236.943165904,237.510839397,238.877616612,235.97317646,244.586390944,240.784298217,250.04608482,244.797636342	1	hyperbolic	0.2	132000,,
172822	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-107.355309115,-43.3836307525,-30.2120476745,-13.3236966204,5.11191927356,2.78750505993,6.96442775975,20.6951335591,25.160448256,25.200720281,29.6115899646,18.1797357553,27.287974653,20.6828289254,21.4421545364,29.9783608401,23.3631689405,41.0044042845,29.7647319992,30.1369815235	1	hyperbolic	0.2	132000,,
173403	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	77.9121977108,136.404955501,152.082108589,170.860336403,175.805829432,190.603548662,185.654675166,204.207678524,209.989855469,205.38210639,210.903190996,213.355311521,204.113334032,204.921691458,210.29246138,221.486048224,210.859594564,216.175383789,222.959118529,220.553998092	1	hyperbolic	0.2	132000,,
173670	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-122.142770008,-85.5192500644,-59.433361181,-46.0947071763,-29.802828316,-24.2422960968,-20.957683293,-16.0816067495,-13.7148035133,2.29084963203,-8.0681602016,5.57876818553,5.49645598927,-3.11007474233,9.06384422246,5.84392880053,1.86274148698,-2.8875876035,5.93563836626,5.78446254671	1	hyperbolic	0.2	132000,,
175030	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	7.85705584219,52.035565139,82.4847960055,102.841140737,106.075815064,107.503917858,123.452457326,119.507623325,123.931246262,119.857084816,127.059772278,135.120250005,127.686346821,140.331961157,128.391182109,139.871401125,132.848864817,139.498470799,132.497562704,146.002131772	1	hyperbolic	0.2	132000,,
173183	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	13.6735779213,65.4989174526,81.5220422658,107.426627749,118.42883953,122.899518844,127.907272715,130.078476034,129.109996467,133.541041517,145.566730887,134.248190169,138.850377314,145.958799042,151.619671377,148.490588761,143.66076567,146.228026536,154.759640463,144.857381641	1	hyperbolic	0.2	132000,,
172131	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-74.4856685925,-38.5755280531,-6.99310102052,0.991544194448,11.6769732159,24.8370064068,33.0717876065,35.2231119027,45.2314388192,48.8202138919,42.4766546092,44.854684519,49.2887188607,50.2898111451,47.4554349229,52.3252300344,45.8617985813,59.5179688727,57.151354492,51.8698258728	1	hyperbolic	0.2	132000,,
