ID	X	Y	cluster	func	noise	original_trajectory,,
350901	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	174.244588548,179.556939464,182.707241434,180.940053939,186.23378022,187.994489379,180.121634166,180.332635014,188.210648761,181.011649945,181.443331588,187.802657768,183.231278703,184.988072388,186.049923601,180.426723554,183.116883603,187.813242495,192.321817083,190.268070108	1	tan	0.2	308000,,
349228	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	201.608605559,212.730970408,205.470980648,206.307853657,206.726507321,207.684552528,211.626402237,211.810785251,213.698985125,208.354648771,208.327102231,209.551660374,211.906191429,210.337582873,214.250829533,211.06160335,212.339845745,211.505507552,210.138340918,215.279337181	1	tan	0.2	308000,,
348040	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	188.114625779,193.204102456,195.436608084,199.51242626,201.279091992,194.389135754,197.262143307,195.956297959,194.153187016,195.561160855,201.696834778,199.498411105,195.642945373,195.373005378,196.405567216,197.410218005,200.408192612,201.223355933,204.525094956,204.213607806	1	tan	0.2	308000,,
348329	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	208.750449421,206.662762167,212.892846909,208.878834355,211.851463639,212.822662762,210.753530749,206.199860885,209.162367947,210.167723011,207.36364412,215.411766894,213.200023732,210.250598093,216.155330008,214.290777483,215.630134774,217.589821388,213.928394528,217.064414461	1	tan	0.2	308000,,
348853	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	169.191311905,181.306500569,175.901524127,180.244790293,175.174622618,184.189187914,180.175852027,178.825494447,175.950198912,179.038061087,184.324095418,176.537799636,179.902949928,185.694556027,176.709371537,177.801118689,180.069073543,184.192464752,184.510462995,186.95907197	1	tan	0.2	308000,,
351006	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	198.01165121,197.81265242,206.345518409,202.789114695,199.728213084,207.284774778,201.339111095,204.022284736,204.408532422,210.348987398,209.843075351,210.923443773,204.57705366,202.830121648,208.022265695,207.698913963,210.143136414,212.702297982,206.828820694,213.519789029	1	tan	0.2	308000,,
348406	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	197.406535325,204.597248643,203.548450268,205.51130022,205.157531555,201.98271781,210.773661163,204.083185399,205.20172457,208.464285187,203.272439011,202.528078421,206.18198731,211.38485754,206.760140892,203.062832412,207.461319387,204.294178059,213.351455446,211.611038909	1	tan	0.2	308000,,
351952	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	213.030680539,215.392078426,209.954968789,210.124133405,215.71920898,219.407452738,211.73722733,210.002036053,218.283242452,213.02739287,214.062040049,218.626186423,217.178110962,214.875342031,219.770217558,215.589326935,211.678842796,213.250174447,219.440023187,224.345736164	1	tan	0.2	308000,,
351880	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	199.544670737,201.505895181,201.807409453,200.523402861,203.59165125,202.88079886,205.378454815,202.941177682,203.590677087,207.458127001,202.248839803,208.3172419,203.259808044,207.759616446,201.130082071,207.579062984,208.483698094,204.529029422,202.531729224,207.328220069	1	tan	0.2	308000,,
350828	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	198.369000608,207.35396328,204.089203029,210.689265945,212.313774564,206.052091622,205.285106294,205.703834019,205.863073172,209.894391815,207.280774672,206.106907261,205.884269712,212.024440688,209.290875619,208.027945114,214.294368357,213.26776979,215.246070094,219.179298212	1	tan	0.2	308000,,
351861	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	205.298680323,209.73829048,202.91254197,206.456635199,207.129875619,212.072807115,208.349438069,210.938017042,209.748211485,211.243139682,210.633870489,212.705217794,208.105104267,214.178212988,212.512297493,210.890690527,213.601663174,215.186756349,212.125226783,219.151766403	1	tan	0.2	308000,,
