ID	X	Y	cluster	func	noise	original_trajectory,,
175579	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-124.889721673,-80.2789588579,-57.7586690164,-39.7895399342,-30.1403304452,-16.3826867994,-20.1653067672,-14.8971725675,-5.35832326864,3.17287437438,2.08025984004,0.998197120822,-5.53162760056,2.16382260635,-1.33309047132,3.58956924761,3.41672545205,11.4876324417,3.84523813396,16.6069800676	2	hyperbolic	0.2	132000,,
173648	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	64.0075872001,104.200014551,140.382626784,146.787999756,163.985521157,171.31350359,175.846658068,167.275370216,185.377964198,185.302005258,175.36961213,178.989828064,179.847242064,191.446112503,190.877976432,189.849824083,181.598667365,185.629477876,199.854912529,192.370412656	2	hyperbolic	0.2	132000,,
174658	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-113.402526483,-51.1147477747,-32.6670820134,-15.1633958214,-8.14573887819,6.63151941835,-1.97800726893,7.05452446307,15.9051574014,11.6160539951,19.4738480082,14.5991735268,24.870644304,19.308801802,28.0169778181,23.0528124313,23.8103420328,22.5934279519,23.5768100696,27.9863898425	2	hyperbolic	0.2	132000,,
174587	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	15.0218305993,80.0189779121,107.31232224,106.015472769,116.363013604,134.247146919,129.432674106,146.93407031,136.174148981,144.770437893,156.144204409,151.78632301,158.606916483,157.586862558,158.705967727,149.107020009,165.517826227,163.095368711,154.019394455,166.630846636	2	hyperbolic	0.2	132000,,
175516	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	135.568897844,174.885627406,197.963632456,217.249068712,227.576717016,239.639215236,238.46766897,241.3573418,242.985955458,259.278646413,261.521561284,251.865541791,254.17656529,252.711338205,268.985152397,262.985148679,271.251260286,260.583052813,256.166415123,258.061085436	2	hyperbolic	0.2	132000,,
174024	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-84.2550480175,-43.6904497882,-10.2076793517,7.57523819368,14.5005349893,24.3138615734,28.8419795469,36.7975053654,41.8157862256,36.3250552173,38.7904239152,45.0076034305,44.7110077208,40.8594368562,38.8876831889,39.5498368955,44.5509490455,50.569173109,43.6335618419,55.2918999745	2	hyperbolic	0.2	132000,,
174849	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	72.6232465392,111.828696746,133.953485854,150.383563471,168.384202383,168.417170479,184.474735783,177.999898559,188.092603982,179.583440866,196.647020458,198.50271207,190.094012919,196.294877371,203.865517152,193.895113073,195.926333824,194.459922874,207.394840103,194.090643353	2	hyperbolic	0.2	132000,,
175335	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-53.4412359169,-16.7352633666,12.5758775692,26.2779162029,39.4169229578,54.7510710846,50.2535620916,62.3599520155,58.9330346803,67.0961070346,71.606274743,70.8005441221,74.7304870206,71.9957421014,74.9791768403,62.8876076551,68.8036499897,65.4778347893,74.5600133209,70.6526742318	2	hyperbolic	0.2	132000,,
173150	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	1.81364780723,56.8701387791,74.8072746681,98.9231666063,103.146297649,111.872608147,121.222345448,120.319040107,116.243616413,116.033021064,121.278894984,134.610073098,132.272422002,126.567756836,133.128434009,128.714448391,135.830081366,140.288479034,134.932076619,134.892550737	2	hyperbolic	0.2	132000,,
175072	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	106.159721541,158.046598386,190.818585564,193.776962691,213.525673704,215.903604131,228.856598587,222.078920493,224.848649794,239.860326117,230.906487859,234.108837668,231.440568478,243.806316502,249.290042346,247.015914479,244.887175274,247.735427884,244.890270656,255.508483632	2	hyperbolic	0.2	132000,,
173190	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-107.279571594,-48.9119014653,-29.3544533848,-9.60685713523,5.10888001176,7.33277497414,9.60683121934,19.5491879703,16.9305642239,26.832566257,15.7374314565,27.0007514071,32.4963877186,22.6065775522,33.130014446,30.2943973132,35.5638412554,24.9115293405,39.0905496065,26.5532486769	2	hyperbolic	0.2	132000,,
174528	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-113.397567802,-74.2856552072,-36.8210508963,-36.0778450352,-24.3719304634,-18.5237684453,-6.71278562814,1.16775678109,2.81248362131,3.13659158144,12.3729961079,-0.113293467735,5.50136502048,6.82602473559,8.08239455795,7.83471170426,10.2564921121,13.1915608776,16.2265141891,23.3004128359	2	hyperbolic	0.2	132000,,
173499	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	33.2922100111,73.6062120183,110.798687393,127.254879505,124.012266264,141.978084537,145.170522677,143.480107981,157.515673629,160.426339115,152.200038289,148.487400514,155.259628721,151.153618059,160.672984935,160.973400808,168.650022085,169.177777076,156.810985767,156.070275005	2	hyperbolic	0.2	132000,,
173888	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	107.75620997,169.27464361,193.408960501,197.332249738,206.019926428,223.754090423,217.40012265,230.848501905,232.632698314,235.535564778,241.731504402,241.602109293,236.362591701,245.874268663,241.778779806,239.498383436,238.251377314,242.094165285,241.046528392,250.696406377	2	hyperbolic	0.2	132000,,
173627	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-88.4701859432,-51.294923562,-20.0373332019,-2.64385214196,6.3066732685,16.6687103112,23.5245716382,19.708662671,26.9531132924,27.7718754034,30.6952775058,39.7193453739,33.8587494412,33.7866683027,45.0391924042,45.3448260703,40.8715396986,46.4143427161,42.5866422353,46.8518790354	2	hyperbolic	0.2	132000,,
173168	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-31.757808319,25.2774979873,54.0091899991,64.0821665461,81.4473938365,83.8254981944,85.6560310252,91.3402315348,91.9074940074,104.006150309,92.3527174169,92.9760328371,105.437381583,96.5805319796,102.287992548,110.028384395,112.24437446,103.877865006,115.272027456,110.506745042	2	hyperbolic	0.2	132000,,
174007	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-95.8381699585,-55.4750169471,-20.9700144215,-6.63260685601,5.42872978688,6.82432336332,6.48493270984,24.4558775525,12.8166846621,20.6530130618,21.5752435582,32.4042082357,34.9846204173,39.1227425964,26.5191850068,39.4885527155,33.0591440945,39.1847211418,40.6787283485,28.7542091133	2	hyperbolic	0.2	132000,,
