ID	X	Y	cluster	func	noise	original_trajectory,,
349538	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	209.578538457,205.912930835,214.280748762,206.734279611,207.279537842,213.313375692,212.768152221,215.623223406,209.745512005,209.743041604,208.135579676,210.548061953,207.689560756,211.149367795,208.310981186,213.082432682,213.576344479,209.544046419,218.905477384,221.934437426	2	tan	0.2	308000,,
350256	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	171.549459043,182.150776025,180.70034872,179.393390427,176.574540265,179.690790399,182.114687298,183.898738309,184.639467276,185.678391691,185.810895747,183.314667066,180.606088285,183.22622647,185.227793018,177.468326437,181.123155837,181.903573401,184.716185455,183.852973582	2	tan	0.2	308000,,
350873	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	209.809235517,213.222472179,213.604379447,213.061557882,211.932551026,211.354528577,209.726455859,214.333750341,211.791975562,216.572772239,219.176678491,217.115077704,209.944057964,213.675019938,216.123210575,220.231225434,219.338997325,211.586979842,221.960855291,219.867195855	2	tan	0.2	308000,,
351711	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	192.446072751,204.057077681,201.958888957,197.536945916,205.808689693,201.753268745,201.979196091,206.717924869,199.326856955,200.38160965,200.491995113,204.723506731,199.390361911,207.96613174,208.282981243,203.553382883,202.711309653,204.73286391,204.402085401,212.166455094	2	tan	0.2	308000,,
351991	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	206.975063949,208.173257839,215.600744015,213.026204274,210.027824786,212.042746074,220.055750741,219.332870119,216.69549616,215.473978749,211.303308575,215.667703064,214.841993931,211.554186905,216.840162678,221.189093452,212.196103793,214.418061041,217.094072003,226.660353183	2	tan	0.2	308000,,
348614	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	185.325632778,185.427262385,188.065650285,189.905046137,189.346458581,191.039314817,190.887595533,189.756868361,188.556819096,192.216041311,182.559321957,185.164070103,188.207190681,189.172876281,184.227545011,187.427604034,186.120632555,186.700598295,186.729918553,196.51078859	2	tan	0.2	308000,,
349946	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	216.469861193,213.75172379,221.468741876,220.740614965,213.906409313,219.080980395,217.498896066,221.49934485,217.846618954,216.368631922,217.246662347,215.349144622,222.496229165,216.776806618,220.287431036,220.433984089,224.314855123,221.340736769,219.807290599,228.999040691	2	tan	0.2	308000,,
348843	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	202.381764649,205.56514447,211.067742039,205.585347176,212.73143364,204.77398268,211.359228597,206.571560146,209.893851217,207.750622538,206.170919086,206.24870325,214.855080717,214.86376588,207.159078098,213.821487105,206.946953836,212.618385637,211.863000698,218.866141241	2	tan	0.2	308000,,
349427	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	198.274528442,196.988675713,197.534810274,194.274563414,195.260112373,197.399235288,198.609949841,200.246336131,198.79866462,200.809143684,201.38396196,202.618559717,196.522333528,198.115154238,205.169245065,201.999478967,201.358227388,197.517884569,202.235457401,208.781992709	2	tan	0.2	308000,,
349974	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	199.144644912,203.16994775,202.169887446,200.293133134,203.159974773,203.949777525,203.893770047,208.543082086,199.84066477,204.19440757,208.632578042,208.159836055,209.823733819,201.379019623,200.929445628,210.236204542,202.400210143,205.310731777,203.728630654,212.395851369	2	tan	0.2	308000,,
348479	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	188.29376246,184.146492653,191.691277988,184.988110911,194.162844281,186.466497238,191.16401692,192.170334868,187.256560382,187.87917576,194.184363831,189.934946894,187.717757891,188.57860172,190.050584642,189.415177514,190.035986803,190.530086658,197.03485271,200.897454937	2	tan	0.2	308000,,
349501	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	197.472022139,194.255835931,201.980948076,201.798150084,197.462785851,196.973717709,197.031808157,200.496416876,198.714203858,201.330685011,200.688728058,195.314306291,200.42972483,195.334052525,196.414975926,205.225220713,203.391849086,199.675598931,204.936792736,203.029269851	2	tan	0.2	308000,,
351180	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	203.916019443,209.345288286,217.808942046,213.5493625,213.213442504,218.978171001,219.360037739,214.076114189,212.388152555,211.506884456,215.583593191,213.385865137,219.319433454,214.469579338,216.639699643,214.393731709,221.495428458,219.831882438,217.889030386,219.333634228	2	tan	0.2	308000,,
351010	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	181.726541108,178.064920485,185.616314499,184.729094615,182.965884054,179.323295342,185.661837131,185.086696736,182.082111745,187.871823126,180.153096564,189.416683604,189.551705565,189.598195386,184.217788734,187.157623132,181.28962265,190.336456336,190.54544189,189.596504582	2	tan	0.2	308000,,
350164	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	203.781817935,202.917840036,200.709645302,201.940454586,200.277917353,200.25329218,208.561572679,205.987016788,209.954159903,206.70229266,205.079171435,209.993824562,208.759898749,206.564377588,208.771762079,207.442303273,211.829893905,204.790400792,204.167753986,210.71644242	2	tan	0.2	308000,,
348203	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	194.841861482,193.700605953,195.662494779,203.238786645,203.265998963,200.554171133,195.561921567,195.239410114,195.399625,197.095625397,196.129600249,203.091390793,203.430587139,203.126205266,196.791258282,201.383667206,198.557466708,200.080805139,203.273615297,202.128114736	2	tan	0.2	308000,,
348831	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	178.185998954,179.965722164,182.655931724,184.345978257,185.941525508,188.811485026,188.033746353,187.51688308,180.708128885,188.645927373,186.910645268,186.13218451,183.930595847,186.505212392,190.94594962,182.724291732,187.533354313,188.648527067,192.756878647,193.21404817	2	tan	0.2	308000,,
350847	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	179.315090613,185.507132115,189.128288568,182.964141846,186.522444011,187.39210026,192.338922178,188.080986239,191.396791387,184.09752409,193.158098425,185.047468293,192.02763022,188.084036271,193.372798435,188.182064153,194.793089177,189.5822997,186.991642682,196.401806186	2	tan	0.2	308000,,
348169	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	193.675290205,189.746460648,196.259893987,191.179025574,190.856432258,196.057472904,193.567946002,194.134575446,192.188228596,199.824467456,195.33376614,194.628377256,200.724035326,199.541251729,194.29528028,197.304588798,201.39812591,194.508364278,200.4423882,204.350914631	2	tan	0.2	308000,,
349951	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	209.063110036,204.682914307,206.629645261,209.498365816,209.247973233,211.785786956,213.380018694,207.202183014,208.210273285,209.429783031,214.190912442,214.744094534,209.790246636,208.88573421,209.302618357,216.238183398,215.377187065,211.784164128,215.067622683,221.374406092	2	tan	0.2	308000,,
349278	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	185.886633593,196.130136832,195.990858778,196.968116196,195.144781998,198.402826022,196.672270554,197.641446757,190.695074971,197.133041747,191.743612082,194.094049287,199.18176555,196.703334035,193.859923662,192.545358766,193.440005214,196.044975245,203.660766574,206.30409977	2	tan	0.2	308000,,
349560	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	195.218967936,199.759706125,195.073466727,194.073408893,198.122141531,199.121646722,202.346843888,199.669789069,196.888511646,194.117985239,203.069347433,201.595066138,202.018382912,203.558003251,202.794929817,196.269842893,199.229985355,199.022312372,206.682762841,207.246040715	2	tan	0.2	308000,,
350822	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	189.707356631,192.994734245,191.314496592,195.205459162,192.831698576,198.66079165,199.104749295,198.552613293,202.002585095,195.641316372,203.353139711,193.455131828,197.492149622,196.314310723,200.681953076,199.340488597,196.566533624,198.423358273,204.231484872,207.660249751	2	tan	0.2	308000,,
349993	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	194.333284946,197.441444443,197.203884007,198.275135666,191.797509789,198.011005854,193.068703013,200.918615144,197.923797522,196.759637566,195.117018726,200.29323896,196.59215636,201.174592425,200.791335363,193.547443568,201.022751862,194.919793484,204.116224175,198.951300503	2	tan	0.2	308000,,
351170	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	197.149692353,199.775637169,205.310991838,209.427347245,200.656241331,207.715946699,204.986195762,203.463090067,200.917832575,205.479125966,201.468253753,210.116521451,207.006743499,209.372265559,211.006219876,204.669381187,211.889285961,205.077604222,205.739974305,212.667426287	2	tan	0.2	308000,,
348927	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	193.957241905,191.351278168,193.537213298,197.644078371,202.438490081,202.945350439,194.396530984,193.941963362,195.84866623,197.378277671,194.736749414,194.821000724,200.279582284,203.177461147,201.941270218,197.787370316,196.110019298,199.650225262,198.419305575,209.720491435	2	tan	0.2	308000,,
351745	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	177.234100614,183.138903578,189.599936377,185.827312233,190.2870272,184.904040744,183.016181221,185.282761048,191.065068173,183.66790255,187.743342997,186.809000625,186.595401509,182.769058693,190.054753353,183.991310199,184.593225273,191.315938901,186.400190348,190.43243061	2	tan	0.2	308000,,
351809	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	180.039110571,183.579242232,180.319547287,180.568378163,182.205115401,183.51902944,187.373666411,185.22155888,186.628766804,182.976440621,182.778583044,180.979985748,183.809478661,183.377752798,189.951227885,181.708956593,181.592088944,184.249836343,187.085236914,193.984209231	2	tan	0.2	308000,,
