ID	X	Y	cluster	func	noise	original_trajectory,,
349344	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	186.783935945,194.255341939,188.913491469,193.381510212,197.258879375,194.068994435,192.352339396,193.754738253,199.176972719,190.908349532,200.27781753,196.153886567,197.07470279,197.465221137,191.516212674,196.312291023,196.632245634,199.380819374,203.060515958,199.804503074	2	tan	0.2	308000,,
348822	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	184.752995128,191.494161307,192.076079992,194.515273614,185.882459117,187.778928178,195.773909469,190.52724663,194.231688399,194.127492981,190.075014786,190.070808322,190.975808407,193.647670534,194.273126014,195.444992363,197.490618361,194.852284025,198.397291426,196.466065048	2	tan	0.2	308000,,
348481	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	182.441763983,187.110919138,183.789932748,186.259875674,188.1396797,185.621349104,192.380514283,187.566073432,189.607566313,192.392486928,184.73716268,191.557379657,191.951803043,185.700038681,186.855518775,189.080954706,193.450356853,195.75574501,190.318810266,195.565909825	2	tan	0.2	308000,,
351235	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	188.842714646,191.554819424,183.269467646,191.710577129,186.960515275,193.524852773,193.989805625,188.716221605,193.350049648,189.120822833,192.720005372,191.382442945,195.315852615,189.048560307,187.812754863,186.830842611,194.411450279,192.17781511,193.278498403,195.452002254	2	tan	0.2	308000,,
350299	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	176.528274862,172.899636528,178.943319154,177.572085226,178.400644167,180.305175121,178.089829283,179.110641926,185.041976066,175.849858348,183.451928017,176.515040032,185.865088415,185.701616541,177.943531771,183.387495031,180.904785757,180.311771605,186.297619996,183.594717065	2	tan	0.2	308000,,
350561	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	184.127464993,189.668972135,191.517169665,185.624806017,184.614574973,189.113860294,188.19191179,193.857669774,193.140536532,191.953133809,188.517307567,194.802211716,188.766397279,192.446705081,196.223656869,194.222640171,190.31792005,193.172300756,189.087936333,193.742033247	2	tan	0.2	308000,,
351982	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	176.270966992,186.444499126,181.6757526,186.902948817,182.921834755,185.584199387,186.364625309,185.73021923,182.556060204,184.911524156,187.07011614,184.48467067,184.935309896,187.450708252,184.596194684,188.564085071,184.850679775,190.040513436,186.048566129,190.285848329	2	tan	0.2	308000,,
350496	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	191.913905365,198.121771026,198.925374601,192.172827586,199.38201209,192.043811479,194.668283985,193.068900029,192.74360317,194.093344818,194.285359619,193.314047574,193.284965276,197.289468237,198.406874397,200.420554967,195.756026842,199.007209271,198.289220723,206.242042464	2	tan	0.2	308000,,
349007	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	199.130346693,204.377439233,209.195555769,204.901095715,203.215241133,201.929960708,201.906623501,207.736687611,201.448250895,204.560720701,208.57268622,206.576013287,205.981409845,207.156854542,207.178758894,204.428462245,203.242065285,209.438206986,207.067019674,212.068571875	2	tan	0.2	308000,,
349285	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	173.081656555,182.400565931,177.77495885,185.629465235,184.007553489,184.122319736,184.957848291,184.938606754,178.783077812,178.363875478,188.534887314,185.324855665,183.543896729,185.831875745,181.279540595,184.248144906,185.195244531,182.867770624,181.585117651,191.861805578	2	tan	0.2	308000,,
