ID	X	Y	cluster	func	noise	original_trajectory,,
326480	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	175.161858374,176.370027793,177.931851719,180.208654962,178.937721989,179.073443586,180.032429199,182.184750976,181.996830065,182.319924979,180.35065306,180.208516962,182.364266857,179.858311107,183.117536668,182.361115146,182.595421605,183.563771264,183.981161548,185.633556967	1	tan	0.08	308000,,
326457	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	204.284050188,207.76662102,209.013303126,209.616013042,208.842750184,210.626405599,209.586762169,208.108042088,209.288802372,210.827745251,210.966047858,210.76530561,211.114774875,212.175284068,211.880949231,210.947319333,212.010703722,211.919466127,213.796900305,215.979738151	1	tan	0.08	308000,,
324716	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	211.209644078,216.457680815,215.269639887,217.064939868,219.164168662,218.201365315,217.162958078,218.586718441,216.688287764,220.39201053,218.095645016,218.765417447,219.174487538,219.910752897,221.31058137,218.417678827,219.802608201,222.497098431,220.430287575,223.977481187	1	tan	0.08	308000,,
327385	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	204.812207435,208.077188678,209.707729671,209.729604804,212.314142704,211.650405402,209.933808104,210.289218271,210.688319972,211.417167466,212.717766635,211.458199333,210.414974176,214.10778426,213.605991597,212.456465786,213.892673214,214.017127577,213.79241971,218.446756444	1	tan	0.08	308000,,
324704	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	191.15725249,191.198187538,195.323424894,194.732407484,194.305966806,195.102882778,193.027791126,194.340631111,193.893354123,195.071996977,196.040635028,195.79030422,197.880961157,194.892805757,195.133224969,195.16554341,195.196901883,197.058058095,199.056707686,203.340729449	1	tan	0.08	308000,,
327120	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	182.509216731,189.354268269,190.320800688,190.392545002,188.706838997,187.905678399,191.67833181,188.358013956,191.227376649,191.740007066,191.35655915,192.395916518,192.854165937,192.997868468,190.460050536,192.205164879,190.494215118,192.980596295,194.587010554,196.208992758	1	tan	0.08	308000,,
327147	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	194.264303456,197.011654243,196.067172749,197.685191874,197.188993205,199.26311231,197.621304397,199.805560171,197.104286017,196.926211509,197.325800463,198.967007937,197.637046535,200.121444372,199.525675049,201.241793647,200.377862231,199.288332156,201.695446287,205.761883906	1	tan	0.08	308000,,
326638	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	173.606841615,176.075397797,177.027942556,178.707871748,180.063128611,179.971496612,179.332778001,180.45900226,180.4988131,181.719002972,180.993673299,180.908229972,182.812949289,181.199664158,181.434234801,181.667729383,182.385794223,183.448414086,183.079130009,186.83890247	1	tan	0.08	308000,,
324530	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	187.657871908,189.261443118,190.874577915,193.719778931,192.665188513,194.409745712,191.480821961,193.022271095,194.70266161,194.441365478,192.138199138,194.525967135,192.998041844,194.622995158,192.46622855,195.115720009,195.083739638,193.475833183,196.201994223,198.553402757	1	tan	0.08	308000,,
324970	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	193.643630834,194.494772453,197.43619343,195.964154197,195.637328184,199.04172721,196.573076069,199.234702559,196.796415383,195.960330989,196.433796224,197.854799529,199.988195419,199.25521094,197.175467273,201.018694689,198.794946021,198.692551827,200.783236458,203.266860863	1	tan	0.08	308000,,
