ID	X	Y	cluster	func	noise	original_trajectory,,
156395	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-53.3593300686,2.7789515696,21.3855354954,41.5915617547,50.1678655057,61.9190586599,58.693162689,72.1780670124,70.9956194112,72.9374079094,74.3710132685,82.338277178,73.99569629,85.3699737606,76.7706597234,82.2176559952,81.8680073195,88.2359115433,90.4446320702,84.847795845	2	hyperbolic	0.12	132000,,
156130	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	124.964239772,172.946281075,194.242126734,211.207873984,216.424499977,224.501782463,233.598692773,231.947765563,236.341699639,244.102686197,247.950655184,251.317517584,253.96600296,249.958355675,256.665750966,254.936230859,249.768292703,257.378797505,258.662332938,260.751275796	2	hyperbolic	0.12	132000,,
159873	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-51.365566004,-0.732907292553,20.2754762488,37.6912363146,48.302676842,54.5429613805,58.5415772839,68.1158768681,69.5851347142,67.150016304,77.1253753692,75.6257589542,78.8484553494,79.2631280813,83.2397043536,85.3098854691,78.1664016235,79.1100872202,83.6842326739,82.5414047717	2	hyperbolic	0.12	132000,,
159184	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-37.431194517,11.6680682399,44.6577831318,55.0539676275,70.8522003539,72.9542459072,76.6924122678,83.8991920108,83.7382880099,86.9036393575,95.1527519962,90.2357969564,98.3047125435,100.428648406,98.9608893569,103.673675341,101.816120327,99.6989660783,98.9390953192,98.7716906955	2	hyperbolic	0.12	132000,,
157212	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-111.225444037,-64.8689944999,-41.7499760644,-27.5086210466,-12.579628521,-10.3712195998,-0.62896680186,-0.492285417722,8.08784683421,10.4315502528,10.2777296447,16.9398975639,11.0155829415,11.176529704,18.5202931037,19.9917593134,18.9003790137,18.5546408212,15.2943542468,18.0761534647	2	hyperbolic	0.12	132000,,
156662	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	87.5587881526,132.179125186,162.683659608,177.723278091,187.741296418,186.816156145,192.793924824,201.858933269,207.963736956,205.309498199,213.132236489,213.121697446,209.639471455,217.150760729,219.053753772,212.67731899,215.23890125,216.888536044,216.091401143,220.09472276	2	hyperbolic	0.12	132000,,
156882	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-19.5065580228,34.1139641328,59.6328334364,77.3393312168,88.7499573669,87.3529117847,93.0438629114,104.707529987,110.086829469,109.754225412,108.728218975,107.848784067,112.192261058,120.189906449,116.667392775,118.152511381,115.493338967,118.187794466,117.993616539,122.25277775	2	hyperbolic	0.12	132000,,
157680	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	70.8344146565,117.783051701,144.296358433,164.051351138,170.60835433,176.258674203,179.834671737,190.480150241,188.873660623,196.747011194,198.804854704,201.403568079,195.755549677,197.256397318,204.845245031,202.795644567,203.335435857,204.830723036,203.829401561,209.454119112	2	hyperbolic	0.12	132000,,
159279	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	28.8088061803,83.4256862843,104.29444112,121.710517125,133.259904069,139.525766209,149.639375649,148.513009982,151.900910716,157.831097796,156.298533764,156.461371503,159.63399442,165.626205945,166.333833193,164.562221525,168.19737953,163.78590851,163.603912383,168.535589644	2	hyperbolic	0.12	132000,,
157850	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-49.0151830004,3.57939803508,25.4507453616,45.4770359431,59.1678234423,58.467451451,70.0816397416,75.9204071491,71.9996456614,73.8497348959,76.2807268158,83.7855207612,82.6262100652,87.4811277199,87.0099726041,85.8565994222,92.0142269381,85.2008791557,84.9661398378,94.6781262023	2	hyperbolic	0.12	132000,,
157809	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	111.428549408,158.725238157,188.543512378,202.505129949,215.890306729,223.15733728,226.033057231,227.699423613,237.010365524,238.092352577,242.299600418,240.866460895,245.071836333,245.282633129,240.391529525,250.314719475,241.890952988,246.378655212,245.769525808,253.653039881	2	hyperbolic	0.12	132000,,
158305	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	93.9607480825,146.802836569,170.986015572,188.852259216,192.378842128,196.657109903,210.908334481,208.405705852,217.021376008,216.630886488,216.831373655,216.657544295,223.17128289,228.190523259,223.425413132,226.455176024,228.04866431,228.456509122,232.752344193,234.554219493	2	hyperbolic	0.12	132000,,
157377	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	94.1098155607,146.306943902,175.099107566,188.244844008,203.608757016,202.37686601,208.351648967,213.508203783,220.60627074,219.489045319,227.029854141,225.064461111,224.028964808,227.459157245,227.291010076,228.262863824,228.554637998,233.118737956,233.791568567,231.538003389	2	hyperbolic	0.12	132000,,
156931	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-7.89936507449,35.4385744708,60.414855613,78.8264053622,93.2659586041,98.9553707622,97.4412458125,103.821425271,109.141527962,109.906844103,109.387966933,118.561102444,121.536902172,119.704409484,115.377282522,120.442129679,116.392500043,121.649204456,119.741555967,126.737222419	2	hyperbolic	0.12	132000,,
158997	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	48.4025478564,104.775728162,122.822673708,141.2656188,147.597404253,153.914735719,160.113879587,170.643121883,168.385421016,178.03244493,176.161043311,179.20925546,175.555701914,182.067388167,187.850925278,185.698930034,180.454215714,184.122706564,191.103316652,182.719447298	2	hyperbolic	0.12	132000,,
157193	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-40.2937436091,10.4483867789,32.5917646145,43.6333756568,60.9844742419,58.9712420241,70.3674724226,71.1182862373,78.4838556404,80.5443019303,80.4520436045,82.2296666484,80.9167405181,82.5321924844,82.5614831763,89.1571611213,87.2001074225,90.1592721461,94.8354903063,95.5905158579	2	hyperbolic	0.12	132000,,
157711	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-48.0550149471,4.04842251833,29.9041278632,42.4419809598,55.5613511622,64.5600307155,69.3564452904,68.3165933846,73.9319510399,79.3094516937,76.1154252753,81.0228548543,84.4725525046,77.3318045438,82.5870252749,89.080871203,82.7476035892,88.4327038496,83.9847082559,90.9767916175	2	hyperbolic	0.12	132000,,
158758	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-128.531261765,-78.7591181629,-54.15155262,-39.1090965107,-23.3530430098,-18.5451759971,-16.1620850722,-3.91299743166,-0.395119388615,2.66889038136,-1.93290490909,-1.62155009081,3.57326326529,2.68594186174,1.44409618795,4.70893171551,10.0298461095,9.67399629832,15.0999407909,13.9302206207	2	hyperbolic	0.12	132000,,
158502	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	78.7044233895,129.941303421,157.414883003,168.365435734,179.376195999,187.33904454,185.577464313,190.337206414,199.574311712,202.541204589,205.315749401,201.57293278,209.49308262,211.09042932,213.707333122,215.031343247,209.821073515,215.182153806,209.997710014,218.224528689	2	hyperbolic	0.12	132000,,
157045	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	131.56373049,179.939584914,208.635696974,218.276023548,230.584665452,241.516467104,244.785242179,252.513795367,251.27166633,255.809500819,252.092579255,255.65529974,258.812327247,261.3953862,264.532433142,262.512400072,268.947153707,269.103813508,261.528636707,268.498268517	2	hyperbolic	0.12	132000,,
159186	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	49.1094946721,101.771978111,120.564427165,144.024308093,154.159134378,153.703396851,165.624354986,165.461573163,173.660732584,172.375915774,179.302188802,179.40177667,174.432125675,183.196001835,184.777956948,181.601251023,185.469854185,184.420416061,188.172854935,190.703427409	2	hyperbolic	0.12	132000,,
158595	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	42.1196633625,93.305301376,119.264388384,138.265560758,145.718203214,152.373064239,154.496857873,163.238773261,166.383981149,164.06001089,174.835686936,170.510057155,176.381826191,178.750617375,180.270102079,175.051461314,184.456497925,184.929930898,183.762819368,178.798355975	2	hyperbolic	0.12	132000,,
156347	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	3.36724199202,51.2342252367,74.7156882044,94.7067795309,100.202715582,113.131717594,109.454310504,116.954990493,116.30344,122.865750699,130.824728132,131.421305913,128.612504229,132.755082835,132.853714346,129.925877886,132.373839482,138.363833549,138.883355174,137.878266031	2	hyperbolic	0.12	132000,,
156427	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-65.0394639019,-18.7037993758,8.5482779768,24.5408243071,35.2241455879,34.7207282589,43.4258435447,52.8603952736,47.8314831908,58.9971040685,56.3421493932,58.5196141335,56.682087187,60.6055775886,68.1643138177,60.9788209657,67.643285635,71.4247866645,62.4518863592,65.4751459007	2	hyperbolic	0.12	132000,,
157742	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	4.19198792634,46.2915912636,78.9525175162,93.139061544,105.393416904,106.237417553,117.497684586,120.283526312,122.920268808,125.086737442,125.418528259,127.514280982,131.112398594,134.659876271,128.608759983,132.127802507,138.238482749,133.238992503,131.962836261,140.245801267	2	hyperbolic	0.12	132000,,
