ID	X	Y	cluster	func	noise	original_trajectory,,
334590	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	177.355501764,175.804385375,178.031097695,179.966046513,180.302384539,180.249260005,178.531216924,178.898908444,180.096465048,181.638563854,182.096766512,182.844313164,179.155582971,180.94313613,182.318900945,180.665980689,184.413767088,182.926856631,183.428897927,189.549588836	2	tan	0.12	308000,,
335234	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	185.047751695,185.987124483,187.750763928,188.731089595,187.7481076,191.007192549,187.211160304,189.435842639,190.356003861,186.804028938,187.535619093,189.517081888,190.735267236,188.600866839,189.786298797,193.717142563,190.872253135,190.086133719,190.997225614,194.723183611	2	tan	0.12	308000,,
335311	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	197.423037875,200.002334077,206.435056409,204.098000252,207.025754388,206.957572974,208.313621763,208.219473727,208.878398927,208.148710065,207.434055964,207.112387218,206.100189169,207.09378722,209.006574766,209.504885902,206.231092865,208.464815454,210.216183383,214.860744529	2	tan	0.12	308000,,
335869	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	180.982138401,178.827224888,183.644638557,182.779700116,186.024111882,184.774760061,186.527924536,182.254050601,183.854442733,185.168880068,183.438872101,183.970959541,184.175903036,183.808781462,184.247098385,183.917065754,187.654954749,185.121070659,187.100931759,190.062432417	2	tan	0.12	308000,,
332547	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	195.211681714,194.89981511,199.073425732,200.022710628,201.455596207,199.129750435,197.229308626,201.348892088,197.663912823,198.191315244,198.677165599,201.190382044,201.347231872,200.67308528,198.566323427,202.484893673,201.751351949,202.97595696,202.402394188,206.360362589	2	tan	0.12	308000,,
332501	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	207.368374697,211.988523403,210.814996166,212.88013593,215.758918486,213.778101685,216.147036948,211.881044945,212.300737376,213.367152737,211.493211795,214.50594283,215.278285081,212.957835454,214.578179275,216.039037731,216.181255957,215.509285976,219.113857414,222.518961587	2	tan	0.12	308000,,
335262	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	195.862464404,200.486744007,202.777074049,201.957384484,200.274197904,205.381320718,203.880691447,200.762790211,202.984120752,206.258040321,203.511614365,204.316502433,207.317880014,205.492307865,203.624369127,203.145914529,203.928107442,204.686212614,209.449198636,210.160648856	2	tan	0.12	308000,,
334086	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	205.037375102,209.304497806,211.299204938,207.31378144,206.769225004,209.421119699,208.583560974,207.548200751,211.67711198,207.618532924,210.687763786,207.742860491,210.716127729,208.932762624,212.551122483,213.573960104,213.473231874,210.193536892,215.698365549,217.321759522	2	tan	0.12	308000,,
334036	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	199.028913519,197.510077464,197.795509537,202.234014231,202.098483164,201.095938475,204.921730963,202.658942879,200.08288053,202.692609572,202.286314838,203.21859158,204.953926959,203.919538632,206.193367367,201.078150141,206.982995267,207.26806737,203.542407526,206.456230826	0	tan	0.12	308000,,
335341	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	201.258780615,202.701445299,206.132068961,207.28299978,205.334967578,207.843935371,207.734052589,208.017293331,206.495569663,207.606807549,206.300862119,207.632688138,210.552992443,211.517093515,206.536943503,207.275094179,212.524146127,212.772491621,214.338563438,216.777289624	2	tan	0.12	308000,,
333424	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	181.998069931,188.84843141,185.394939143,190.019743898,188.101058674,191.478500764,186.931573101,189.909356472,191.56212188,187.329050063,187.252803493,191.346604736,191.6215038,188.31282637,187.674147661,188.510624747,192.642657158,192.846407822,194.130704098,196.546665547	2	tan	0.12	308000,,
335059	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	197.939444434,201.328243158,203.549022927,202.762058677,205.700427721,203.144481487,207.08470438,203.06429273,205.175970658,206.842831718,202.957869058,207.497356817,206.465781336,206.500609557,203.188606933,204.073954106,205.038479144,204.623156392,209.860080046,213.120816386	2	tan	0.12	308000,,
333885	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	190.333480877,196.172693291,197.915697529,195.575893937,194.3026159,198.702042905,196.437557927,195.202289178,194.215557021,199.85924139,196.860239225,196.620665122,198.783345754,197.539114128,198.165853269,200.181065352,198.429134928,197.762310495,197.792861046,200.945124058	2	tan	0.12	308000,,
333239	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	194.795906937,193.834126043,199.101879943,196.751006313,198.890240979,200.009027043,198.134527452,198.451766989,196.793309498,199.060651462,197.470512194,200.504531698,202.06459947,198.170252746,201.917827059,198.588765895,200.421302019,203.817124519,200.622774354,206.68029901	2	tan	0.12	308000,,
334688	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	198.402848995,197.318220188,199.078357398,203.371233805,203.552439328,204.181115032,201.568148178,202.620635826,204.05221107,203.534378884,201.912824129,204.474547851,202.345360213,206.237629463,206.280717212,205.219753633,203.787989938,205.316571865,203.143304146,210.593872251	2	tan	0.12	308000,,
335091	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	194.908565762,198.571071186,199.014118894,200.020549625,205.358237736,204.402157426,203.22862532,206.070806688,204.770263802,202.523509784,206.440386021,206.644704353,204.656610928,207.249655272,203.352041387,204.662053661,205.834202239,205.447230717,208.728779004,208.876013357	2	tan	0.12	308000,,
