ID	X	Y	cluster	func	noise	original_trajectory,,
348590	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	174.296835829,185.289164207,185.486319676,178.587785054,185.773180325,181.09902031,180.400889114,186.351215073,187.1378579,181.678857218,178.844489047,188.368461575,185.482843819,187.123437669,182.987176379,181.331276441,182.217984845,186.534277171,189.361811198,187.177354444	2	tan	0.2	308000,,
348775	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	184.477912331,181.921390687,186.632169553,187.73484204,183.734159996,182.176292686,188.398015887,187.576068201,188.91001083,188.045616368,188.918687541,188.482089805,186.485182517,183.051379238,185.388032738,185.378452126,193.624244437,193.724514765,189.509598148,192.321491937	0	tan	0.2	308000,,
348060	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	200.26746872,201.810658358,201.526747855,208.026634349,205.821637664,206.908698872,204.788752741,200.847003904,208.788270394,206.868210966,210.07285151,207.93868125,207.916169614,204.935526769,206.584450683,204.427741281,208.45525913,207.94127715,208.186879573,212.719627301	2	tan	0.2	308000,,
348552	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	204.385019752,211.325046592,206.915830463,215.101766236,207.712569326,212.365967193,211.992100372,217.08045665,212.419100411,214.988246795,217.808946545,213.656866963,211.134242904,211.426560218,216.634530628,215.729641288,217.497933733,213.430714842,215.987807185,217.481880846	2	tan	0.2	308000,,
351514	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	184.246547709,190.114616845,187.105319255,186.027761235,191.395806555,193.235431122,188.217978172,187.754494579,188.072233261,192.22191458,187.376417983,193.32808627,186.533695825,185.142131501,192.901686734,186.213735627,186.6600513,190.483302153,189.659549337,192.365368092	0	tan	0.2	308000,,
350530	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	205.016109196,206.379433395,210.558506172,213.15870129,211.305940413,210.783766634,212.624668858,214.06015083,217.174982871,213.654179197,209.768861058,211.935951776,213.621742216,213.008959285,216.153397841,218.594573178,214.580797049,215.911862502,214.525430971,220.173986063	2	tan	0.2	308000,,
349049	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	188.020988059,183.554134752,184.6058598,187.727875414,190.386147824,188.562081671,191.681495719,193.213555458,193.258907668,189.405792684,185.384383415,187.905675347,188.909047079,185.359982822,186.183380837,187.139990616,190.665129234,190.872704677,188.768496711,196.935067647	2	tan	0.2	308000,,
348870	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	178.12926488,176.75360159,182.367786474,185.956085658,183.321817956,184.396043318,178.470083547,183.706166689,186.482141071,179.949569286,184.983812003,178.409961974,184.555589831,187.448766679,186.89764834,182.400758908,179.79087974,181.268136941,184.589644641,193.294680323	2	tan	0.2	308000,,
351120	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	204.089268224,208.844674597,213.301013753,211.893442686,213.413291247,211.689853149,210.044440968,209.48290025,211.870226113,211.341404556,210.703753788,211.291164308,209.024297297,215.785425591,211.125436876,218.529285851,213.116052542,210.423004633,217.338968033,218.350693665	2	tan	0.2	308000,,
350625	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	196.456710052,201.342002778,199.996466467,194.950112792,197.85267077,194.959073193,201.594937928,202.478448601,195.924920919,200.520490604,203.941320282,201.285723149,196.489607643,198.370612445,202.868188692,199.64457912,203.750640983,200.760460815,206.088478654,202.221178474	0	tan	0.2	308000,,
