ID	X	Y	cluster	func	noise	original_trajectory,,
349991	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	172.349218218,182.06242385,183.450246724,182.781238372,176.061674191,178.700013646,176.231441619,182.852453679,185.045219765,182.450838473,182.678326672,176.844642951,183.632305732,185.657615457,181.244126758,182.974427379,180.156049144,184.548483926,186.272628331,190.777240845	1	tan	0.2	308000,,
349586	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	183.96996585,181.592729366,183.063913542,184.41773614,190.890872438,181.827047835,181.854236678,190.373344162,189.921434352,184.312096893,187.365558853,188.195024831,188.673995452,187.765849717,190.846833678,190.040979111,189.110036691,185.152615779,192.765553739,191.781744501	1	tan	0.2	308000,,
348680	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	184.402186558,193.600138734,185.259787527,195.307007168,187.412678522,194.675490683,189.684799449,189.652489237,188.888117242,187.86331484,191.788049076,196.99410756,196.355092057,191.925988623,192.412339468,195.987194172,198.491393374,189.155851853,197.537331887,199.125816612	1	tan	0.2	308000,,
349283	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	175.800559033,176.065685002,183.13798349,180.762210751,183.395992242,180.834127525,179.886775379,178.851453897,177.975724146,186.172276307,187.655291748,188.277700676,186.671615059,178.898507825,186.512620424,179.413375771,188.927600632,185.734003526,188.909800304,192.518260945	1	tan	0.2	308000,,
350854	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	205.808015142,202.570677409,207.504932383,206.871181271,202.852323067,211.554098761,210.672760003,212.77044944,203.399532182,203.820757822,204.108982709,206.116763513,208.513507022,207.981890916,211.856583124,209.213014526,208.719684155,210.233247671,214.622135886,212.968175378	1	tan	0.2	308000,,
350444	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	204.446913813,211.743550448,209.899950277,207.303574006,211.720474885,213.048343362,215.111720692,214.394624448,212.070924939,215.576271992,207.877141343,212.231253734,213.428452386,207.963858484,217.077819179,213.331652327,209.682178401,213.66995366,219.834326078,216.024218871	1	tan	0.2	308000,,
351153	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	214.321173709,212.170852874,218.187866018,213.235782849,212.575978404,214.850171785,215.076626902,218.270208804,218.03847724,215.650128104,216.180417195,214.925014718,220.98940966,213.688349834,214.81404932,222.624913445,217.381579329,220.610651357,224.627153574,228.442870843	1	tan	0.2	308000,,
348697	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	186.345535602,186.097339144,185.89105681,190.585887447,185.755225927,188.760334693,187.896387376,193.76634686,190.90122488,192.025343773,191.200863731,192.51242243,194.081480958,188.598779841,187.82414128,195.744110515,187.254667357,197.069955114,193.823993097,197.025967814	1	tan	0.2	308000,,
349239	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	206.006369472,210.935933646,204.247766967,209.651798368,205.020624171,209.773060079,212.933672739,215.306104286,209.982491719,215.039447415,216.014776605,207.875439328,209.859200782,210.589434699,209.247116247,210.845697644,214.743546652,213.267900162,217.126417489,215.539572974	1	tan	0.2	308000,,
348207	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	169.277780932,176.952183934,178.402841402,173.79188965,178.191585671,182.863006473,181.638434786,180.240242727,177.331839103,175.872107327,179.261538856,180.729779124,181.24495184,176.550079936,179.802139832,179.634996262,178.821479064,177.952306214,185.909470508,182.203663617	1	tan	0.2	308000,,
