ID	X	Y	cluster	func	noise	original_trajectory,,
173760	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	12.4021596205,59.2483101342,94.5482886374,103.248062207,110.203175608,130.3672052,122.782481248,127.172174868,142.147660551,135.824068354,139.810246113,149.938828523,149.761613753,146.442183154,146.350261275,149.383424778,146.765057331,149.789822425,148.381095274,159.805061878	1	hyperbolic	0.2	132000,,
172204	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-105.918580417,-59.8679063078,-37.3104081056,-26.4252097406,-7.75572201476,-9.65114389967,-2.82719969754,2.58314204718,9.50099687314,9.40214607487,9.21196058098,11.5100350376,22.7994822823,12.9099584178,19.9961001821,25.2662328859,17.8328160718,32.5782691527,21.0554362404,26.6119177316	1	hyperbolic	0.2	132000,,
172614	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	120.421628074,169.568918574,198.859568596,208.069270709,224.507078622,221.99265202,227.850801059,230.433460041,246.931699151,248.352442809,237.102197076,254.245730842,250.699501016,250.89559653,254.410095218,252.871626284,253.923422617,246.57186908,258.991192257,248.346717133	1	hyperbolic	0.2	132000,,
174664	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-90.7961797104,-40.972305491,-22.8846876055,-11.0256806397,3.44022213105,12.2209224703,23.7246826707,23.3830727961,29.8448740121,25.1089830252,37.4914666171,39.2481711418,33.6819466681,30.7014277444,44.6661439946,31.9451187222,34.0087187334,46.2014274318,44.8526894284,39.1097553588	1	hyperbolic	0.2	132000,,
174007	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-95.8381699585,-55.4750169471,-20.9700144215,-6.63260685601,5.42872978688,6.82432336332,6.48493270984,24.4558775525,12.8166846621,20.6530130618,21.5752435582,32.4042082357,34.9846204173,39.1227425964,26.5191850068,39.4885527155,33.0591440945,39.1847211418,40.6787283485,28.7542091133	1	hyperbolic	0.2	132000,,
175043	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	18.6847860495,59.5634688911,88.0440289871,99.7316887871,116.334316992,117.08192524,132.529301486,122.875763906,122.826560387,128.185217667,143.586133018,132.461613446,140.201888524,147.833492984,138.805200881,140.289584989,139.078260669,139.476529551,147.932185497,143.678281138	1	hyperbolic	0.2	132000,,
173785	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-121.087313199,-79.3164997181,-37.3938201025,-28.1814847678,-19.471798322,-8.117132504,-4.87657650545,-4.78204643354,-5.16133366499,7.36521744339,10.9463335227,4.44651629424,0.985433997166,5.62799651905,11.6144890696,17.2347141443,18.0795846828,15.8734241503,17.386445153,10.7179320017	1	hyperbolic	0.2	132000,,
173391	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-74.7557953574,-29.0572991719,2.65948903628,18.0921572443,29.0664634281,36.7432869608,43.8812928317,40.6334992098,46.2419427024,49.7531498035,46.9431390421,45.9111176805,59.3803551324,59.1410323574,52.9133906004,47.6247490967,56.1824817936,63.0515153098,52.9605905149,56.3141241678	1	hyperbolic	0.2	132000,,
174296	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-119.831819901,-72.8903058033,-36.2572087952,-20.2955748744,-8.499854865,-1.08815489058,-0.768273366779,9.0348001757,3.97961056954,2.08970283048,10.1218758354,6.72400942174,18.5836296122,22.130389611,17.4785276036,20.2233178059,13.3904791086,19.0556157724,28.3679198703,29.9495341652	1	hyperbolic	0.2	132000,,
174700	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	71.7296779467,121.940966412,132.37851242,154.015864222,165.894703974,177.068662408,175.525875065,179.981721282,182.609279346,180.685939192,181.731970209,184.470989916,197.270010905,196.026685341,190.575623855,189.494865389,188.636889662,197.276700625,201.526415065,193.858609923	1	hyperbolic	0.2	132000,,
