ID	X	Y	cluster	func	noise	original_trajectory,,
317065	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	192.513800555,195.125763495,196.207728656,198.129934011,198.136213956,198.201814716,198.443853492,199.1011306,198.602833176,198.220288799,198.854236957,198.572333971,199.944853748,199.117480551,199.48620202,199.860229244,200.81397783,201.410937249,202.691304625,205.753799695	0	tan	0.04	308000,,
319796	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	199.783049637,203.433671533,202.850952061,204.235131818,205.489114793,205.014565845,205.592028821,205.587667843,205.917048887,205.24810341,205.223237111,206.230170894,205.74300092,205.675917099,206.333128851,206.832139458,206.633470883,207.444706158,208.583265418,211.880437009	0	tan	0.04	308000,,
317112	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	203.686366212,207.466446107,208.130379741,210.27615716,209.207318046,210.106231007,209.819469007,210.436216681,210.265885713,209.979243524,210.773333165,210.958746918,210.83459563,210.671802351,212.004190433,211.911161369,213.327980166,212.221324792,213.704366999,216.952102372	0	tan	0.04	308000,,
319988	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	200.983490806,203.621740999,205.08240268,207.063261075,207.338233743,207.542788739,206.593906567,206.415721994,206.759131978,207.047359885,206.857852658,208.618992032,208.167643322,208.074787902,209.36788255,208.421309228,208.451642248,209.912031419,210.254914278,214.221267193	0	tan	0.04	308000,,
317504	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	209.209100476,212.598147649,212.869737482,213.411425769,212.74694607,213.69390116,215.030530302,213.504985151,214.435586694,214.32723758,214.285801518,214.652869362,215.906900731,215.321262793,214.680305876,215.607204672,216.286887104,217.423221589,216.950320993,221.377816261	0	tan	0.04	308000,,
319604	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	199.032761174,203.238411859,203.830939646,204.686091082,205.13914865,206.134004499,205.239775661,206.443431152,206.259993519,205.922252752,205.967299523,207.217156074,207.213792852,206.433381406,206.878057763,206.821681315,207.817407115,207.32876622,209.420928974,212.926842426	0	tan	0.04	308000,,
317688	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	209.306959042,212.294927871,213.361647835,214.041898102,214.974789525,216.124730824,215.729933265,215.822506724,216.27904217,216.202840149,215.152180529,216.439200559,216.687173109,217.041998688,216.839051012,216.30246021,218.398969791,217.663624279,219.924833109,222.000922732	0	tan	0.04	308000,,
319639	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	207.618776321,211.637916253,212.05208729,213.570425312,212.511059952,212.652425294,213.026518447,213.661117659,214.300875342,213.803175193,215.248740928,214.178277543,215.454071819,214.879758884,214.297147052,214.932198445,215.394142839,215.958502054,217.010763888,221.678189636	0	tan	0.04	308000,,
317665	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	190.118113849,192.374935979,194.312705161,193.905513554,194.648911962,195.595963263,195.890372127,196.24973353,196.428173506,195.817367839,195.886761124,195.957423198,196.236874275,196.377942292,196.947560989,197.12057452,197.446177486,197.966052131,198.743921101,203.35065939	0	tan	0.04	308000,,
317198	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	175.216014639,178.554166241,179.378309044,181.270562345,181.396217552,180.547988903,180.509099901,180.514693245,181.654819294,181.803181837,180.945832789,181.29105645,181.406379037,183.266906454,183.003460706,182.490724326,183.097289128,183.774878711,185.80447492,187.326547837	0	tan	0.04	308000,,
316733	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	206.053661803,208.495700707,210.027905122,210.439749427,209.844611284,211.452653142,211.766207681,211.326523779,211.438858004,211.116368429,210.79271663,211.968517174,212.849635426,211.967412918,212.105955536,212.179403171,211.965076766,212.688634839,215.323528703,218.221271683	0	tan	0.04	308000,,
316881	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	206.473200888,209.043917941,211.24562861,211.438166089,210.864361583,211.629244304,211.908721627,211.134621576,211.392174285,212.143942204,213.408312402,211.650023858,213.14528993,212.709818793,213.713459163,213.210489578,213.497079734,213.70556438,216.395282842,219.68437047	0	tan	0.04	308000,,
319879	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	204.245074322,208.82304836,208.399430337,209.570544091,210.397401867,210.140824772,211.237293758,210.406357511,211.058698762,210.629456348,210.679589018,210.934904904,211.857582479,212.271491779,212.381070528,212.643685664,212.566527797,213.215933471,214.53138402,217.034037883	0	tan	0.04	308000,,
317708	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	184.755380038,187.505360335,188.674138599,190.417371084,189.634914068,191.298921604,191.736428385,191.460883358,191.675124145,191.829005497,192.169259867,191.702838479,192.187229138,191.137389853,192.187388609,192.338560183,193.329957522,193.105915016,194.881682835,197.819808256	0	tan	0.04	308000,,
