ID	X	Y	cluster	func	noise	original_trajectory,,
149120	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-29.7289524823,19.9495357942,46.2753992153,59.9501200363,69.0240250737,82.7521619043,87.2371782809,86.18148331,93.1322272573,95.373061204,97.1386656659,99.6309513933,101.739679671,101.03694064,104.127108968,107.105365698,102.37285432,107.061284409,107.492805108,108.507438187	0	hyperbolic	0.08	132000,,
148589	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-26.2471286032,25.2889501231,49.5756566952,59.8230982492,74.3888760921,81.9745347444,84.1175908416,90.7653475951,96.0528456805,93.9679636804,99.1298924124,102.014735012,102.363820635,99.7880052039,107.399604799,102.628478376,107.855208479,105.662526798,107.441614935,109.165223967	0	hyperbolic	0.08	132000,,
150200	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-53.2802660135,-2.67016074701,22.0764055319,34.1468682535,46.4878735005,54.3812235686,56.1782491244,63.3949022788,69.9351581324,69.1996094498,68.1133255381,75.4675751865,77.2019979479,77.9716861237,78.727720829,78.7966087486,80.4162005826,77.64213051,82.5128593075,81.6373236188	0	hyperbolic	0.08	132000,,
150440	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-11.2551378997,35.0253228138,59.5451996111,77.1814772328,85.2498776752,95.0248511964,97.9971356623,102.413901315,104.624287454,109.352814391,113.190153291,113.18904186,115.813644215,112.817993464,118.789517607,120.682716291,116.64962758,121.319311166,120.983172704,123.073574884	0	hyperbolic	0.08	132000,,
148513	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-35.161788554,14.3533210074,40.2812804948,54.9751474444,66.5279226997,73.7804449013,77.2405061097,87.5794219679,89.0587227294,93.3104441736,94.9833071396,97.8029788568,94.9721811801,95.890306867,100.619447986,102.703782965,99.8103048134,104.981302293,104.318264528,102.386758129	0	hyperbolic	0.08	132000,,
151359	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	81.0634761038,128.08323113,152.411616704,170.556107828,177.337499905,183.972221972,189.934182938,194.380810128,197.29041526,203.922014883,204.170244468,204.107139662,206.235523496,206.605325589,210.704013004,211.158284049,212.591647105,216.312248736,212.315435945,217.347110802	0	hyperbolic	0.08	132000,,
148182	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-119.511463409,-73.3282394753,-49.7863460822,-28.7701561747,-20.4271328679,-18.1948018708,-7.93196045067,-7.04509207845,-3.08699720795,2.99702623041,1.32290070932,3.51789103349,4.90866774685,6.39028049332,8.80328195082,13.5033186472,13.9021956436,9.47855058128,16.1084860901,14.8516600961	0	hyperbolic	0.08	132000,,
151484	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	126.856407189,178.976775021,201.04702077,217.200957833,227.810605155,232.3770121,238.992295199,246.674277054,248.240474257,250.575503481,253.899021957,252.325223116,252.586516418,260.006324663,261.955456907,261.281841737,260.671622309,261.004202806,265.449783293,260.79899449	0	hyperbolic	0.08	132000,,
149052	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	127.561685722,178.082492345,202.19602391,214.716617742,228.502592565,232.797780989,234.996930853,241.096348987,242.169830782,249.492151129,250.20985759,252.276367148,254.621746621,255.776248911,254.852354863,260.067732354,258.210186315,260.577863533,257.780574748,260.421457482	0	hyperbolic	0.08	132000,,
149451	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-65.5407099522,-21.7044536342,5.31990048337,20.2204138848,33.3648416834,39.1431511352,41.0141894869,44.7500596917,50.3641913946,55.6642848442,53.9128747377,61.3441255626,59.6232907817,63.3213445471,63.5577686993,62.5619370752,66.851322415,63.1210009167,66.8181863112,69.5879087392	0	hyperbolic	0.08	132000,,
151106	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-70.0021699911,-23.8166898648,-0.227047531977,19.249711705,29.4454385763,35.9270043893,37.2148593872,46.7383244016,43.8114136559,46.2988376957,50.6390946119,55.9964740479,54.4581371603,58.9583105873,57.2584571014,58.1226152497,63.1627729422,60.4136097272,58.5845016559,63.666574885	0	hyperbolic	0.08	132000,,
149012	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-57.4496205654,-7.43600243209,16.749489458,28.9186499621,36.4150645357,48.6041057433,48.9206498167,55.7856206957,60.7093904664,60.4602193197,66.1840638276,68.8460399588,71.5330146479,68.4760644485,72.6539464924,73.6562587242,71.2329609906,77.0300651657,72.3098069281,76.8820340426	0	hyperbolic	0.08	132000,,
150276	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-101.849704623,-51.1233302797,-23.6511973373,-10.0522836392,3.29317054336,6.98793592732,16.3425798737,19.3957774137,17.664782494,25.2545419815,25.7538690943,29.735695553,32.5934627531,31.2261259828,29.6934182207,35.5267694514,32.4398225518,38.1388565982,36.4120615897,34.8704530367	0	hyperbolic	0.08	132000,,
149627	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-47.7442459189,0.843585755339,21.9243884631,36.1263794243,49.4273019112,56.7457463008,63.6584041726,66.0180101918,66.2870618314,70.7468925141,72.6798467242,78.8444685479,76.1727450018,81.9992376585,83.3739724327,79.2586429627,83.2990599287,84.5539042609,82.4891214095,81.8949960667	0	hyperbolic	0.08	132000,,
149601	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-96.869386525,-41.7691587781,-21.7968876348,-5.75231327266,5.41123796182,16.2821163462,16.2239076019,24.376189858,25.5977086979,27.5267514839,27.4873262764,30.547000159,37.4092188814,34.2836977565,34.0996880341,38.0791952989,40.1380012493,41.5104693336,40.4147662369,40.9279565601	0	hyperbolic	0.08	132000,,
151959	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-80.0015088492,-30.2578338639,-5.84444881628,5.88289672796,19.1223845092,27.1741580807,30.8560414252,36.0943238011,38.137862798,43.6705823099,42.4006986901,46.3555942537,45.7333814703,50.888511998,47.01703809,53.3837966559,49.9965340181,52.1376525288,53.6918157159,55.2967490808	0	hyperbolic	0.08	132000,,
151699	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-2.15997661537,49.079025642,70.3829244546,86.1884009534,98.1744216237,108.92897861,111.684938368,116.489607961,116.915978375,124.362635459,124.469432903,122.241956742,127.107754279,127.40657015,127.33073529,128.629759205,129.673446035,132.96933565,135.584362512,134.956236864	0	hyperbolic	0.08	132000,,
148193	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-11.6528201145,40.2505508019,66.539661265,84.1999150054,91.8678899653,98.8940533846,103.098418152,105.154482089,110.466411309,117.143248339,113.301381922,118.141013818,123.476878436,120.562051527,120.890343466,123.902986737,125.727556577,123.499749194,123.814395821,125.978783484	0	hyperbolic	0.08	132000,,
148346	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-44.7759966958,1.0179379968,31.4407721124,44.6673475672,51.1440082884,59.0349479246,67.8688232969,73.9644848422,71.1251171455,75.9459839482,81.056779137,84.077865331,79.7681951064,87.8107630306,86.8280850182,90.1188373737,87.1876753517,89.6113508958,88.2903089444,92.2731560386	0	hyperbolic	0.08	132000,,
150078	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	36.3221002426,84.4934442346,112.50690366,128.114272388,139.975942668,143.36691257,148.710990923,153.634765629,154.487599687,160.420770225,162.825365797,166.895684996,162.393083175,166.513889409,165.913150413,172.541219962,172.31119599,169.02712767,173.652708881,172.995091638	0	hyperbolic	0.08	132000,,
