ID	X	Y	cluster	func	noise	original_trajectory,,
148611	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-0.494333740088,49.2052004377,71.2467358034,87.3625112015,99.4270033475,100.307220718,110.350141191,111.130720807,114.859145897,120.809837096,120.030880711,121.766182886,126.960468841,127.300192101,126.053243563,131.91239137,129.810840594,130.720194072,132.872012212,134.71815491	0	hyperbolic	0.08	132000,,
148876	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-95.4817917333,-49.181053732,-25.0974400505,-8.10244028613,3.04311736203,13.1282747694,14.036512114,21.0440741315,21.9464462215,26.6493937675,26.5050207963,29.9331611897,33.7217789634,35.5969948353,33.7414003066,37.6828344507,35.250609322,37.1962009124,36.3925943121,38.072562435	0	hyperbolic	0.08	132000,,
149623	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	124.60313383,174.641361543,201.183774725,219.202789506,227.078370059,231.252892945,238.924995667,241.883171695,243.946072264,246.687489602,251.255756864,251.779533387,256.394006171,257.483099816,257.187797685,259.671306745,258.422189487,259.040632747,260.07586122,262.00498935	0	hyperbolic	0.08	132000,,
151257	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-34.1662535136,16.1933058586,41.2461204148,55.9774474886,71.0128159738,76.875265739,83.4059072876,81.9269126509,87.4274118303,92.2070920846,94.3891137539,96.1904526751,98.6677834059,98.3496277256,98.848690357,101.484309374,98.03528812,103.998388005,103.400334133,101.7867731	0	hyperbolic	0.08	132000,,
148179	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-26.1459413708,21.7279545974,45.8747544592,60.1122635168,71.1629824168,81.4499112025,80.16593337,85.9876681396,87.9542567471,95.2350890226,98.8844744484,96.0779815108,97.5193559874,98.4180916644,100.535848534,101.306953334,101.342919145,105.412115674,103.938120739,108.011952195	0	hyperbolic	0.08	132000,,
151709	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	58.9910002244,109.800360884,134.596732837,147.925820862,159.387960511,167.316710657,174.547889667,176.894434147,178.29902451,181.637672706,184.838933233,187.314557269,186.982229745,193.543811742,195.436732612,194.6827669,190.928076226,195.763631598,195.569115599,195.543183041	0	hyperbolic	0.08	132000,,
149787	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	90.6239896615,138.835986005,165.0696682,177.64367385,185.260880712,195.776320804,201.600437542,202.681974159,205.879239604,211.260348626,216.146528809,216.450697665,217.904759836,219.064692577,217.706941983,220.713893571,219.683470003,224.021122394,225.560020162,226.840045261	0	hyperbolic	0.08	132000,,
151657	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-16.8330272929,34.4052794837,58.3951030954,72.9444060451,84.1017174839,89.1579350491,96.7113684907,94.5846383737,101.088522625,102.248532633,106.883811162,111.301434742,108.975931983,108.677717131,110.007437613,111.998390128,116.804749066,117.780677912,113.532035563,118.49126789	0	hyperbolic	0.08	132000,,
150435	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	68.1691959073,112.663444799,137.331503767,157.66281025,164.719898444,174.291486656,180.452452845,178.966798925,184.204893667,190.783470584,190.648941028,192.161952448,190.883671389,196.65066473,198.361452587,201.028878007,197.835074111,197.269665631,199.675196327,200.463821505	0	hyperbolic	0.08	132000,,
150529	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	120.458912824,174.933091657,196.790866744,212.203569397,220.98080316,232.425966946,234.652517653,238.615764928,240.176729034,245.558257257,245.360485541,249.255688678,249.902545789,255.690319514,250.375498989,253.308489626,257.132497868,257.723282656,257.770917029,257.497070483	0	hyperbolic	0.08	132000,,
