ID	X	Y	cluster	func	noise	original_trajectory,,
149127	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	4.90000445669,49.510707669,79.6754917171,93.8016150624,99.8759512762,106.844948463,113.65493569,122.040934353,119.949426131,126.61428218,130.66402233,128.330480111,133.501124139,132.688565143,134.355959028,138.351318194,136.911200955,138.271478953,140.495444161,141.649322356	0	hyperbolic	0.08	132000,,
149182	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-71.7897994264,-23.9934540046,2.93016948558,13.9358343559,23.9005649664,32.7643247413,38.171903923,44.2685594269,48.9997803334,50.1525604002,52.3147959748,50.7240259217,56.8516313915,53.8107453461,58.8444864464,57.3612806462,62.0173061348,63.2895395425,62.5400720721,59.6581944509	0	hyperbolic	0.08	132000,,
149767	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-69.8544352636,-13.9155211825,7.3150862664,23.0971404843,34.8002616541,41.077721535,44.4245218414,46.9543252194,51.1092177359,58.3770550953,56.4123664551,62.9983651412,64.7469485288,65.1717638839,66.5933843378,62.0582795812,62.9255442904,65.1109047123,65.9407861839,71.5178064027	0	hyperbolic	0.08	132000,,
151512	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-56.2100100663,-3.20102482801,17.3890530572,35.573527321,44.6478058117,52.1894780015,54.0804609583,58.5035834135,65.7888657576,68.69114266,66.5669500572,73.1756026083,74.9586516278,73.6239401845,74.8690603014,76.1101116284,80.9209810293,76.8121335301,76.7291260761,81.3601936092	0	hyperbolic	0.08	132000,,
148598	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	65.5112595753,113.469222375,136.837455948,152.413019234,163.957045493,167.317606259,173.07738985,178.180542529,181.726227625,183.393639469,188.345212787,186.253715327,190.006882205,193.878743825,192.178590976,196.944259383,194.896038264,194.598659367,200.186352508,200.655960557	0	hyperbolic	0.08	132000,,
151180	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-75.5000404833,-25.7189921202,-0.6957178852,11.1227339539,22.2076181912,28.2426527933,34.8399251392,39.2846230453,41.3029305809,48.5438345238,50.4360188264,47.9458538819,52.8186808213,53.0590812744,55.5348872695,56.9614541489,54.8149494064,59.2572986701,58.4148280117,59.5965103358	0	hyperbolic	0.08	132000,,
149524	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	91.3620411875,142.291670985,169.009601938,178.336198336,193.120528933,200.472029501,206.10820613,209.339305351,208.231803525,216.558396775,212.628306095,216.950151954,216.883858874,221.092567339,221.737998283,221.442882127,226.600586824,226.991400158,226.045552202,224.870369985	0	hyperbolic	0.08	132000,,
149954	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	13.7275487238,65.8276278586,89.9916264644,106.417836111,114.906350829,117.653903602,128.180767398,132.612755202,133.782024493,132.832221464,140.83039234,138.968306926,143.152812185,140.793225105,146.435953435,142.386235628,146.34568154,149.760510721,146.152735942,152.09873956	0	hyperbolic	0.08	132000,,
149651	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	20.692038579,67.2576842039,94.5914237121,108.655868972,121.348815224,122.713233491,131.195805902,137.751062078,138.690964446,143.744805375,142.150977056,145.818953632,145.191676083,145.686469717,149.03709627,154.655973649,154.196718525,150.764517603,156.016982054,155.699634004	0	hyperbolic	0.08	132000,,
148345	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-20.396050141,25.1001570209,52.1000873883,64.6339322824,76.5423538811,84.7102731647,90.73582264,91.1248138421,93.8020957099,96.2965253225,100.076309204,100.782640839,101.952490943,105.220796602,110.112363972,106.995261666,107.855149099,112.413486098,107.84179209,110.051328543	0	hyperbolic	0.08	132000,,
