ID	X	Y	cluster	func	noise	original_trajectory,,
150272	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-7.35320067391,48.1551743271,72.8038323491,85.0874234759,96.0345419146,104.021455657,106.81601178,108.397056885,118.492274893,119.975911857,121.128761307,119.336735899,125.326255534,122.130533293,126.374037032,127.940951203,125.293998789,129.830828288,131.864979081,129.102830477	0	hyperbolic	0.08	132000,,
149977	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	57.016593738,105.946111887,129.284284239,149.680493001,155.985771336,163.220335399,168.129193616,173.625749233,173.856366587,181.794751263,183.267914534,181.970794538,182.844931267,187.350046044,187.61781557,188.764354692,190.035067202,193.999121939,193.699719132,193.72372879	0	hyperbolic	0.08	132000,,
150013	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	81.7332923565,130.926904345,157.791864824,167.42185217,176.715961233,184.436747901,191.146635873,195.194568827,202.057015149,199.641896791,202.912527685,203.595582902,209.629140047,213.053468384,213.432288427,211.12833399,216.047227356,212.892967826,212.699799648,212.889609271	0	hyperbolic	0.08	132000,,
149163	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	112.652696278,162.349459379,191.870640297,203.763919341,211.439353885,222.193153041,223.870065154,232.138529559,231.183561372,233.633822557,238.486035071,240.657677895,243.634580343,246.948224839,248.033277324,244.59154562,244.674702834,244.978544251,248.957083144,252.998708548	0	hyperbolic	0.08	132000,,
150241	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-127.365466483,-79.9834273568,-56.4066302132,-41.6007619141,-29.3912164763,-21.1012469235,-18.2674400979,-14.6841115397,-9.90980695186,-6.11296599875,-7.77912521348,-4.99666581884,-4.07154998901,0.551157915999,1.10029980719,0.713457960335,2.60285231644,2.92259431601,2.75791634573,4.87287442295	0	hyperbolic	0.08	132000,,
151426	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	101.241129238,150.584827404,171.534966405,190.738822664,199.720104612,204.756097329,210.281961957,212.161136826,221.076989948,221.930862902,220.707381678,225.545901354,228.526872513,226.963991668,227.829210689,232.040163582,233.361680221,234.803614942,237.143713381,234.75160048	0	hyperbolic	0.08	132000,,
150258	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	24.4092499129,76.381413416,100.198700263,114.517186329,128.888066401,134.862195189,136.909806811,140.195120568,147.210192173,151.596348056,148.376183614,153.068730921,157.038810201,153.809087592,157.089722616,161.828265188,158.598335055,157.833386865,159.457724401,163.589497255	0	hyperbolic	0.08	132000,,
150949	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-62.6341377918,-12.8023924765,15.1293826029,29.1902306024,40.2996184314,45.8114322716,50.8045349146,57.1682067213,56.7124124224,63.9692922012,63.0508888708,64.8237406904,70.979596405,69.0816105613,68.3959541871,69.627164896,72.4464417858,73.9758278549,72.1467977145,76.7938649804	0	hyperbolic	0.08	132000,,
148655	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-24.6067969035,21.0799815402,45.2625507032,61.6280749377,75.7305510699,82.2641690929,87.1676917095,87.0196837555,95.0204157466,92.5277283935,95.8104224588,98.33465373,104.586050234,105.264781719,101.694653391,106.249741094,105.666172385,107.263315167,108.540655045,106.924506388	0	hyperbolic	0.08	132000,,
148628	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-56.6070940277,-5.59306385616,20.7587169852,30.3263050911,44.7466842268,52.9303503519,55.9457163264,56.3898628672,61.3269257418,68.9250391232,70.5635805392,71.2013911901,70.7621874871,72.0266899939,72.4265569257,76.275465099,78.9434819774,73.9779619772,76.9234858251,77.0524401749	0	hyperbolic	0.08	132000,,
148955	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-92.1141541407,-40.4416483044,-14.4746293657,-0.848746441788,13.2947924612,18.9439598592,21.967319361,28.1944327053,32.3684373934,36.2144637494,34.3609988088,38.2274969735,39.4450558638,41.1906143401,42.8982932218,42.9716886259,43.478977819,46.3149088727,47.610261111,43.4802600512	0	hyperbolic	0.08	132000,,
151565	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-104.240883521,-57.0358460575,-33.2054444336,-17.6507739316,-3.34512230402,2.05501514415,8.08717762955,11.3439278063,10.6437794598,12.9401407359,17.6521555634,21.4567834391,23.4333529932,19.8797514192,26.8240386878,23.7624174059,23.7287538687,27.7352165949,30.9012239313,30.569597234	0	hyperbolic	0.08	132000,,
151117	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	18.5151182473,64.9842108426,91.5027659224,108.753958587,114.684317514,125.288415161,127.616327015,133.962818279,139.403274022,138.329572215,142.952086196,143.195998151,147.621998283,147.406824251,148.372894041,151.064252471,150.621484711,153.112865171,148.809327474,150.763698082	0	hyperbolic	0.08	132000,,
149758	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-72.0836666315,-25.8346935692,3.97474439779,15.048510988,24.1783696919,36.8465989901,39.1610847422,40.92630011,43.5103701918,51.4610849654,54.7291785968,55.9570031158,57.4136466116,56.6033515126,54.7742933923,58.8037233692,60.0889571176,60.5275051873,65.2488477358,62.2674298868	0	hyperbolic	0.08	132000,,
148238	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	35.9191626869,89.1764515634,113.264032743,124.935392826,136.322682881,143.584651821,147.508323041,152.83177446,153.885518871,157.561594684,160.561160385,162.957082554,164.969240173,168.018978813,167.195215245,171.381548034,172.706835662,173.609644865,171.829677519,173.982794266	0	hyperbolic	0.08	132000,,
149640	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	26.873090172,80.839655848,107.197475562,119.277385165,129.886300423,135.650688751,138.465811321,148.661944737,147.308134638,153.213742867,155.190386133,155.982928465,154.166428987,155.482183006,158.087586388,163.382477928,164.317369893,161.424880087,165.15315052,165.06202801	0	hyperbolic	0.08	132000,,
148142	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	19.8153868873,67.2858316182,90.1634101201,105.156311522,114.330613352,127.090961367,126.040504006,130.07219083,137.701198794,138.667878252,139.413906388,142.177737592,146.589940244,145.131041674,150.719616156,152.190642523,146.966226372,149.086333125,154.681432518,152.163315644	0	hyperbolic	0.08	132000,,
148037	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-113.764362302,-67.8605839639,-41.1315208054,-25.7963316143,-13.0282732677,-6.01624341768,-2.31744822393,4.37967731927,2.66808027712,7.91264713611,11.4649188349,8.88065294883,14.0878339563,14.1926579592,18.768568409,18.9393739296,17.2634977326,17.1195726284,21.1451209743,20.6506751453	0	hyperbolic	0.08	132000,,
148419	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	42.0295522916,89.9220154927,112.969723074,132.104572352,142.431453949,145.608515729,154.883680974,152.339778913,156.158591027,163.439954585,162.269209525,166.773696766,167.809446333,166.403357654,168.731570008,171.95882712,170.820275924,175.05613392,174.068119882,178.1741284	0	hyperbolic	0.08	132000,,
150091	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	44.5857176516,92.2435829338,115.443346086,128.729519669,141.039103112,147.51065813,152.697378351,154.944247094,162.722575426,160.811207514,164.421076368,165.25108674,167.35275088,169.962373109,175.850490943,172.0918807,176.662791171,175.741500237,178.683261571,173.989102433	0	hyperbolic	0.08	132000,,
148816	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-16.5927883042,33.9175737485,55.32771165,73.3320400012,82.5615340515,91.3220852803,93.9931050738,100.208361199,98.3979299431,104.590918311,109.060574369,107.838508879,111.25616777,113.325224719,114.131024106,113.301319332,111.827010073,114.128475129,118.325218361,115.246525545	0	hyperbolic	0.08	132000,,
151568	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	95.6787996265,145.597362022,176.915444554,188.38294284,200.653141339,204.959041842,214.605030254,212.40661734,216.065506662,222.65501653,223.751422844,228.719006186,224.276921853,227.376544488,227.827144565,232.844383223,229.769201402,232.619640207,232.788797045,236.281712362	0	hyperbolic	0.08	132000,,
148803	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	120.055449268,171.565797213,196.654397514,213.624957563,223.841215314,228.6201596,234.448553139,237.600389078,240.493950761,245.555836022,247.219376802,247.340825502,252.460956741,250.386437508,255.924939487,256.051874458,254.949329727,255.938233393,257.052099708,257.553560676	0	hyperbolic	0.08	132000,,
149500	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-36.6969482238,10.628973126,34.6441849281,53.024673673,60.4776243309,66.3772970904,76.835999027,76.469776354,84.7425683875,82.7795984369,84.0626483395,87.8869538824,93.7958728604,91.1268146829,90.4246581532,97.0362252357,95.3958367136,96.5554314921,99.1878024531,95.01932187	0	hyperbolic	0.08	132000,,
151891	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	76.8210466169,132.051218506,157.658892334,171.462645342,181.912958464,185.16069548,193.739231002,195.396572583,200.05895387,204.447461681,204.97207109,205.335524382,209.041486572,208.31586569,214.042058941,209.979040749,213.79014686,213.909067726,217.876826,217.673454693	0	hyperbolic	0.08	132000,,
151518	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-105.755589561,-55.1793851174,-30.2721320316,-16.9285153335,-5.35780375534,-3.39419863389,5.6769465032,5.79602225822,14.7203792086,16.7444557168,14.2843680453,19.9996053274,22.6306662247,22.8927061055,24.5169610152,24.0165309716,22.3202180659,24.3654971186,25.559222597,27.9716807271	0	hyperbolic	0.08	132000,,
150921	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-8.85855261411,39.7693909427,70.0058169041,79.8953368442,91.2551162456,99.0008248941,102.213584041,107.185944048,112.418431874,118.064208105,118.584866567,118.724310277,123.961279182,123.893197347,125.072317773,122.858119151,122.795583642,124.893204656,124.975288589,129.537378618	0	hyperbolic	0.08	132000,,
149470	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	32.2583283503,81.9861362997,108.333723147,123.784973056,134.104135346,142.141802937,146.900646107,153.3066482,153.193002713,158.941205345,162.485216818,158.966906051,161.3608654,168.084362698,166.717860256,165.534496392,170.222700755,167.991742498,168.98768743,170.388611281	0	hyperbolic	0.08	132000,,
149365	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	90.8710141087,143.132108215,165.451432791,184.881438368,188.548618019,201.728714448,202.969914425,204.989682733,209.071797964,212.851035331,218.213589297,216.707389392,219.365243559,223.285854865,222.775597296,220.677299821,227.041886589,223.303464718,227.311465349,229.80014808	0	hyperbolic	0.08	132000,,
149572	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	14.9674771839,62.7271393728,88.4923869872,106.197885813,115.032431355,120.49969066,128.334772705,133.343795753,132.842372728,133.727683423,139.018432739,141.090053877,142.105592556,140.860353272,144.588726575,143.03007789,146.308126852,151.493004872,146.456752571,146.964635545	0	hyperbolic	0.08	132000,,
150390	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-112.670660249,-62.0913763999,-33.3737996896,-23.9667396416,-11.8838390087,-4.98749840189,2.60352306284,2.92873731861,5.71409647685,12.4254153315,16.5979381952,12.5410287412,18.5094696459,19.0292851118,18.072822307,21.1575863955,21.6034010571,21.5737009395,26.9171698926,24.7890844597	0	hyperbolic	0.08	132000,,
148107	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	5.89033454864,52.8239383298,82.7471805463,96.40094613,102.121628895,114.261103678,120.006988946,120.198889951,122.906575362,126.961357698,130.221297253,131.102760937,137.350840517,138.164881166,137.698518046,137.480086227,140.714351561,139.687659771,141.904093574,142.062322482	0	hyperbolic	0.08	132000,,
151833	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	63.2824411722,112.882826334,142.507501149,157.433250642,164.473774895,170.023920762,179.150732157,182.846752663,182.249472001,188.297673767,190.219091997,190.86023547,191.252550406,194.926096383,193.872856716,199.65198261,195.339689053,199.361935546,197.091812042,199.263641731	0	hyperbolic	0.08	132000,,
151712	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-6.811855728,43.8753526284,66.4328324816,80.6624417483,96.8505530104,102.810262684,105.529254925,111.7371903,112.667365722,112.752625076,119.40964681,119.224623112,124.076831771,123.175081836,127.614892567,123.882934826,124.957599026,129.227666082,125.180705545,125.851420963	0	hyperbolic	0.08	132000,,
150182	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	115.520605731,167.834009612,191.217772868,203.794717729,216.340611126,222.784879825,230.147808785,235.420858727,235.947277619,239.910842244,241.133240667,244.203467349,247.540070623,248.344834702,245.437254122,246.269517763,251.126808608,252.600189764,248.941508499,250.508526838	0	hyperbolic	0.08	132000,,
150842	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	13.1834397735,67.2131091769,92.4027997614,108.36726947,112.69655101,119.666314443,128.937866759,131.284699532,132.539599248,138.074623371,144.003896936,143.60805045,140.933897097,146.756747959,147.53166094,150.889918584,146.494771978,149.171426289,149.683211805,151.011711017	0	hyperbolic	0.08	132000,,
148180	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-18.4764445399,27.9498538879,52.2763948029,67.9718697562,80.2003639801,86.827730313,94.4229815526,93.5751382678,97.322469789,101.606908994,106.737241346,106.00142878,103.816038686,108.898682676,112.350607135,109.35982741,113.651287848,112.97177841,114.460333473,111.285523232	0	hyperbolic	0.08	132000,,
148426	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-118.144325551,-66.728633796,-43.9600094114,-26.1782520121,-14.0689537799,-9.13067317857,-3.85983251048,0.33071855595,3.32705668984,5.37685666241,8.34914094307,8.64974226395,14.751800629,12.7681723719,17.1125867843,13.2157604375,13.5839441308,17.3284348504,17.3198121963,20.0024833445	0	hyperbolic	0.08	132000,,
150360	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	118.765669136,165.841112592,193.915493113,206.708335094,220.290534246,223.215169286,231.528007447,231.552808058,238.796905609,241.231820543,242.613443351,241.484226828,244.176168446,246.691377692,249.247352252,246.629559658,249.163314247,252.247820174,251.705384957,249.879100933	0	hyperbolic	0.08	132000,,
149464	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-129.439918444,-75.9855830052,-55.2378428913,-38.5215766635,-24.8477800925,-24.1108744778,-12.9224244139,-11.7350320637,-11.156874428,-5.90773313343,-5.38461548342,2.02780983193,1.85976167795,5.12273311736,4.16320940877,4.42046355799,7.52281611202,3.5000921577,8.22126451431,4.5781377004	0	hyperbolic	0.08	132000,,
