ID	X	Y	cluster	func	noise	original_trajectory,,
157974	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	112.804586472,169.082417305,189.491930541,207.492479151,217.552175813,218.054612046,228.916197668,234.612013409,229.529320588,235.284630881,238.06896885,242.730673871,240.13327253,240.343104475,246.797573079,247.76357564,244.859492633,245.279575003,246.180231896,250.961465013	0	hyperbolic	0.12	132000,,
156903	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-5.134155972,49.749440755,72.2184572344,83.6483545927,101.73485536,104.892498609,111.725942629,109.943540307,114.816140114,122.422008805,125.560869672,128.037045353,127.609305416,131.427838424,124.531931092,132.961334474,125.630356554,130.45063795,131.258929541,132.498048645	0	hyperbolic	0.12	132000,,
157123	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	98.221432421,148.250191693,173.102667608,181.612664156,198.069569382,197.04209587,207.169706882,214.109414587,219.327285027,214.811948716,215.993833824,217.904789092,220.795332451,227.918339771,230.200091388,223.077836615,226.964458785,226.812399174,233.788986644,226.840196568	0	hyperbolic	0.12	132000,,
158513	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-109.752207286,-63.2975119496,-30.1162802245,-18.4673289914,-7.77496416667,-6.85389856049,3.52858550681,8.70894817642,12.220522159,14.9785399919,17.0046033146,13.7461406253,19.4653476975,22.350349167,22.5496639744,23.2652284006,25.3633839725,24.1756942704,25.1148143945,22.7043859647	0	hyperbolic	0.12	132000,,
157144	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-36.6682875589,11.8851495826,30.158972141,45.8793141419,60.5768674845,64.9883820434,69.1018992172,73.9441274778,79.5308502868,80.8112715281,81.4645083043,88.3381047803,91.7833308751,89.5833791229,92.7892911548,90.4561337566,89.9400222586,90.5410729243,90.9780036106,90.3963982593	0	hyperbolic	0.12	132000,,
156954	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-137.487471791,-88.2000068419,-58.7347827148,-41.6705542287,-33.8971402237,-25.8356816167,-19.8389015209,-17.9103000142,-16.2183130742,-11.5401272322,-9.92991672361,-7.71943198509,-3.32624260102,-8.00321595831,1.85429274052,-3.38828811575,1.59121272484,-1.96241211971,0.211073019235,4.25361306266	0	hyperbolic	0.12	132000,,
156126	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-105.027446806,-47.6200001201,-26.288163406,-5.50153810494,-5.2502808503,1.94436525348,16.0258426838,14.4056735581,14.7493085433,23.4891801712,28.6803708462,24.6276240446,26.6088050953,25.3855372631,33.3127388492,31.0710683396,35.5640560296,31.5911744116,32.5049279767,37.2225374033	0	hyperbolic	0.12	132000,,
156746	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	62.9727466223,116.900101947,136.718012127,156.24691067,157.42102861,166.66933065,170.477731249,177.440978003,177.351912903,182.225515891,189.245754647,188.882799063,195.471072771,195.877418162,194.375680854,197.449161552,193.243723683,194.713178172,191.871441328,194.042158567	0	hyperbolic	0.12	132000,,
159474	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	115.699410264,167.165360394,193.129951142,208.597899984,216.653834902,224.903063285,234.30393995,234.801784488,234.33608397,237.683646925,241.584580556,246.164385748,247.221529256,246.433468611,252.263904182,251.609658956,247.758139994,251.274700876,257.014296769,255.653725161	0	hyperbolic	0.12	132000,,
156653	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-121.714975303,-74.2709297662,-50.5993110759,-39.6113565047,-29.423880956,-19.9638593414,-16.7334641395,-13.0701627503,-7.73668137949,1.28263545973,-0.405942470208,5.38342646255,-0.107009475885,3.38244256065,5.85259951008,7.93647895732,11.9276919143,4.46403495519,10.8572946669,5.68700423947	0	hyperbolic	0.12	132000,,
