ID	X	Y	cluster	func	noise	original_trajectory,,
333926	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	200.812718563,205.191498863,203.973717504,207.738591761,208.186863101,205.649833303,206.41041643,206.53239466,207.560999458,206.662441531,209.873742395,210.221159217,207.029591278,208.994837366,211.032038735,211.295794382,210.910021528,210.176128816,214.571991571,214.641785003	0	tan	0.12	308000,,
334356	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	198.039184695,198.497952959,202.071608796,198.051067087,200.158835557,201.957783663,200.731419625,203.027678265,198.835447791,198.588690303,199.364380178,199.463018077,204.93355275,205.096210852,201.285592138,203.795150851,201.642440684,206.384423903,204.661894897,206.066608931	0	tan	0.12	308000,,
335564	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	216.038932973,219.068016924,218.631275095,219.937163495,219.452394509,216.320607683,219.910365011,219.374108622,218.956097748,222.009141801,217.745818339,219.848943873,221.63251889,219.310972716,218.898205118,223.700123761,219.767405773,221.96440606,220.584153025,223.903184212	0	tan	0.12	308000,,
335590	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	178.542774892,179.861044177,182.074089958,181.032898118,179.847156418,181.783394157,184.489141187,184.874005126,183.325541289,180.064234506,185.562236535,182.691572109,180.113376189,180.911192956,184.081627683,182.351570042,181.483908958,181.496361953,187.225212633,191.368006737	0	tan	0.12	308000,,
335601	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	189.381922646,193.06072706,196.169996913,193.35936527,194.400586959,195.524024743,196.142801496,196.608686502,196.210974995,197.006289096,195.584727646,197.42547478,198.28686974,199.375199826,199.305406252,199.654695315,200.050683047,198.011605654,202.902051829,201.284201837	0	tan	0.12	308000,,
332442	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	180.203227299,180.182596145,180.318904235,182.795770413,183.19472471,182.525142313,181.828465794,183.849156087,183.285739834,182.810017274,184.532682475,187.206364575,183.649748354,187.572467693,184.698529164,185.308142452,188.270794895,188.607284823,185.29423795,190.032369742	0	tan	0.12	308000,,
333947	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	187.885830269,193.478596708,194.288743078,192.655642192,195.112963365,194.279358798,195.588753831,198.944038675,199.15267946,194.357313848,194.435147721,198.010275398,196.310894983,199.842105902,196.492716329,199.794733242,197.069117574,196.568002238,201.989661953,204.626688463	0	tan	0.12	308000,,
332045	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	212.726526296,215.439546744,217.935783663,217.277142323,214.426973143,218.756462367,220.081308836,219.958709806,219.87884854,219.974136687,219.904159867,217.113243055,220.288005907,217.641622691,217.493183522,220.972554266,217.322519238,218.603666755,222.729071098,225.560399627	0	tan	0.12	308000,,
334361	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	192.678174597,194.519117139,194.683650681,198.592919644,195.933412979,195.150794559,195.982174616,196.13594975,199.486743144,198.334485174,195.223246354,197.123199559,198.102180195,197.201005633,199.273756152,197.268746663,199.979388127,201.086078088,200.030884113,203.954810671	0	tan	0.12	308000,,
332272	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	197.108062237,196.924511447,198.745397911,197.310514458,199.374138071,198.744331002,202.275775543,198.938782594,200.70370586,202.856234807,201.392834839,203.382484566,202.569876794,204.057131201,200.867839799,200.981782955,200.057068368,205.212577589,206.576243176,206.909528946	0	tan	0.12	308000,,
