ID	X	Y	cluster	func	noise	original_trajectory,,
158072	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-95.3705924012,-47.457673117,-26.9971088497,-7.88027977265,2.4559443513,8.2959493319,14.6638141682,15.4187565195,16.9823118719,23.1667203082,28.6047479808,25.4985522213,25.7437062535,33.7417196278,28.5013960933,29.3368815678,29.1376460756,31.987325462,37.4636386257,37.5902520631	0	hyperbolic	0.12	132000,,
157709	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	127.887565447,175.737263548,200.671462916,219.836809514,228.817105528,228.510516294,235.905694497,243.034677077,246.264471761,249.640178699,249.883314618,254.731311378,257.040816137,255.629027005,255.416516087,257.125538968,263.139442898,264.337120274,265.711880582,262.885390887	0	hyperbolic	0.12	132000,,
156808	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	38.6072293166,88.4690962516,113.508705312,131.787385199,141.456118889,146.324048711,149.416298229,153.983351332,160.748440719,164.603451996,162.79078878,164.826566712,163.472308253,169.002312393,171.357753869,165.317296546,169.791533883,170.949306852,177.00714612,169.598693216	0	hyperbolic	0.12	132000,,
156510	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	80.8180554933,128.738944832,152.570004675,169.873278908,176.717013938,181.622144114,193.145377948,197.634480473,200.548470431,204.018745524,205.167879744,205.8197646,203.033049054,212.482431529,205.255782612,212.845764171,213.439555522,210.169206802,217.174470025,215.08478687	0	hyperbolic	0.12	132000,,
156247	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-26.1919155169,30.9237360498,52.8018358193,67.8157228665,74.7925066783,89.5109797826,95.9258586844,97.3434360656,96.7690047066,97.4936533415,104.897547674,102.490505824,102.757150048,105.56587193,105.134764588,107.212990589,108.238245429,115.444927452,115.435465714,116.643871871	0	hyperbolic	0.12	132000,,
156211	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-77.1539511999,-26.3800154025,1.07774035469,12.1898070019,25.4982916737,27.409263124,31.0828950917,37.7699698623,36.9437829021,39.2157769587,43.6059478433,51.40431619,49.8305850261,55.9648978029,54.9099070903,49.4698959221,55.9287734618,55.8190919034,59.1245392635,51.8033072195	0	hyperbolic	0.12	132000,,
157821	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	20.9535698871,69.8186979416,89.2968901413,104.421583635,111.572610526,119.717059163,131.642633347,128.872332329,138.578034611,142.851482709,137.138511675,146.454985769,146.184920945,147.3820679,150.582137728,151.71088152,145.559331528,145.529760168,148.248258443,154.36138574	0	hyperbolic	0.12	132000,,
156777	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	123.892911045,178.976046217,204.875225333,223.814945,223.958301365,235.343649211,242.720830166,245.021007274,253.792787714,251.390531186,249.654684008,256.215820415,257.365542585,255.670451353,255.230143024,263.979481505,262.507363101,259.887646086,259.924591205,260.310791696	0	hyperbolic	0.12	132000,,
156354	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	92.5443106155,150.585004169,174.285924572,184.783176876,196.876622431,200.904071076,208.744543689,208.812679835,220.146666759,217.13688349,224.153515622,222.172514086,222.973956368,227.812098255,228.237647842,226.473476813,228.849890126,234.151281047,227.16159925,229.732287784	0	hyperbolic	0.12	132000,,
159874	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	5.69322255118,56.6178623472,75.714452118,97.1351650377,103.343654678,106.94518523,114.319198413,124.092775331,118.32584012,124.898468036,126.332716547,132.324154978,135.593281559,134.698843551,133.232175154,138.451732215,141.678821687,135.849035855,142.453115789,135.978538085	0	hyperbolic	0.12	132000,,
158910	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-62.253295988,-9.45809296044,16.7038755373,31.1573039014,32.5401174305,48.814799989,47.3760776384,58.014773283,58.3307090357,56.6861329353,62.7018296919,67.9747141221,69.8076286902,69.6068308248,71.075609322,67.9925832493,67.8122433965,69.5757919866,69.7388580657,76.94356865	0	hyperbolic	0.12	132000,,
157127	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-64.054096681,-16.5796378816,6.42590873155,20.1634701937,38.5221502575,37.2509342275,51.7452387514,52.8263154851,58.5074749248,59.0199895318,58.1326736139,58.105014395,60.2729087884,65.5349668331,69.3661083291,64.6608302868,66.9194085305,72.9132036853,74.161416152,73.8755636172	0	hyperbolic	0.12	132000,,
156047	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	134.45518008,183.464173833,205.74042759,221.288996748,232.009533437,236.086482275,245.430022035,252.66151205,253.25961306,256.950831354,253.301979815,264.05660641,262.651914894,258.446126837,259.835634107,264.235339644,267.675625631,270.713144758,265.019735675,268.261462387	0	hyperbolic	0.12	132000,,
156704	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	2.03680528449,54.1921970796,81.8676762148,100.579085493,103.227055417,109.471335419,123.190175863,127.428515902,122.32247192,131.609497975,135.211888653,130.414640058,132.605909048,139.740672303,133.4788986,142.378452236,136.215432686,144.143096956,139.015535101,141.850234049	0	hyperbolic	0.12	132000,,
158225	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-60.3697262103,-4.66186015769,19.3893800773,28.975780064,46.6858901861,48.0124725667,52.6050939513,56.1543988405,65.0681827317,64.9906674208,68.792813718,69.4621106463,73.0596587762,77.6307151477,77.4618176091,74.8699110029,76.7924325433,81.1291722582,79.7814278073,81.9737530478	0	hyperbolic	0.12	132000,,
158328	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	11.4826543136,62.6106484595,86.9106991536,102.692784464,107.543993546,118.384311183,119.00274211,126.522205871,135.162071151,134.736557359,140.347749417,142.823552163,135.290890192,140.172132691,141.668019187,145.447941321,141.073782823,146.784042862,145.79170479,144.268029168	0	hyperbolic	0.12	132000,,
158076	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	109.326772662,159.887930503,182.539453832,200.574227329,208.917167013,215.252309408,218.575973611,223.447397459,224.476373541,236.447014947,229.400106617,236.160074059,235.914351867,242.097426758,236.491850367,238.685830503,244.589711889,246.306438681,245.961773962,246.497151233	0	hyperbolic	0.12	132000,,
157420	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	42.0563812831,94.467224417,120.915419934,140.756780031,149.067904,151.038280037,159.743303553,158.117163851,161.018206752,168.290034972,170.06778676,169.931250447,179.011906857,171.231165944,178.376922267,179.422978234,178.986058099,184.1840578,183.593842771,185.083702262	0	hyperbolic	0.12	132000,,
158053	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-101.357574369,-53.0663911706,-32.6286143715,-16.5138029989,-5.3008523823,4.55884117961,11.4876113297,16.3589536535,21.1974951472,15.2573039908,24.0328814968,25.5587312213,21.8328988063,27.4223626324,25.0987225397,25.3187405478,27.4666239819,29.8392916264,30.9201069028,31.9517371089	0	hyperbolic	0.12	132000,,
157601	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-66.7010548905,-22.6525751323,3.63191371661,22.6400671923,31.0738136701,32.223334742,39.4331678173,43.8263800567,51.0958990976,57.8688933586,56.546583355,61.6316925448,56.8282347429,59.2726411524,60.8752224619,64.0308923464,63.6115204052,59.1663456912,60.0639529097,63.5496188311	0	hyperbolic	0.12	132000,,
158377	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-113.403132155,-65.3420745666,-36.468408314,-20.7385346723,-17.0560499826,-3.67496139453,-5.72883467409,6.82244311014,9.45028332363,11.2782897367,11.2958577694,12.2118613417,13.8412785248,17.81199447,15.3856313784,22.5813053414,17.0955800382,22.3176776554,25.958065548,26.9252074591	0	hyperbolic	0.12	132000,,
156889	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-26.2209113046,19.9065741475,53.2105951339,62.7900909335,70.5436963123,82.9241608234,89.6542764809,92.9756358966,91.7927977973,101.6329341,95.3927216784,103.279964326,101.441188053,99.4699927439,104.6104526,111.60550969,104.957481481,113.403798062,108.000063539,107.306578178	0	hyperbolic	0.12	132000,,
157877	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	38.4274179014,83.3451390315,105.742831317,121.098046135,133.779168835,139.828566785,149.296029518,147.195284619,150.060007164,157.927719917,162.00982935,162.843035147,162.543158632,166.545253992,166.924998809,165.616379205,168.88638875,171.546401965,170.975768637,168.671139984	0	hyperbolic	0.12	132000,,
