ID	X	Y	cluster	func	noise	original_trajectory,,
167233	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-34.8161644558,16.3484764419,45.8375486109,53.3572518222,63.3851898382,73.6543157762,78.4612633031,85.0799617059,94.658601944,90.4659107709,92.4860180404,94.5938985648,102.033923902,102.565507035,99.8707294364,96.4920938789,99.1449444629,100.89122588,106.400565426,100.256514784	0	hyperbolic	0.16	132000,,
165174	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	70.7700658928,126.19723701,145.594672212,159.637130494,166.775366644,182.786532717,187.351364915,193.827698102,197.633351628,196.971619933,199.26584975,201.642413525,194.860986743,205.327732579,208.429093275,204.980902631,211.982053883,207.485634236,210.359029201,204.284195001	0	hyperbolic	0.16	132000,,
166048	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-35.1653958175,8.18042215972,36.069460259,48.6235078885,66.4137369141,63.669828517,66.8802090255,80.5665898266,76.5641746938,76.3284085893,84.98350185,82.970240598,82.4280899749,89.1965789136,97.4458592143,91.0411387993,92.6628897376,97.2672619518,89.3006925772,102.273331873	0	hyperbolic	0.16	132000,,
166414	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	99.0615174504,149.131048536,164.859889622,183.244953066,187.497887659,206.885239745,198.816517063,215.792754497,206.262682965,218.231606163,222.774610317,218.177305002,223.594364677,222.276850921,223.194449106,224.653900255,232.737621007,220.685795879,232.413632663,223.430855463	0	hyperbolic	0.16	132000,,
165622	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-131.409168178,-81.6864536045,-52.3588613485,-36.7135884159,-31.2213649329,-20.9766864888,-15.32223657,-7.60365431337,-2.66918334082,-8.87648637381,-9.21178469911,-2.62421210377,1.02285900299,3.60325136278,0.776775806112,0.965101918029,5.57203808598,0.389698567489,12.9285923263,3.22048481232	0	hyperbolic	0.16	132000,,
165919	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-32.2158396184,20.0682758398,54.3277289396,65.796307489,66.3437706978,80.7229159425,78.8657725389,84.0744522606,95.190060358,89.6549352648,104.462827261,95.2218037171,101.519470762,102.13184109,109.446096151,105.990611127,102.620221503,105.944324318,112.271006552,113.548226512	0	hyperbolic	0.16	132000,,
164422	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	13.9389311765,62.8015253662,83.1616445772,103.071802928,110.386951732,115.169467725,127.404019259,130.487954095,123.690262911,137.102090059,141.868198025,139.551647291,141.660551851,144.458359219,142.391283486,146.066048424,143.708464785,141.896159603,142.390654986,148.68325511	0	hyperbolic	0.16	132000,,
166899	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-77.1321166246,-31.2357582378,-1.16504607115,13.9799968051,18.3700044007,30.8977557071,27.8539288083,30.904155883,36.4782863111,39.9613489347,40.5530792074,43.4888632311,41.6144345266,49.6771083081,47.1784782355,54.8100920069,56.1135135666,55.3748947412,50.5393727202,61.3016053377	0	hyperbolic	0.16	132000,,
166556	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	96.3513561479,143.959562483,161.784356328,184.656414811,193.081029099,202.205681018,198.988753942,203.661336288,210.681640466,211.528499344,211.936853615,219.08277624,220.31993126,215.541989597,219.196434414,224.170888264,219.453492086,228.605138478,222.319942022,231.838632366	0	hyperbolic	0.16	132000,,
165318	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	20.0187232084,72.9625005426,88.0090949539,100.01157358,118.501232366,123.066474178,133.511293463,129.774455468,133.835584596,142.845335325,137.399790054,137.216819919,138.546384697,152.15061713,146.200897085,144.121325602,153.073314638,156.013039541,146.420487264,154.667074851	0	hyperbolic	0.16	132000,,
164721	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-2.00893340079,55.6626237217,81.6458205133,91.6465232906,100.801488225,116.091908519,112.610465347,122.420246318,123.196931462,131.079481389,130.404711167,135.012666831,124.254690788,130.548580943,136.397120555,140.796935345,135.241365611,131.407256864,130.314842297,140.781538266	0	hyperbolic	0.16	132000,,
166285	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-27.7988593011,16.957746458,47.4866177947,53.8295917556,61.2878275595,76.5076990337,82.1015623483,87.1906414551,92.9192467181,91.4069670081,85.4917113605,91.241266762,101.170047491,92.2708131476,97.6148837033,94.9870413934,105.835159631,94.5396243733,100.498953207,103.156335833	0	hyperbolic	0.16	132000,,
167429	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	91.4285009571,137.028668946,164.350747201,176.86994191,184.749677423,193.126889809,202.941652369,206.579404511,201.864704171,211.919688695,207.085294241,214.22073737,213.70959091,212.190623674,221.276207567,218.385614546,223.148861779,219.955320045,229.528088543,230.361209498	0	hyperbolic	0.16	132000,,
164495	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	113.110181695,153.896034131,181.576260513,194.02260528,204.071268665,216.093656905,218.364291899,229.096269679,225.179266662,236.081426929,226.684444582,230.804931349,237.978786949,243.840071543,233.099101334,235.507800528,238.94957237,236.153045302,243.948472282,243.129767704	0	hyperbolic	0.16	132000,,
164553	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-13.3693652609,35.3879768128,50.2303885595,69.9701481997,80.8218694719,86.3482517011,91.6105236825,95.1826978205,99.5224132098,108.201891323,111.483342259,107.918123164,117.167909635,117.688231274,111.63720565,110.142863044,119.835449391,114.544676902,113.523397912,123.603347833	0	hyperbolic	0.16	132000,,
166881	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-81.0464475612,-22.33505777,-2.54983910554,5.36612009127,21.8906142185,35.2554235196,39.2504476861,44.5626553759,38.5876437412,40.8327818263,48.0454955057,52.8472379035,50.7997032082,56.3939603899,49.399629153,52.117195263,57.9887201125,53.6628163789,53.319196687,64.1363699727	0	hyperbolic	0.16	132000,,
164899	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	50.6575401969,98.1075912315,123.736822093,142.406949315,151.969011248,162.361634923,160.759650081,169.539367605,174.309573746,176.385732736,174.656512214,181.630774513,183.715853165,183.817034705,184.527411483,186.094754912,189.48089477,183.775645557,192.600153459,193.556519752	0	hyperbolic	0.16	132000,,
164994	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	49.0939871867,96.5221350718,115.917332685,129.928307328,148.90049041,159.473258885,158.362592691,162.243977471,160.53391683,169.303908532,164.283393749,178.355305788,180.967798632,171.776522284,175.003356478,182.417388491,185.610850454,178.092310838,174.608271066,187.317734934	0	hyperbolic	0.16	132000,,
166039	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	63.0226261246,120.289335584,145.19084667,156.20286176,162.154787948,176.686233885,185.930398495,183.995990724,188.481747331,185.759179258,191.657335043,199.834437506,195.34032438,201.638028766,201.815875325,195.020426867,202.726042116,206.044148693,208.778087323,197.494531369	0	hyperbolic	0.16	132000,,
164154	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	110.722867796,169.249183333,197.573962708,200.629122171,215.74653718,225.973497143,223.72892471,236.429999326,235.552947306,238.669728565,234.549321871,248.923658836,240.374777783,246.409260562,247.584386134,248.149578962,243.00968342,248.963665704,255.505154814,247.646460719	0	hyperbolic	0.16	132000,,
164060	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-10.981359331,41.3724922662,69.9588895296,78.4173904026,91.098366217,92.9500274338,101.377961097,109.846518373,116.063403796,113.097724649,122.450669571,123.714577863,123.34851307,120.254019618,124.837485666,123.290276348,132.482505728,130.159472332,121.912159399,126.748230284	0	hyperbolic	0.16	132000,,
