ID	X	Y	cluster	func	noise	original_trajectory,,
341552	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	200.941997012,209.24222476,205.261224012,210.162600127,205.565064351,211.304532837,206.475686385,206.02167247,208.597083627,209.90172674,213.159427357,212.973264094,206.948703065,207.419828861,210.02383256,210.904138844,207.500379979,209.416412035,213.051966301,216.803306507	2	tan	0.16	308000,,
343522	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	200.498994463,203.0583645,207.315012699,203.133741831,206.078149824,208.428179763,204.867527707,202.07421918,207.20419631,209.077885549,205.952279349,205.755018196,210.099091304,206.406482998,207.469466994,207.111210515,210.497343383,208.694142037,211.931133731,211.121176653	2	tan	0.16	308000,,
343736	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	205.287085886,209.436336417,211.439066928,214.659207153,217.10754415,211.642035287,215.275460481,218.661037731,218.090352811,216.980548836,217.577979055,216.786581548,214.296043974,213.490309797,214.553797869,220.140592368,218.974057208,217.162862345,216.590414445,220.836715088	2	tan	0.16	308000,,
340155	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	174.549807295,177.042200469,181.161644672,177.962014563,185.176803053,179.206548834,183.007753402,183.891367995,182.776976013,184.446086863,185.054653617,185.447106753,181.001874319,182.270946674,187.240169724,180.826032143,183.41534703,183.764535279,187.262192171,188.91050292	2	tan	0.16	308000,,
340113	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	196.465269547,198.097955712,201.008033188,195.485574577,201.762007421,194.802153175,200.920005891,202.962005815,198.02662804,199.143790664,199.73734357,200.030671754,198.857178863,198.400112382,198.838466857,200.79969095,199.569669845,201.162934318,203.982393041,208.987201252	2	tan	0.16	308000,,
343267	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	206.87432379,205.037266739,210.346005557,207.915499562,211.092660621,210.784621055,212.372093786,213.928859236,212.9498549,209.40392248,210.880311738,208.417710663,212.742027844,213.738903314,214.164677025,215.759673972,212.394530219,211.77262882,216.042223555,217.674003738	2	tan	0.16	308000,,
342636	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	191.512011791,193.975148965,190.399313934,194.757545731,193.76311249,194.550865607,194.317198154,191.975311946,192.636992324,193.976764883,194.454182849,192.089785025,198.916861848,196.41091569,195.821382328,199.102646224,201.212199828,198.911002002,197.375852206,201.446220882	2	tan	0.16	308000,,
342766	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	190.338610246,191.37178226,195.524605694,195.095786765,197.959202385,196.564526857,193.779911068,195.580742076,199.156384608,193.39259796,196.555153946,194.313992432,197.886661564,195.354759491,194.962855676,194.408619599,197.119684333,196.674206176,196.401186532,201.522458122	2	tan	0.16	308000,,
340053	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	185.882002788,186.932840461,188.838046017,187.853148778,193.987642838,189.616702669,191.833250414,189.267464784,190.027237716,195.65883041,188.061589342,190.80966351,192.487110402,191.814469131,190.554196403,191.647431948,195.115506369,196.484510562,197.123556818,195.238914758	2	tan	0.16	308000,,
342165	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	209.574245371,213.387644939,212.740443515,212.362464144,210.941241227,210.20503583,210.223155666,210.10425383,213.958345335,209.50671619,211.525651756,214.075253942,209.484264946,211.394101658,211.583305311,210.386514305,216.290308286,214.866575529,211.923656563,216.456313818	0	tan	0.16	308000,,
