ID	X	Y	cluster	func	noise	original_trajectory,,
341975	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	203.335530148,213.450349619,208.951585123,208.256865082,208.782017294,210.349867514,209.75929108,209.632468048,209.426113228,215.064019703,213.992818083,209.123766829,212.496479616,210.029198141,209.555924755,215.828297319,210.899473451,210.898751449,215.251537947,222.704135408	0	tan	0.16	308000,,
340709	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	212.678629236,213.751437799,213.276843512,210.39273238,213.444875982,210.919081714,212.16859992,218.019097036,218.837964754,218.976012622,217.835762626,218.988526773,217.26963946,212.678797805,213.46284617,212.588884374,219.399610357,219.833536548,220.430326667,221.777695749	0	tan	0.16	308000,,
342541	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	192.763163056,201.045679202,203.895745347,199.643930872,198.087074269,199.282902248,201.58512572,205.312891594,202.385676105,199.840898646,199.260858311,202.822305304,203.031031558,205.197213649,201.425815128,206.275593995,203.784627259,207.387947789,209.580093841,209.191363346	0	tan	0.16	308000,,
342950	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	205.89834364,211.561180869,212.465932934,209.461892563,215.331818574,215.137272126,215.003776964,212.447322048,216.896395957,214.927320536,216.659779977,216.497112678,210.290180134,217.185760618,215.311242047,214.738615444,216.286642141,211.865612048,218.343235005,220.343094035	0	tan	0.16	308000,,
342576	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	196.616593962,201.486250317,202.378342575,201.359899898,207.613170967,202.726377898,204.101681711,207.636204246,204.669621327,202.440082277,207.380010583,209.057356297,204.558874128,202.733324312,205.883558732,210.060243565,210.91891036,211.074091659,209.050845041,209.764503225	0	tan	0.16	308000,,
342801	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	187.652706955,188.66558051,190.59266266,192.963144702,196.611351012,196.781693599,192.160484095,193.697073171,195.029070617,194.383541975,196.313096092,196.452212994,193.878694895,196.076635836,196.896932637,193.103955448,193.075203428,193.467421097,198.001156707,198.417625907	0	tan	0.16	308000,,
341761	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	193.443623668,203.306657416,201.772974979,201.051073685,200.221776065,202.178105731,199.44424741,204.229166167,203.348604219,203.377012813,201.37869061,203.239402665,201.750760133,203.932834137,208.106240472,202.444325836,201.356646544,208.678221591,203.820426495,209.298729526	0	tan	0.16	308000,,
340836	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	189.306974355,191.080553773,190.531003094,193.70183735,191.137033081,197.202159282,191.336482454,196.577913616,195.168737974,193.03456675,191.722771768,192.426214541,191.498883184,193.893083671,192.983636854,191.841637627,197.327456832,197.700963897,200.028226832,200.135255846	0	tan	0.16	308000,,
343653	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	190.13482012,195.716966644,195.501442662,200.250624208,196.683398117,194.461323198,199.661787196,198.096733386,195.934651483,200.808396851,198.404427936,197.428883171,202.057942433,199.62416724,202.537343945,197.321749139,195.619825988,196.887900581,197.501458092,204.649055078	0	tan	0.16	308000,,
340260	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	209.065026543,208.461421773,213.710279397,215.973354513,214.183567085,214.662154532,210.722044954,217.408835428,210.048168635,213.314141754,210.707585781,213.264149155,213.351874162,213.594979838,211.932110813,213.931912691,214.067838357,217.098539266,219.015272686,219.048844226	0	tan	0.16	308000,,
343160	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	174.96977937,181.844820246,182.9482156,178.352894799,184.229724037,181.822291986,181.42834215,179.15931712,184.124550536,179.824557434,182.01276315,180.672502433,184.10840062,184.138778045,179.331370098,182.605171898,185.453346746,181.567380244,183.331124813,186.964146035	0	tan	0.16	308000,,
