ID	X	Y	cluster	func	noise	original_trajectory,,
343949	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	199.890377747,201.917799111,203.866525722,204.980046235,204.766212815,202.228952942,201.507711455,198.09745107,204.906206771,203.78378602,205.188327697,206.687617244,199.929239993,204.091434026,203.7319097,201.264637665,202.485250426,204.629856419,208.762996691,206.064277781	2	tan	0.16	308000,,
341180	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	189.001266907,192.596646158,194.182377702,196.92065441,199.144275328,194.465185107,196.552042943,197.136760776,198.236698557,193.552300527,196.342584359,196.070734226,197.264142255,200.22414613,193.862526409,198.639595321,199.56455659,198.282434456,196.981487089,200.318492131	2	tan	0.16	308000,,
340133	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	210.121067266,209.908231449,216.880351884,212.892390746,212.806137944,219.916654074,216.028951269,216.966665779,216.436897321,217.664134736,220.27008536,215.811487406,215.744584092,216.055412327,217.549103711,216.557985628,216.430961658,218.925382071,219.138868039,226.143510739	2	tan	0.16	308000,,
341358	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	194.546467015,192.817642105,195.629881917,200.165909654,195.897109943,201.13417954,198.741814163,195.004102734,200.957876507,199.496084667,198.474210159,197.632589628,201.742065977,199.82628712,200.703884905,200.572705563,199.350986081,204.158512431,199.152219704,208.643119565	2	tan	0.16	308000,,
341720	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	183.935075073,180.749421425,182.08213968,185.781419119,187.772134477,186.181110191,187.28650368,183.668704074,184.775815568,189.21259405,187.951109414,188.472211943,190.123636521,183.376296485,186.300389124,185.451162719,185.393742205,188.284125279,187.267629561,190.147268469	2	tan	0.16	308000,,
341632	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	199.580473931,201.064973133,207.380943015,207.738706172,203.517242564,203.846598865,202.745010513,205.071529476,205.066323832,208.568049442,206.030056054,208.867053285,202.866584033,208.274365671,202.868511702,205.873273764,204.368811653,208.071639825,211.238305104,211.435153356	2	tan	0.16	308000,,
343905	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	195.870590366,204.985500015,199.525115182,206.581630063,206.300322118,205.248216454,205.593349778,201.131008562,201.226602029,201.44416602,203.191641766,201.44692627,209.142929295,203.363018064,206.196480905,207.961243403,204.906079617,207.075433789,206.527126299,208.440290866	2	tan	0.16	308000,,
341471	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	197.884146422,203.510476039,202.197875342,204.469557167,203.001981603,203.570081462,205.596830786,203.913994408,209.533921237,206.006960926,203.653196708,205.431467988,205.088912723,207.808396661,204.389515554,211.804680129,211.898657788,207.614531121,213.27135873,215.247766545	2	tan	0.16	308000,,
341543	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	174.02268549,181.420567863,176.122172171,177.971344022,181.196207893,176.618585502,179.445034384,176.602640099,182.754111793,182.964984534,180.111345261,180.386845647,180.846763404,183.290858643,184.607760978,184.520658712,186.056973252,184.29381309,185.872896019,186.896634095	2	tan	0.16	308000,,
342533	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	209.152474842,209.446286543,214.977374379,214.296877176,214.902543163,215.086109233,215.8262382,214.895318363,218.089715345,214.702947769,213.568509508,220.166802666,219.29821285,219.095075281,213.577761544,215.872122364,216.9676694,218.973133288,217.949330925,219.24758829	2	tan	0.16	308000,,
343919	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	182.913845636,184.398430749,183.125093252,184.823435881,187.157340466,183.397722063,182.719323324,184.555770597,183.760740511,189.673948916,188.521531387,189.415911525,183.588772611,182.871417846,187.607221319,190.525682677,187.178966149,187.223540516,189.863940922,193.185243432	2	tan	0.16	308000,,
342311	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	198.569156247,205.154217345,204.049736232,207.969607335,203.323549572,207.587186909,209.853876807,210.257474531,210.570033516,210.508873803,203.325683188,208.719370964,206.333609809,210.121190479,206.95024622,207.772774714,206.618945917,205.380477957,213.135905094,216.043427905	2	tan	0.16	308000,,
343776	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	187.506775648,195.230169948,191.317756493,195.520588425,191.924224078,192.970843187,191.557821432,198.301632823,197.452767731,198.309323789,197.141775065,196.901175118,195.039852239,193.014671357,197.561044635,197.504351546,195.963839551,197.659237249,197.305639162,203.01170389	2	tan	0.16	308000,,
342781	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	213.283519819,218.417438354,220.805539092,219.132191125,216.969752604,215.852959193,221.181551792,215.587499798,219.374490747,222.750097816,222.732132168,218.196396704,221.971004393,220.767943834,222.232741727,221.548975058,219.229278022,218.375542665,222.929755767,227.794159169	2	tan	0.16	308000,,
343578	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	189.863894622,196.545067652,192.749776435,192.449294092,195.615567966,196.812039904,192.260034429,198.027374013,194.131468058,195.259296578,199.903765412,193.010363278,196.403292562,196.12845623,199.543447669,197.467545715,201.945461591,200.172997527,199.570744109,204.550284613	2	tan	0.16	308000,,
342648	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	175.507660725,177.583037169,177.709626847,181.959029176,181.204646767,181.643215353,181.858150201,176.791375225,178.154632863,182.061865795,181.110881318,180.924269563,184.834103358,177.58214499,180.787856373,181.231919183,184.48450217,180.646261492,185.094593588,187.194215217	2	tan	0.16	308000,,
341939	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	191.691773844,197.88417049,193.413470265,198.918577462,201.475802394,200.599296736,196.698672433,196.610107868,199.009910644,196.720679112,196.534482184,195.588496129,201.548810129,202.012913397,196.065651554,197.91374971,198.750120246,199.222113328,202.378876865,208.804356316	2	tan	0.16	308000,,
