ID	X	Y	cluster	func	noise	original_trajectory,,
340040	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	201.835373892,204.260444968,206.946124968,212.584561701,210.997783,210.603267181,211.919087933,213.268533901,208.853008588,210.716691386,207.987726269,212.168551279,208.231173386,208.008668926,207.326778453,213.49590643,212.772891169,212.508186506,210.811451656,218.454397384	0	tan	0.16	308000,,
342932	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	183.28391484,181.141259605,182.553409374,186.363042478,187.936678866,190.826674909,184.5443907,183.939908492,191.43724501,185.367695388,192.096367292,187.435476596,187.121262572,186.308151119,190.292742315,190.636039853,186.913486295,187.642139907,188.761038506,194.859490617	0	tan	0.16	308000,,
341812	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	192.081837822,189.169734544,191.822490532,197.463960564,193.050364983,195.211792041,196.350245996,194.312035316,191.980734062,192.822454251,197.235445174,197.169038582,193.068030657,196.306816119,199.545595912,196.668654989,196.332290818,194.982131589,194.984022346,205.916471379	0	tan	0.16	308000,,
341739	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	190.700534463,196.169417106,198.014652711,191.85422186,194.409721163,194.915666943,194.497559334,199.023483032,197.586865495,199.188001326,200.482120043,197.331716218,194.895634747,198.873662913,196.599854092,201.016884507,199.118917115,201.516732044,202.511969933,204.573385248	0	tan	0.16	308000,,
343161	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	213.577387083,212.214085858,217.179285375,214.384302204,214.852319386,218.223840939,220.984633692,221.221509121,215.947843651,217.227710129,219.029552536,217.241089648,219.207573841,221.792299924,218.535637561,219.206795315,222.500210809,218.838316966,216.847249496,222.577130022	0	tan	0.16	308000,,
341431	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	210.838082085,217.148193075,214.072303166,211.159823198,219.209470015,213.443221247,213.626384552,216.604419361,215.588859373,215.074412288,215.131346262,215.204842918,218.402925555,216.067376007,217.785541411,219.047707597,220.013590639,217.66887331,216.832722922,221.795113009	0	tan	0.16	308000,,
342432	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	175.840036683,183.11798235,178.854595198,184.729898115,183.58564377,181.251300312,180.454002031,187.565094057,182.674875696,181.943989614,184.381420808,187.623178143,183.544784908,185.399058672,183.195815291,185.524021483,186.563422178,186.615720032,183.810820436,188.623396075	0	tan	0.16	308000,,
342903	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	202.009253628,206.410257328,204.773377149,208.1192796,208.050277092,210.332627348,210.372984929,211.028664123,211.570664544,213.360220705,211.170838639,210.123121223,213.379170971,210.976697878,211.077640006,208.171723594,214.404720158,211.173348608,211.674860229,213.947013437	0	tan	0.16	308000,,
340728	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	190.490255824,187.865492714,189.505663495,192.923222572,191.995167592,188.194690594,192.31143973,193.743537252,193.138942695,195.077975263,190.052492373,196.378306109,190.234000374,197.277122849,197.074275029,191.449421934,194.541384971,191.332777327,199.302898261,200.676154597	0	tan	0.16	308000,,
341763	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	198.412580136,197.694208509,200.980841843,202.233295773,200.661374295,198.316270836,198.15413237,201.754219688,200.25935287,203.09957755,200.305621242,198.090829882,204.813654637,200.028094949,198.920911008,205.771629175,201.193263657,204.963855954,205.87856941,206.000751083	0	tan	0.16	308000,,
343071	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	213.918776369,213.771512734,211.916602168,213.480795002,212.887627689,212.643552466,215.740628589,219.824381167,217.645600663,213.817218675,213.478984871,220.031001852,217.837680231,216.476542329,221.75854339,215.162218701,215.917458396,218.845126456,220.459371159,227.511899156	0	tan	0.16	308000,,
340894	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	203.187273814,207.427409416,205.428197335,208.160483079,208.51140498,212.061130788,213.013498664,210.964215548,214.527607505,207.614949633,208.492921226,214.61684181,210.67147789,209.371482766,211.751363444,210.67403199,215.773501186,216.58908554,211.463195591,216.678855858	0	tan	0.16	308000,,
342706	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	189.455738411,193.558677312,191.560810059,189.296657492,192.86237846,197.290801283,193.892824324,191.273134085,196.423116702,195.323508945,195.83593371,198.495825209,192.015962309,199.085022258,192.976681831,195.270971999,198.612899791,198.28274849,197.990991112,201.0071961	0	tan	0.16	308000,,
340467	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	199.818870283,209.265847534,206.19688039,204.227981758,206.556877365,208.926733508,209.672617265,206.870600816,209.875417676,208.391470251,211.230447264,212.100319256,213.613068681,207.088579731,208.460809666,209.566574676,210.653620157,209.890335277,214.927688268,217.890017551	0	tan	0.16	308000,,
340274	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	205.536663159,208.535036454,211.315957736,213.511955369,214.572455138,209.708816348,212.198743604,211.810504792,213.402628501,210.263590546,214.168961852,211.173257808,216.59041236,217.514349811,213.818061936,215.659498185,211.862117147,218.683350264,215.981444721,221.326331236	0	tan	0.16	308000,,
340021	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	190.812916892,194.634342808,194.748244963,194.169143091,197.704897516,198.733642442,199.597792856,194.83583343,201.876057034,196.52970315,202.378552552,199.955392136,197.121707514,195.843061801,201.655923808,199.84042005,201.176870035,201.275954786,198.903411606,209.535752709	0	tan	0.16	308000,,
341450	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	202.895465668,205.5430975,199.813254325,204.364761195,202.601104383,201.215364238,202.724212169,202.491620515,203.894988049,209.150916738,208.734214123,202.208455977,205.234042786,205.307672375,206.354007417,203.510792057,208.506740488,207.699473816,204.975429001,211.813965077	0	tan	0.16	308000,,
341637	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	211.644584917,212.978019061,217.086285388,212.817061464,217.941089449,216.690991587,218.42312167,217.989747104,219.723321414,217.193709076,212.834128319,214.709656444,215.781820123,219.69905861,219.023257598,216.423271372,219.007597107,221.353634672,216.90670779,225.298545262	0	tan	0.16	308000,,
