ID	X	Y	cluster	func	noise	original_trajectory,,
340177	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	175.008147857,176.087058509,182.522906767,177.803531218,180.666967193,180.371627793,176.216521295,181.237996208,179.896671285,181.602256672,182.114860748,182.907656389,181.704432848,184.948744453,177.590226234,179.440899946,183.882799084,182.023610046,181.918077827,187.704986457	0	tan	0.16	308000,,
341928	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	183.921069506,187.388819655,185.208319769,188.088346496,189.038507186,185.349025453,188.652476771,184.492444457,186.78074255,188.324033493,189.742631176,190.698433915,187.861931417,184.77177466,189.146291304,188.803703351,191.920356586,187.835469015,187.405092086,191.306089549	0	tan	0.16	308000,,
340013	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	199.74659779,199.375933447,197.637922282,198.696531251,205.469056778,205.361106394,198.588913039,204.703521818,199.331776199,206.113005795,206.639084368,205.915500305,205.973846723,200.134402016,206.133080496,205.479433492,206.362554556,204.096330301,204.457165387,208.777806637	0	tan	0.16	308000,,
340401	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	197.912317142,202.429126109,205.725908561,205.974036918,207.485498328,205.643219443,211.076021419,207.246857821,206.843529551,208.311325977,210.250584046,211.430000811,210.046484481,210.723310985,207.270044117,206.182316991,211.672007291,212.76707758,213.151176971,213.259288958	0	tan	0.16	308000,,
340921	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	209.039083735,214.674293759,214.286157108,211.793960619,212.747021842,218.741429758,213.731659742,212.855988264,214.623453054,216.060122278,213.275214026,216.845525123,220.077084311,218.134216883,215.30026905,213.212603863,215.315670694,218.205400246,219.658556756,224.051781974	0	tan	0.16	308000,,
342023	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	198.284283523,201.718355539,203.043087989,202.887456327,204.300576318,200.359526601,198.85485137,204.175836533,205.044555852,198.181835126,199.873839958,204.238559697,203.503772741,200.427094242,202.901813921,206.216268957,201.490779453,203.662051385,202.247348275,209.319267071	0	tan	0.16	308000,,
341544	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	182.153826837,181.190968097,181.394557207,181.6536638,189.118155191,189.06348489,185.130099375,186.180130467,185.27227722,182.728348616,183.960068733,186.172575189,190.31318485,187.400085586,188.586383089,189.975111912,185.44121867,186.844074254,185.969463511,191.645283548	0	tan	0.16	308000,,
342328	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	197.149875218,199.676083336,199.81932048,202.72698511,196.438136716,201.142709165,200.807795329,198.706057794,202.375168679,200.046281913,200.894606755,201.47546398,198.152308313,203.511670148,202.238566162,202.832772772,203.966475279,205.504497401,199.849732688,209.34746592	0	tan	0.16	308000,,
340876	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	180.082284769,184.258399814,184.432870016,187.64723059,182.032083174,182.621897132,187.702409114,182.793261925,189.044915391,190.007592565,188.697593967,185.718836755,188.415718163,190.852920086,188.663348283,186.438447511,184.603022026,192.371385775,185.947654133,194.337027948	0	tan	0.16	308000,,
342349	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	188.138675518,187.968748675,188.221986663,186.904193603,189.221843718,189.749568627,192.033261532,192.893462663,194.077206653,193.724999038,194.449958921,194.10715999,191.678545683,194.030846461,189.524528738,188.538403949,193.041200878,190.603358316,191.349159914,197.05865984	0	tan	0.16	308000,,
