ID	X	Y	cluster	func	noise	original_trajectory,,
349134	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	206.405053212,210.921264025,211.205592544,211.433651932,212.597668604,215.348068118,216.782487881,213.426217201,211.673639511,218.273082668,218.785683074,213.826733046,216.430698841,213.046411337,212.888769674,212.17490263,213.706179377,215.784179865,218.115123137,220.619548656	0	tan	0.2	308000,,
351883	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	178.269969339,180.479540773,187.527968924,185.447829002,187.237034123,190.823927451,188.820989974,185.59489312,190.926140808,185.840705659,190.829853536,190.693121761,190.442103281,191.504967831,189.783287866,184.330704652,184.845121682,192.059491012,192.510482028,193.197261182	0	tan	0.2	308000,,
350142	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	204.988963983,207.439796486,215.591896194,216.770089701,215.585935827,213.587270613,212.419031253,213.336772672,212.727528871,216.017826857,211.39949112,218.115696074,214.378962863,213.926592505,210.305703703,213.233696459,219.927668884,219.74278982,217.407008167,224.526976398	0	tan	0.2	308000,,
348823	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	200.069963481,194.832619954,196.715440224,200.021571386,201.692205234,204.49137046,203.694777595,205.639798504,205.908064291,205.026283535,204.180632206,198.677605928,199.247470101,201.903129393,204.15120739,207.87989569,203.413265365,202.132155006,210.010196253,205.202449853	0	tan	0.2	308000,,
350706	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	208.917853683,209.69213164,215.193455743,208.417508785,210.37065996,208.807719171,215.628830242,216.5255495,215.092885287,212.648689792,211.836639783,212.247534556,209.758328967,213.002832717,218.754896749,216.077797718,218.07795658,219.36529586,215.719753686,216.080405729	0	tan	0.2	308000,,
351315	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	187.120586857,184.270755106,190.344122754,186.319121152,191.833913635,190.538564917,195.755550617,190.613257662,193.655613782,196.228371517,191.196029826,186.640022606,190.442521859,188.639806045,190.577296919,188.945890271,191.395465254,192.995364272,199.208859424,196.041993074	0	tan	0.2	308000,,
348756	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	174.111158149,184.45029556,185.201727212,176.717632632,181.318335601,178.452348418,182.63228905,183.416809146,187.68283353,183.207465783,181.452270988,179.90836094,185.302719183,185.793156653,185.582072919,180.447914348,183.382761598,189.79008875,189.608512224,186.405083628	0	tan	0.2	308000,,
348237	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	205.654806243,208.80462333,212.974680997,219.976921596,218.459153188,213.246116445,221.067579897,216.526379669,212.053624198,218.512045455,220.09229622,216.100922817,215.82482759,220.349067204,218.328427331,220.505024112,222.78887775,222.432878854,217.234873544,221.47742473	0	tan	0.2	308000,,
348798	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	208.770405614,215.656063873,218.540088846,218.21131145,222.519503153,220.389842523,220.080337078,222.349851006,215.52012757,220.005375395,214.83768842,215.219677426,216.502375114,222.803416736,224.594390985,222.288966998,218.015830969,225.337637517,223.32910382,228.055229679	0	tan	0.2	308000,,
350824	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	208.188022246,212.155441141,209.465696957,207.452678648,206.944977389,207.845308583,212.768562023,209.56634654,213.122437033,209.52284942,212.492946906,209.239830514,214.889357741,216.284790726,207.820810522,211.838999244,208.363918512,214.153129557,212.914321209,217.383843603	0	tan	0.2	308000,,
349546	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	204.309225671,202.101227533,205.426778045,208.581639173,205.917702671,209.688795516,207.511907434,209.798811967,206.407361593,204.652842734,208.760630706,209.897089084,206.102925865,206.873197957,204.417609162,212.334343416,210.427287176,205.700935026,205.24410706,216.238567554	0	tan	0.2	308000,,
350699	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	183.751047038,187.704190661,189.475856999,185.762663363,190.341840324,189.079446899,191.230829056,185.399359612,185.760342999,189.608313454,185.317099706,188.625113587,186.682119241,194.302448177,194.450813098,188.748172394,188.49000625,187.340794864,195.243563947,194.866225827	0	tan	0.2	308000,,
351277	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	184.221609495,193.083177821,193.948872164,193.20085978,190.09713255,194.182616754,192.352010288,187.358944876,193.871865874,189.778438154,187.603465704,193.01702935,188.697099265,194.519198896,193.515012274,193.296550806,191.243943422,190.894368239,190.233994064,201.188600687	0	tan	0.2	308000,,
349423	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	187.737539745,183.700814138,184.984666275,192.370029359,192.711685879,189.820699476,194.115801649,187.261041273,189.177823098,188.251991673,187.644191258,186.588464967,195.18019514,196.338148636,192.971890862,194.600271586,190.149376012,195.529634665,190.583009989,194.957763146	0	tan	0.2	308000,,
349063	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	177.108878768,181.552849065,177.790252277,183.517174777,178.749244614,184.848814215,177.72614954,183.304907936,181.915044776,185.148641539,182.73276615,179.636220707,184.733125769,184.559460273,184.248785401,185.443202038,180.089611955,183.519389224,184.941684363,188.753942756	0	tan	0.2	308000,,
350954	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	190.647903133,197.089539583,198.205933471,198.950636031,196.311041129,197.465077832,203.539946774,199.796676526,201.541001562,203.882445029,203.420049575,204.765461615,197.523384344,198.751226994,198.007904954,203.995106607,205.547909113,204.195063513,200.380397531,203.05039291	0	tan	0.2	308000,,
350205	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	210.906479907,209.881417006,217.192936347,210.650867394,213.567237886,219.734106216,219.753238372,219.902204438,217.89148833,212.829128637,213.992268998,218.840107395,214.96039165,220.245635596,219.273327664,219.956810698,216.239376221,217.1241,223.270038545,225.445533108	0	tan	0.2	308000,,
348145	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	180.317147517,178.978807638,182.540346163,184.988592439,183.22970977,176.347661513,184.171416934,185.532485126,182.219568615,180.954605983,178.878912277,179.432754369,180.8377718,184.88584713,183.669417412,185.506531203,179.274165185,186.354552798,180.396360381,187.337145411	0	tan	0.2	308000,,
351141	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	206.569402358,209.045729788,209.728307069,209.198737742,206.168436673,203.736596137,202.928173563,205.905798062,209.297855002,211.358737662,205.367276138,212.242942759,212.362256492,207.284572788,204.926058717,206.090718944,206.039375331,215.015239252,215.549549773,216.312360666	0	tan	0.2	308000,,
348902	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	201.139521959,203.456017643,200.638462521,208.985516613,202.574635885,202.93494833,203.109593667,207.624377441,208.15500876,205.237697973,211.467276907,207.17817037,202.126073747,211.633680126,205.816084922,209.636364209,212.252415512,212.827049762,207.527531403,213.055350536	0	tan	0.2	308000,,
351620	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	207.537091987,207.514654272,211.948483241,206.350821497,209.26777279,210.891875557,209.486889879,214.754957914,211.228032199,213.306989732,207.223200034,210.213117176,216.252468409,211.553605383,214.92862259,215.083026224,208.613150511,209.659908082,214.064450236,220.281257003	0	tan	0.2	308000,,
350862	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	205.480842352,210.88966479,207.354298394,214.269067339,209.351763766,213.986532823,212.025359553,214.765781589,215.77694811,210.722623043,212.751372989,211.428952104,207.201805649,209.292150708,215.016416884,209.439175829,215.196121555,210.39683907,214.623763032,212.735351388	0	tan	0.2	308000,,
351271	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	194.413310977,203.414954841,201.899915385,196.147859061,197.184970024,201.644478742,196.705621085,199.295152476,203.281736345,205.798750044,198.524963701,204.043380884,205.119737649,205.800208758,204.052375477,204.887399089,201.605927844,202.912386635,204.644507919,213.241063101	0	tan	0.2	308000,,
349037	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	191.576286273,195.216350421,205.010798337,203.308511344,196.428802874,203.063234481,196.616449526,203.123369634,202.15025702,200.645202294,200.326054634,206.074219759,205.514403036,206.048449748,207.683393983,205.713391039,204.366011461,205.734203277,200.78815117,206.559004806	0	tan	0.2	308000,,
348701	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	183.66126535,191.998548055,189.805485082,191.120616861,187.769087264,190.799026565,188.784276357,188.168343516,196.555405941,195.989604559,195.432726346,193.882694203,190.521447521,189.582876343,195.909726764,193.347654149,197.252128415,191.696955817,193.190591477,197.301201072	0	tan	0.2	308000,,
350734	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	196.573143924,206.472743009,205.37060022,201.805107449,204.537491361,206.891932239,208.114071133,210.97773608,202.996705901,209.198088027,205.251014674,208.596670498,208.010305796,209.730401913,205.18829319,208.452613135,204.853532307,205.651593964,211.785632558,218.707557926	0	tan	0.2	308000,,
348282	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	209.151708489,213.216150238,208.628670315,214.607126037,215.517982961,214.051566338,209.7221276,214.783268263,215.290045132,210.319813805,215.877535105,212.049603815,216.000372718,211.263235455,214.838973469,209.92257952,213.785565234,212.034414453,212.930044178,221.231584134	0	tan	0.2	308000,,
348643	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	182.066573781,184.333825037,184.673121175,184.619050039,182.641791056,188.613380645,183.649582657,183.670117222,187.608809777,184.828053688,182.833317715,186.553091616,190.311386846,186.019644525,188.807604921,190.664001139,185.093575209,190.16439447,192.908258046,198.726580156	0	tan	0.2	308000,,
348219	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	173.288083274,177.433351872,181.041695671,175.866080105,175.95831058,183.201932189,179.305657262,183.092990616,185.200155035,180.937763767,177.469283408,175.992333907,176.39800946,184.734591809,178.872305624,180.790989281,177.450574467,183.522997411,186.631447562,190.052677319	0	tan	0.2	308000,,
351920	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	173.450072224,181.118091032,185.111980085,178.725043712,182.844420785,186.541757547,183.153702965,185.97158524,186.349018912,186.899831305,186.873082755,182.200414156,188.703443053,186.216943598,182.05421581,188.545312681,187.576051989,190.697419491,189.463414109,195.824442129	0	tan	0.2	308000,,
351481	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	199.75780085,202.801299335,197.675482783,204.939137994,199.780717522,197.706617706,198.472692901,206.084323479,200.492483406,202.467787993,206.578468028,206.591732161,203.950920961,208.109232524,207.917112378,200.82855525,199.059600601,204.607239011,203.558102303,211.372522631	0	tan	0.2	308000,,
348257	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	207.356779965,210.262666756,207.017244002,211.022879009,210.578773766,205.757448918,205.006661869,208.56853347,209.321470673,210.017376324,211.817029334,206.501204912,209.382665706,213.797258793,208.08996961,208.636086828,213.666137257,210.761735691,212.792443543,211.323729473	0	tan	0.2	308000,,
